API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23728-00-00,5/31/2025 12:00:00 AM,Swift,4988,0,225,0,31
25-101-23728-00-00,4/30/2025 12:00:00 AM,Swift,4988,0,213,0,30
25-101-23728-00-00,3/31/2025 12:00:00 AM,Swift,4988,0,220,0,31
25-101-23728-00-00,2/28/2025 12:00:00 AM,Swift,4988,0,171,0,28
25-101-23728-00-00,1/31/2025 12:00:00 AM,Swift,4988,0,193,0,31
25-101-23728-00-00,12/31/2024 12:00:00 AM,Swift,4988,0,218,0,31
25-101-23728-00-00,11/30/2024 12:00:00 AM,Swift,4988,0,225,0,30
25-101-23728-00-00,10/31/2024 12:00:00 AM,Swift,4988,0,233,0,31
25-101-23728-00-00,9/30/2024 12:00:00 AM,Swift,4988,0,159,0,30
25-101-23728-00-00,8/31/2024 12:00:00 AM,Swift,4988,0,211,0,31
25-101-23728-00-00,7/31/2024 12:00:00 AM,Swift,4988,0,71,0,31
25-101-23728-00-00,6/30/2024 12:00:00 AM,Swift,4988,0,119,0,30
25-101-23728-00-00,5/31/2024 12:00:00 AM,Swift,4988,0,239,0,31
25-101-23728-00-00,4/30/2024 12:00:00 AM,Swift,4988,0,237,0,30
25-101-23728-00-00,3/31/2024 12:00:00 AM,Swift,4988,0,246,0,31
25-101-23728-00-00,2/29/2024 12:00:00 AM,Swift,4988,0,233,0,29
25-101-23728-00-00,1/31/2024 12:00:00 AM,Swift,4988,0,196,0,31
25-101-23728-00-00,12/31/2023 12:00:00 AM,Swift,4988,0,252,0,31
25-101-23728-00-00,11/30/2023 12:00:00 AM,Swift,4988,0,237,0,30
25-101-23728-00-00,10/31/2023 12:00:00 AM,Swift,4988,0,250,0,31
25-101-23728-00-00,9/30/2023 12:00:00 AM,Swift,4988,0,243,0,31
25-101-23728-00-00,8/31/2023 12:00:00 AM,Swift,4988,0,255,0,31
25-101-23728-00-00,7/31/2023 12:00:00 AM,Swift,4988,0,260,0,31
25-101-23728-00-00,6/30/2023 12:00:00 AM,Swift,4988,0,232,0,31
25-101-23728-00-00,5/31/2023 12:00:00 AM,Swift,4988,0,261,0,31
25-101-23728-00-00,4/30/2023 12:00:00 AM,Swift,4988,0,250,0,30
25-101-23728-00-00,3/31/2023 12:00:00 AM,Swift,4988,0,146,0,31
25-101-23728-00-00,2/28/2023 12:00:00 AM,Swift,4988,0,195,0,28
25-101-23728-00-00,1/31/2023 12:00:00 AM,Swift,4988,0,207,0,31
25-101-23728-00-00,12/31/2022 12:00:00 AM,Swift,4988,0,205,0,31
25-101-23728-00-00,11/30/2022 12:00:00 AM,Swift,4988,0,0,0,0
25-101-23728-00-00,10/31/2022 12:00:00 AM,Swift,4988,0,245,0,31
25-101-23728-00-00,9/30/2022 12:00:00 AM,Swift,4988,0,232,0,30
25-101-23728-00-00,8/31/2022 12:00:00 AM,Swift,4988,0,260,0,31
25-101-23728-00-00,7/31/2022 12:00:00 AM,Swift,4988,0,239,0,31
25-101-23728-00-00,6/30/2022 12:00:00 AM,Swift,4988,0,549,0,30
25-101-23728-00-00,5/31/2022 12:00:00 AM,Swift,4988,0,350,0,31
25-101-23728-00-00,4/30/2022 12:00:00 AM,Swift,4988,0,259,0,30
25-101-23728-00-00,3/31/2022 12:00:00 AM,Swift,4988,0,304,0,31
25-101-23728-00-00,2/28/2022 12:00:00 AM,Swift,4988,0,194,0,28
25-101-23728-00-00,1/31/2022 12:00:00 AM,Swift,4988,0,217,0,31
25-101-23728-00-00,12/31/2021 12:00:00 AM,Swift,4988,0,199,0,31
25-101-23728-00-00,11/30/2021 12:00:00 AM,Swift,4988,0,286,0,30
25-101-23728-00-00,10/31/2021 12:00:00 AM,Swift,4988,0,287,0,31
25-101-23728-00-00,9/30/2021 12:00:00 AM,Swift,4988,0,339,0,30
25-101-23728-00-00,8/31/2021 12:00:00 AM,Swift,4988,0,298,0,31
25-101-23728-00-00,7/31/2021 12:00:00 AM,Swift,4988,0,291,0,31
25-101-23728-00-00,6/30/2021 12:00:00 AM,Swift,4988,0,299,0,30
25-101-23728-00-00,5/31/2021 12:00:00 AM,Swift,4988,0,306,0,31
25-101-23728-00-00,4/30/2021 12:00:00 AM,Swift,4988,0,301,0,30
25-101-23728-00-00,3/31/2021 12:00:00 AM,Swift,4988,0,304,0,31
25-101-23728-00-00,2/28/2021 12:00:00 AM,Swift,4988,0,154,0,28
25-101-23728-00-00,1/31/2021 12:00:00 AM,Swift,4988,0,259,0,31
25-101-23728-00-00,12/31/2020 12:00:00 AM,Swift,4988,0,425,0,31
25-101-23728-00-00,11/30/2020 12:00:00 AM,Swift,4988,0,439,0,30
25-101-23728-00-00,10/31/2020 12:00:00 AM,Swift,4988,0,430,0,31
25-101-23728-00-00,9/30/2020 12:00:00 AM,Swift,4988,0,389,0,30
25-101-23728-00-00,8/31/2020 12:00:00 AM,Swift,4988,0,227,0,31
25-101-23728-00-00,7/31/2020 12:00:00 AM,Swift,4988,0,261,0,31
25-101-23728-00-00,6/30/2020 12:00:00 AM,Swift,4988,0,266,0,30
25-101-23728-00-00,5/31/2020 12:00:00 AM,Swift,4988,0,275,0,31
25-101-23728-00-00,4/30/2020 12:00:00 AM,Swift,4988,0,274,0,30
25-101-23728-00-00,3/31/2020 12:00:00 AM,Swift,4988,0,485,0,31
25-101-23728-00-00,2/29/2020 12:00:00 AM,Swift,4988,0,229,0,29
25-101-23728-00-00,1/31/2020 12:00:00 AM,Swift,4988,0,287,0,31
25-101-23728-00-00,12/31/2019 12:00:00 AM,Swift,4988,0,292,0,31
25-101-23728-00-00,11/30/2019 12:00:00 AM,Swift,4988,0,403,0,30
25-101-23728-00-00,10/31/2019 12:00:00 AM,Swift,4988,0,382,0,31
25-101-23728-00-00,9/30/2019 12:00:00 AM,Swift,4988,0,386,0,30
25-101-23728-00-00,8/31/2019 12:00:00 AM,Swift,4988,0,352,0,31
25-101-23728-00-00,7/31/2019 12:00:00 AM,Swift,4988,0,395,0,31
25-101-23728-00-00,6/30/2019 12:00:00 AM,Swift,4988,0,277,0,30
25-101-23728-00-00,5/31/2019 12:00:00 AM,Swift,4988,0,328,0,31
25-101-23728-00-00,4/30/2019 12:00:00 AM,Swift,4988,0,323,0,30
25-101-23728-00-00,3/31/2019 12:00:00 AM,Swift,4988,0,207,0,28
25-101-23728-00-00,2/28/2019 12:00:00 AM,Swift,4988,0,182,0,28
25-101-23728-00-00,1/31/2019 12:00:00 AM,Swift,4988,0,327,0,31
25-101-23728-00-00,12/31/2018 12:00:00 AM,Swift,4988,0,309,0,31
25-101-23728-00-00,11/30/2018 12:00:00 AM,Swift,4988,0,286,0,30
25-101-23728-00-00,10/31/2018 12:00:00 AM,Swift,4988,0,310,0,31
25-101-23728-00-00,9/30/2018 12:00:00 AM,Swift,4988,0,322,0,30
25-101-23728-00-00,8/31/2018 12:00:00 AM,Swift,4988,0,300,0,31
25-101-23728-00-00,7/31/2018 12:00:00 AM,Swift,4988,0,303,0,31
25-101-23728-00-00,6/30/2018 12:00:00 AM,Swift,4988,0,312,0,30
25-101-23728-00-00,5/31/2018 12:00:00 AM,Swift,4988,0,343,0,31
25-101-23728-00-00,4/30/2018 12:00:00 AM,Swift,4988,0,318,0,31
25-101-23728-00-00,3/31/2018 12:00:00 AM,Swift,4988,0,353,0,31
25-101-23728-00-00,2/28/2018 12:00:00 AM,Swift,4988,0,275,0,31
25-101-23728-00-00,1/31/2018 12:00:00 AM,Swift,4988,0,323,0,31
25-101-23728-00-00,12/31/2017 12:00:00 AM,Swift,4988,0,286,0,31
25-101-23728-00-00,11/30/2017 12:00:00 AM,Swift,4988,0,366,0,30
25-101-23728-00-00,10/31/2017 12:00:00 AM,Swift,4988,0,359,0,31
25-101-23728-00-00,9/30/2017 12:00:00 AM,Swift,4988,0,318,0,31
25-101-23728-00-00,8/31/2017 12:00:00 AM,Swift,4988,0,297,0,31
25-101-23728-00-00,7/31/2017 12:00:00 AM,Swift,4988,0,321,0,31
25-101-23728-00-00,6/30/2017 12:00:00 AM,Swift,4988,0,298,0,30
25-101-23728-00-00,5/31/2017 12:00:00 AM,Swift,4988,0,355,0,31
25-101-23728-00-00,4/30/2017 12:00:00 AM,Swift,4988,0,384,0,30
25-101-23728-00-00,3/31/2017 12:00:00 AM,Swift,4988,0,319,0,31
25-101-23728-00-00,2/28/2017 12:00:00 AM,Swift,4988,0,329,0,28
25-101-23728-00-00,1/31/2017 12:00:00 AM,Swift,4988,0,339,0,31
25-101-23728-00-00,12/31/2016 12:00:00 AM,Swift,4988,0,351,0,31
25-101-23728-00-00,11/30/2016 12:00:00 AM,Swift,4988,0,324,0,31
