API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-087-05135-00-00,11/30/1989 12:00:00 AM,Tyler,1296,2,0,0,0
25-087-05135-00-00,10/31/1989 12:00:00 AM,Tyler,1296,33,0,0,0
25-087-05135-00-00,9/30/1989 12:00:00 AM,Tyler,1296,38,0,0,0
25-087-05135-00-00,8/31/1989 12:00:00 AM,Tyler,1296,29,0,0,0
25-087-05135-00-00,7/31/1989 12:00:00 AM,Tyler,1296,37,0,0,0
25-087-05135-00-00,6/30/1989 12:00:00 AM,Tyler,1296,75,0,0,0
25-087-05135-00-00,5/31/1989 12:00:00 AM,Tyler,1296,69,0,0,0
25-087-05135-00-00,4/30/1989 12:00:00 AM,Tyler,1296,98,0,0,0
25-087-05135-00-00,3/31/1989 12:00:00 AM,Tyler,1296,9,0,0,0
25-087-05135-00-00,2/28/1989 12:00:00 AM,Tyler,1296,37,0,0,0
25-087-05135-00-00,1/31/1989 12:00:00 AM,Tyler,1296,70,0,0,0
25-087-05135-00-00,12/31/1988 12:00:00 AM,Tyler,1296,84,0,0,0
25-087-05135-00-00,11/30/1988 12:00:00 AM,Tyler,1296,80,0,0,0
25-087-05135-00-00,10/31/1988 12:00:00 AM,Tyler,1296,94,0,0,0
25-087-05135-00-00,9/30/1988 12:00:00 AM,Tyler,1296,76,0,0,0
25-087-05135-00-00,8/31/1988 12:00:00 AM,Tyler,1296,77,0,0,0
25-087-05135-00-00,7/31/1988 12:00:00 AM,Tyler,1296,84,0,0,0
25-087-05135-00-00,6/30/1988 12:00:00 AM,Tyler,1296,86,0,0,0
25-087-05135-00-00,5/31/1988 12:00:00 AM,Tyler,1296,75,0,0,0
25-087-05135-00-00,4/30/1988 12:00:00 AM,Tyler,1296,85,0,0,0
25-087-05135-00-00,3/31/1988 12:00:00 AM,Tyler,1296,85,0,0,30
25-087-05135-00-00,2/29/1988 12:00:00 AM,Tyler,1296,86,0,0,0
25-087-05135-00-00,1/31/1988 12:00:00 AM,Tyler,1296,76,0,0,0
25-087-05135-00-00,12/31/1987 12:00:00 AM,Tyler,1296,65,0,0,0
25-087-05135-00-00,11/30/1987 12:00:00 AM,Tyler,1296,82,0,0,0
25-087-05135-00-00,10/31/1987 12:00:00 AM,Tyler,1296,85,0,0,0
25-087-05135-00-00,9/30/1987 12:00:00 AM,Tyler,1296,85,0,0,0
25-087-05135-00-00,8/31/1987 12:00:00 AM,Tyler,1296,89,0,0,0
25-087-05135-00-00,7/31/1987 12:00:00 AM,Tyler,1296,88,0,0,0
25-087-05135-00-00,6/30/1987 12:00:00 AM,Tyler,1296,89,0,0,0
25-087-05135-00-00,5/31/1987 12:00:00 AM,Tyler,1296,83,0,0,0
25-087-05135-00-00,4/30/1987 12:00:00 AM,Tyler,1296,85,0,0,0
25-087-05135-00-00,3/31/1987 12:00:00 AM,Tyler,1296,91,0,0,0
25-087-05135-00-00,2/28/1987 12:00:00 AM,Tyler,1296,80,0,0,27
25-087-05135-00-00,1/31/1987 12:00:00 AM,Tyler,1296,86,0,0,31
25-087-05135-00-00,12/31/1986 12:00:00 AM,Tyler,1296,128,0,0,0
25-087-05135-00-00,11/30/1986 12:00:00 AM,Tyler,1296,85,0,0,0
25-087-05135-00-00,10/31/1986 12:00:00 AM,Tyler,1296,96,0,0,0
25-087-05135-00-00,9/30/1986 12:00:00 AM,Tyler,1296,96,0,0,0
25-087-05135-00-00,8/31/1986 12:00:00 AM,Tyler,1296,106,0,0,31
25-087-05135-00-00,7/31/1986 12:00:00 AM,Tyler,1296,110,0,0,0
25-087-05135-00-00,6/30/1986 12:00:00 AM,Tyler,1296,124,0,0,0
25-087-05135-00-00,5/31/1986 12:00:00 AM,Tyler,1296,78,0,0,0
25-087-05135-00-00,4/30/1986 12:00:00 AM,Tyler,1296,103,0,0,0
25-087-05135-00-00,3/31/1986 12:00:00 AM,Tyler,1296,130,0,0,31
25-087-05135-00-00,2/28/1986 12:00:00 AM,Tyler,1296,111,0,0,0
25-087-05135-00-00,1/31/1986 12:00:00 AM,Tyler,1296,98,0,0,31
