API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-05348-00-00,8/31/1992 12:00:00 AM,Cut Bank,2021,0,0,0,0
25-035-05348-00-00,7/31/1992 12:00:00 AM,Cut Bank,2021,0,0,0,0
25-035-05348-00-00,6/30/1992 12:00:00 AM,Cut Bank,2021,0,0,0,0
25-035-05348-00-00,1/31/1989 12:00:00 AM,Cut Bank,2021,60,909,600,30
25-035-05348-00-00,12/31/1988 12:00:00 AM,Cut Bank,2021,62,4545,930,31
25-035-05348-00-00,11/30/1988 12:00:00 AM,Cut Bank,2021,54,2941,675,27
25-035-05348-00-00,10/31/1988 12:00:00 AM,Cut Bank,2021,46,13,230,23
25-035-05348-00-00,9/30/1988 12:00:00 AM,Cut Bank,2021,60,12,900,30
25-035-05348-00-00,8/31/1988 12:00:00 AM,Cut Bank,2021,62,28,720,31
25-035-05348-00-00,7/31/1988 12:00:00 AM,Cut Bank,2021,62,0,720,31
25-035-05348-00-00,6/30/1988 12:00:00 AM,Cut Bank,2021,30,0,720,27
25-035-05348-00-00,5/31/1988 12:00:00 AM,Cut Bank,2021,87,0,841,29
25-035-05348-00-00,4/30/1988 12:00:00 AM,Cut Bank,2021,60,35,900,30
25-035-05348-00-00,3/31/1988 12:00:00 AM,Cut Bank,2021,93,0,899,31
25-035-05348-00-00,2/29/1988 12:00:00 AM,Cut Bank,2021,58,0,812,29
25-035-05348-00-00,1/31/1988 12:00:00 AM,Cut Bank,2021,62,0,868,31
25-035-05348-00-00,12/31/1987 12:00:00 AM,Cut Bank,2021,93,0,899,31
25-035-05348-00-00,11/30/1987 12:00:00 AM,Cut Bank,2021,84,0,812,28
25-035-05348-00-00,10/31/1987 12:00:00 AM,Cut Bank,2021,93,0,899,31
25-035-05348-00-00,9/30/1987 12:00:00 AM,Cut Bank,2021,60,0,840,30
25-035-05348-00-00,8/31/1987 12:00:00 AM,Cut Bank,2021,31,0,91,31
25-035-05348-00-00,7/31/1987 12:00:00 AM,Cut Bank,2021,93,0,1178,31
25-035-05348-00-00,6/30/1987 12:00:00 AM,Cut Bank,2021,93,0,900,30
25-035-05348-00-00,5/31/1987 12:00:00 AM,Cut Bank,2021,93,0,270,31
25-035-05348-00-00,5/31/1986 12:00:00 AM,Cut Bank,2021,29,0,255,12
25-035-05348-00-00,4/30/1986 12:00:00 AM,Cut Bank,2021,82,0,637,30
25-035-05348-00-00,3/31/1986 12:00:00 AM,Cut Bank,2021,39,0,340,16
25-035-05348-00-00,2/28/1986 12:00:00 AM,Cut Bank,2021,14,0,148,7
25-035-05348-00-00,1/31/1986 12:00:00 AM,Cut Bank,2021,58,0,658,31
