API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-073-21670-00-00,7/31/2025 12:00:00 AM,Madison,26,42,0,3777,31
25-073-21670-00-00,6/30/2025 12:00:00 AM,Madison,26,41,0,3753,30
25-073-21670-00-00,5/31/2025 12:00:00 AM,Madison,26,44,0,3904,31
25-073-21670-00-00,4/30/2025 12:00:00 AM,Madison,26,42,0,3835,30
25-073-21670-00-00,3/31/2025 12:00:00 AM,Madison,26,46,0,3877,31
25-073-21670-00-00,2/28/2025 12:00:00 AM,Madison,26,19,0,1765,13
25-073-21670-00-00,1/31/2025 12:00:00 AM,Madison,26,42,0,3763,31
25-073-21670-00-00,12/31/2024 12:00:00 AM,Madison,26,42,0,3833,31
25-073-21670-00-00,11/30/2024 12:00:00 AM,Madison,26,39,0,3608,30
25-073-21670-00-00,10/31/2024 12:00:00 AM,Madison,26,44,0,3915,31
25-073-21670-00-00,9/30/2024 12:00:00 AM,Madison,26,40,0,3827,30
25-073-21670-00-00,8/31/2024 12:00:00 AM,Madison,26,43,0,4171,31
25-073-21670-00-00,7/31/2024 12:00:00 AM,Madison,26,43,0,4209,31
25-073-21670-00-00,6/30/2024 12:00:00 AM,Madison,26,41,0,4050,30
25-073-21670-00-00,5/31/2024 12:00:00 AM,Madison,26,42,0,4735,31
25-073-21670-00-00,4/30/2024 12:00:00 AM,Madison,26,40,0,3641,30
25-073-21670-00-00,3/31/2024 12:00:00 AM,Madison,26,44,0,3799,31
25-073-21670-00-00,2/29/2024 12:00:00 AM,Madison,26,43,0,3172,29
25-073-21670-00-00,1/31/2024 12:00:00 AM,Madison,26,31,0,3879,25
25-073-21670-00-00,12/31/2023 12:00:00 AM,Madison,26,44,0,4110,31
25-073-21670-00-00,11/30/2023 12:00:00 AM,Madison,26,44,0,3997,30
25-073-21670-00-00,10/31/2023 12:00:00 AM,Madison,26,21,0,2076,31
25-073-21670-00-00,9/30/2023 12:00:00 AM,Madison,26,40,0,4369,30
25-073-21670-00-00,8/31/2023 12:00:00 AM,Madison,26,36,0,3682,31
25-073-21670-00-00,7/31/2023 12:00:00 AM,Madison,26,40,0,3863,31
25-073-21670-00-00,6/30/2023 12:00:00 AM,Madison,26,41,0,4099,31
25-073-21670-00-00,5/31/2023 12:00:00 AM,Madison,26,44,0,4633,31
25-073-21670-00-00,4/30/2023 12:00:00 AM,Madison,26,40,0,3993,30
25-073-21670-00-00,3/31/2023 12:00:00 AM,Madison,26,44,0,4592,31
25-073-21670-00-00,2/28/2023 12:00:00 AM,Madison,26,43,0,4257,28
25-073-21670-00-00,1/31/2023 12:00:00 AM,Madison,26,43,0,4181,30
25-073-21670-00-00,12/31/2022 12:00:00 AM,Madison,26,39,0,3580,31
25-073-21670-00-00,11/30/2022 12:00:00 AM,Madison,26,38,0,3629,38
25-073-21670-00-00,10/31/2022 12:00:00 AM,Madison,26,44,0,3788,31
25-073-21670-00-00,9/30/2022 12:00:00 AM,Madison,26,40,0,3651,30
25-073-21670-00-00,8/31/2022 12:00:00 AM,Madison,26,43,0,3730,31
25-073-21670-00-00,7/31/2022 12:00:00 AM,Madison,26,42,0,3875,31
25-073-21670-00-00,6/30/2022 12:00:00 AM,Madison,26,41,0,3758,30
25-073-21670-00-00,5/31/2022 12:00:00 AM,Madison,26,45,0,4020,31
25-073-21670-00-00,4/30/2022 12:00:00 AM,Madison,26,44,0,4464,30
25-073-21670-00-00,3/31/2022 12:00:00 AM,Madison,26,46,0,5021,31
25-073-21670-00-00,2/28/2022 12:00:00 AM,Madison,26,43,0,4523,28
25-073-21670-00-00,1/31/2022 12:00:00 AM,Madison,26,44,0,4680,30
25-073-21670-00-00,12/31/2021 12:00:00 AM,Madison,26,42,0,4528,31
25-073-21670-00-00,11/30/2021 12:00:00 AM,Madison,26,42,0,4244,30
25-073-21670-00-00,10/31/2021 12:00:00 AM,Madison,26,38,0,4207,31
25-073-21670-00-00,9/30/2021 12:00:00 AM,Madison,26,43,0,4244,30
25-073-21670-00-00,8/31/2021 12:00:00 AM,Madison,26,45,0,4292,31
25-073-21670-00-00,7/31/2021 12:00:00 AM,Madison,26,42,0,3897,31
25-073-21670-00-00,6/30/2021 12:00:00 AM,Madison,26,38,0,3258,26
25-073-21670-00-00,5/31/2021 12:00:00 AM,Madison,26,45,0,3815,31
25-073-21670-00-00,4/30/2021 12:00:00 AM,Madison,26,52,0,4493,30
25-073-21670-00-00,3/31/2021 12:00:00 AM,Madison,26,47,0,4039,31
25-073-21670-00-00,2/28/2021 12:00:00 AM,Madison,26,49,0,4130,28
25-073-21670-00-00,1/31/2021 12:00:00 AM,Madison,26,60,0,5486,31
25-073-21670-00-00,12/31/2020 12:00:00 AM,Madison,26,50,0,3649,31
