API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-22271-00-00,10/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,9/30/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,8/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,7/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,6/30/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,5/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,4/30/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,3/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,2/28/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,1/31/1995 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,12/31/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,11/30/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,10/31/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,9/30/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,8/31/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,7/31/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,6/30/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,5/31/1994 12:00:00 AM,Bow Island,2893,0,1,0,31
25-101-22271-00-00,4/30/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,3/31/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,2/28/1994 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,1/31/1994 12:00:00 AM,Bow Island,2893,0,1,0,31
25-101-22271-00-00,12/31/1993 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,11/30/1993 12:00:00 AM,Bow Island,2893,0,10,0,30
25-101-22271-00-00,10/31/1993 12:00:00 AM,Bow Island,2893,0,30,0,31
25-101-22271-00-00,9/30/1993 12:00:00 AM,Bow Island,2893,0,40,0,30
25-101-22271-00-00,8/31/1993 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,7/31/1993 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,6/30/1993 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,5/31/1993 12:00:00 AM,Bow Island,2893,0,0,0,0
25-101-22271-00-00,4/30/1993 12:00:00 AM,Bow Island,2893,0,11,0,30
