API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21024-00-00,12/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,11/30/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,10/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,9/30/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,8/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,7/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,6/30/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,5/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,4/30/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,3/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,2/29/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,1/31/2012 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,12/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,11/30/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,10/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,9/30/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,8/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,7/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,6/30/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,5/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,4/30/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,3/31/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,2/28/2011 12:00:00 AM,Interlake,60,0,0,0,0
25-083-21024-00-00,1/31/2011 12:00:00 AM,Interlake,60,1,27,0,1
25-083-21024-00-00,12/31/2010 12:00:00 AM,Interlake,60,56,8,641,2
25-083-21024-00-00,11/30/2010 12:00:00 AM,Interlake,60,179,150,15770,30
25-083-21024-00-00,10/31/2010 12:00:00 AM,Interlake,60,84,51,11855,27
25-083-21024-00-00,9/30/2010 12:00:00 AM,Interlake,60,108,53,12634,30
25-083-21024-00-00,8/31/2010 12:00:00 AM,Interlake,60,116,60,13738,31
25-083-21024-00-00,7/31/2010 12:00:00 AM,Interlake,60,107,40,8538,22
25-083-21024-00-00,6/30/2010 12:00:00 AM,Interlake,60,199,57,14394,29
25-083-21024-00-00,5/31/2010 12:00:00 AM,Interlake,60,215,61,15168,31
25-083-21024-00-00,4/30/2010 12:00:00 AM,Interlake,60,215,90,14672,30
25-083-21024-00-00,3/31/2010 12:00:00 AM,Interlake,60,246,93,13859,31
25-083-21024-00-00,2/28/2010 12:00:00 AM,Interlake,60,183,83,12532,28
25-083-21024-00-00,1/31/2010 12:00:00 AM,Interlake,60,102,63,6980,18
25-083-21024-00-00,12/31/2009 12:00:00 AM,Interlake,60,232,88,13473,31
25-083-21024-00-00,11/30/2009 12:00:00 AM,Interlake,60,190,87,11952,29
25-083-21024-00-00,10/31/2009 12:00:00 AM,Interlake,60,225,52,11463,27
25-083-21024-00-00,9/30/2009 12:00:00 AM,Interlake,60,247,59,12977,30
25-083-21024-00-00,8/31/2009 12:00:00 AM,Interlake,60,261,62,13702,31
25-083-21024-00-00,7/31/2009 12:00:00 AM,Interlake,60,228,216,12199,27
25-083-21024-00-00,6/30/2009 12:00:00 AM,Interlake,60,276,240,14162,30
25-083-21024-00-00,5/31/2009 12:00:00 AM,Interlake,60,293,248,14958,31
25-083-21024-00-00,4/30/2009 12:00:00 AM,Interlake,60,294,240,14319,30
25-083-21024-00-00,3/31/2009 12:00:00 AM,Interlake,60,191,248,14939,31
25-083-21024-00-00,2/28/2009 12:00:00 AM,Interlake,60,57,48,2123,7
25-083-21024-00-00,1/31/2009 12:00:00 AM,Interlake,60,68,64,4217,8
25-083-21024-00-00,12/31/2008 12:00:00 AM,Interlake,60,142,162,9771,22
25-083-21024-00-00,11/30/2008 12:00:00 AM,Interlake,60,302,240,14629,30
25-083-21024-00-00,10/31/2008 12:00:00 AM,Interlake,60,216,202,12410,26
25-083-21024-00-00,9/30/2008 12:00:00 AM,Interlake,60,98,153,9639,22
25-083-21024-00-00,8/31/2008 12:00:00 AM,Interlake,60,285,208,10838,26
25-083-21024-00-00,7/31/2008 12:00:00 AM,Interlake,60,296,241,14723,31
25-083-21024-00-00,6/30/2008 12:00:00 AM,Interlake,60,326,240,14255,30
25-083-21024-00-00,5/31/2008 12:00:00 AM,Interlake,60,338,248,15329,31
25-083-21024-00-00,4/30/2008 12:00:00 AM,Interlake,60,328,240,14899,30
25-083-21024-00-00,3/31/2008 12:00:00 AM,Interlake,60,342,248,15402,31
25-083-21024-00-00,2/29/2008 12:00:00 AM,Interlake,60,346,232,14296,29
25-083-21024-00-00,1/31/2008 12:00:00 AM,Interlake,60,339,237,14458,30
25-083-21024-00-00,12/31/2007 12:00:00 AM,Interlake,60,384,248,15322,31
25-083-21024-00-00,11/30/2007 12:00:00 AM,Interlake,60,325,222,13006,28
25-083-21024-00-00,10/31/2007 12:00:00 AM,Interlake,60,281,248,14423,31
25-083-21024-00-00,9/30/2007 12:00:00 AM,Interlake,60,22,39,1688,6
25-083-21024-00-00,8/31/2007 12:00:00 AM,Interlake,60,238,169,7971,22
25-083-21024-00-00,7/31/2007 12:00:00 AM,Interlake,60,367,228,10166,31
25-083-21024-00-00,6/30/2007 12:00:00 AM,Interlake,60,355,240,12861,30
25-083-21024-00-00,5/31/2007 12:00:00 AM,Interlake,60,359,155,13713,31
25-083-21024-00-00,4/30/2007 12:00:00 AM,Interlake,60,366,150,13451,30
25-083-21024-00-00,3/31/2007 12:00:00 AM,Interlake,60,375,155,13590,31
25-083-21024-00-00,2/28/2007 12:00:00 AM,Interlake,60,329,140,12295,28
25-083-21024-00-00,1/31/2007 12:00:00 AM,Interlake,60,355,150,13145,31
25-083-21024-00-00,12/31/2006 12:00:00 AM,Interlake,60,391,155,13647,31
25-083-21024-00-00,11/30/2006 12:00:00 AM,Interlake,60,380,150,13058,30
