API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23405-00-00,6/30/2025 12:00:00 AM,Bakken,8970,2606,7700,8068,30
25-083-23405-00-00,5/31/2025 12:00:00 AM,Bakken,8970,2591,8072,8393,30
25-083-23405-00-00,4/30/2025 12:00:00 AM,Bakken,8970,2864,7923,7736,30
25-083-23405-00-00,3/31/2025 12:00:00 AM,Bakken,8970,3007,8989,8945,31
25-083-23405-00-00,2/28/2025 12:00:00 AM,Bakken,8970,2305,6388,8423,28
25-083-23405-00-00,1/31/2025 12:00:00 AM,Bakken,8970,1298,4049,6609,23
25-083-23405-00-00,12/31/2024 12:00:00 AM,Bakken,8970,1391,7008,4595,14
25-083-23405-00-00,11/30/2024 12:00:00 AM,Bakken,8970,3110,14401,10072,30
25-083-23405-00-00,10/31/2024 12:00:00 AM,Bakken,8970,3517,12500,11290,31
25-083-23405-00-00,9/30/2024 12:00:00 AM,Bakken,8970,3354,13103,11796,30
25-083-23405-00-00,8/31/2024 12:00:00 AM,Bakken,8970,3815,15879,12492,31
25-083-23405-00-00,7/31/2024 12:00:00 AM,Bakken,8970,4062,15877,12176,31
25-083-23405-00-00,6/30/2024 12:00:00 AM,Bakken,8970,4530,16550,12274,30
25-083-23405-00-00,5/31/2024 12:00:00 AM,Bakken,8970,5010,17514,13271,31
25-083-23405-00-00,4/30/2024 12:00:00 AM,Bakken,8970,7054,17070,15782,30
25-083-23405-00-00,3/31/2024 12:00:00 AM,Bakken,8970,3689,4879,11225,22
25-083-23405-00-00,2/29/2024 12:00:00 AM,Bakken,8970,5010,7992,11705,29
25-083-23405-00-00,1/31/2024 12:00:00 AM,Bakken,8970,5221,8607,13313,31
25-083-23405-00-00,12/31/2023 12:00:00 AM,Bakken,8970,5081,10086,13787,31
25-083-23405-00-00,11/30/2023 12:00:00 AM,Bakken,8970,6172,11948,13975,30
25-083-23405-00-00,10/31/2023 12:00:00 AM,Bakken,8970,6148,8099,16037,31
25-083-23405-00-00,9/30/2023 12:00:00 AM,Bakken,8970,6250,9648,15980,30
25-083-23405-00-00,8/31/2023 12:00:00 AM,Bakken,8970,6766,10385,17864,31
25-083-23405-00-00,7/31/2023 12:00:00 AM,Bakken,8970,7511,13683,18573,31
25-083-23405-00-00,6/30/2023 12:00:00 AM,Bakken,8970,9077,17095,20992,30
25-083-23405-00-00,5/31/2023 12:00:00 AM,Bakken,8970,11333,18270,23995,31
25-083-23405-00-00,4/30/2023 12:00:00 AM,Bakken,8970,9257,9694,21894,24
25-083-23405-00-00,3/31/2023 12:00:00 AM,Bakken,8970,14558,22714,27371,30
25-083-23405-00-00,2/28/2023 12:00:00 AM,Bakken,8970,17138,19144,29895,28
25-083-23405-00-00,1/31/2023 12:00:00 AM,Bakken,8970,14728,12400,33854,25
25-083-23405-00-00,12/31/2022 12:00:00 AM,Bakken,8970,14042,13334,28305,22
25-083-23405-00-00,11/30/2022 12:00:00 AM,Bakken,8970,25031,20200,47037,30
25-083-23405-00-00,10/31/2022 12:00:00 AM,Bakken,8970,27252,21179,58267,31
25-083-23405-00-00,9/30/2022 12:00:00 AM,Bakken,8970,28452,19610,65868,30
25-083-23405-00-00,8/31/2022 12:00:00 AM,Bakken,8970,31714,24334,73556,31
25-083-23405-00-00,7/31/2022 12:00:00 AM,Bakken,8970,27691,21243,70605,30
25-083-23405-00-00,6/30/2022 12:00:00 AM,Bakken,8970,41877,31355,101718,30
