API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22557-00-00,7/31/2025 12:00:00 AM,Bakken,7207,171,293,27,31
25-083-22557-00-00,6/30/2025 12:00:00 AM,Bakken,7207,179,165,17,30
25-083-22557-00-00,5/31/2025 12:00:00 AM,Bakken,7207,196,240,15,31
25-083-22557-00-00,4/30/2025 12:00:00 AM,Bakken,7207,205,307,24,30
25-083-22557-00-00,3/31/2025 12:00:00 AM,Bakken,7207,245,283,23,31
25-083-22557-00-00,2/28/2025 12:00:00 AM,Bakken,7207,192,212,20,28
25-083-22557-00-00,1/31/2025 12:00:00 AM,Bakken,7207,248,410,27,31
25-083-22557-00-00,12/31/2024 12:00:00 AM,Bakken,7207,247,338,37,31
25-083-22557-00-00,11/30/2024 12:00:00 AM,Bakken,7207,177,180,18,30
25-083-22557-00-00,10/31/2024 12:00:00 AM,Bakken,7207,218,163,23,31
25-083-22557-00-00,9/30/2024 12:00:00 AM,Bakken,7207,201,93,17,30
25-083-22557-00-00,8/31/2024 12:00:00 AM,Bakken,7207,216,340,22,31
25-083-22557-00-00,7/31/2024 12:00:00 AM,Bakken,7207,218,348,23,31
25-083-22557-00-00,6/30/2024 12:00:00 AM,Bakken,7207,234,394,27,30
25-083-22557-00-00,5/31/2024 12:00:00 AM,Bakken,7207,241,391,24,31
25-083-22557-00-00,4/30/2024 12:00:00 AM,Bakken,7207,238,360,27,30
25-083-22557-00-00,3/31/2024 12:00:00 AM,Bakken,7207,263,369,24,31
25-083-22557-00-00,2/29/2024 12:00:00 AM,Bakken,7207,235,347,30,29
25-083-22557-00-00,1/31/2024 12:00:00 AM,Bakken,7207,252,375,22,31
25-083-22557-00-00,12/31/2023 12:00:00 AM,Bakken,7207,262,403,33,31
25-083-22557-00-00,11/30/2023 12:00:00 AM,Bakken,7207,266,298,32,30
25-083-22557-00-00,10/31/2023 12:00:00 AM,Bakken,7207,241,362,30,31
25-083-22557-00-00,9/30/2023 12:00:00 AM,Bakken,7207,246,385,22,30
25-083-22557-00-00,8/31/2023 12:00:00 AM,Bakken,7207,253,395,29,31
25-083-22557-00-00,7/31/2023 12:00:00 AM,Bakken,7207,280,445,30,31
25-083-22557-00-00,6/30/2023 12:00:00 AM,Bakken,7207,259,407,28,30
25-083-22557-00-00,5/31/2023 12:00:00 AM,Bakken,7207,263,391,29,31
25-083-22557-00-00,4/30/2023 12:00:00 AM,Bakken,7207,289,371,35,30
25-083-22557-00-00,3/31/2023 12:00:00 AM,Bakken,7207,298,328,30,31
25-083-22557-00-00,2/28/2023 12:00:00 AM,Bakken,7207,270,295,17,28
25-083-22557-00-00,1/31/2023 12:00:00 AM,Bakken,7207,329,370,40,31
25-083-22557-00-00,12/31/2022 12:00:00 AM,Bakken,7207,324,374,33,31
25-083-22557-00-00,11/30/2022 12:00:00 AM,Bakken,7207,337,369,38,30
25-083-22557-00-00,10/31/2022 12:00:00 AM,Bakken,7207,334,478,62,31
25-083-22557-00-00,9/30/2022 12:00:00 AM,Bakken,7207,207,296,177,30
25-083-22557-00-00,8/31/2022 12:00:00 AM,Bakken,7207,0,0,0,1
25-083-22557-00-00,7/31/2022 12:00:00 AM,Bakken,7207,0,0,0,0
