API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-21577-00-00,7/31/1988 12:00:00 AM,Red River,3613,16,0,0,0
25-091-21577-00-00,1/31/1988 12:00:00 AM,Red River,3613,1,0,0,1
25-091-21577-00-00,12/31/1987 12:00:00 AM,Red River,3613,5,0,1250,31
25-091-21577-00-00,7/31/1987 12:00:00 AM,Red River,3613,42,0,700,5
25-091-21577-00-00,6/30/1987 12:00:00 AM,Red River,3613,187,60,1800,30
25-091-21577-00-00,5/31/1987 12:00:00 AM,Red River,3613,10,62,0,31
25-091-21577-00-00,4/30/1987 12:00:00 AM,Red River,3613,78,60,0,0
25-091-21577-00-00,3/31/1987 12:00:00 AM,Red River,3613,69,63,0,31
25-091-21577-00-00,2/28/1987 12:00:00 AM,Red River,3613,307,280,2113,28
25-091-21577-00-00,1/31/1987 12:00:00 AM,Red River,3613,363,310,2349,31
25-091-21577-00-00,12/31/1986 12:00:00 AM,Red River,3613,362,310,2088,31
25-091-21577-00-00,11/30/1986 12:00:00 AM,Red River,3613,371,300,2184,30
25-091-21577-00-00,10/31/1986 12:00:00 AM,Red River,3613,403,310,2157,31
25-091-21577-00-00,9/30/1986 12:00:00 AM,Red River,3613,406,300,2713,30
25-091-21577-00-00,8/31/1986 12:00:00 AM,Red River,3613,371,310,4327,31
25-091-21577-00-00,7/31/1986 12:00:00 AM,Red River,3613,107,180,456,18
25-091-21577-00-00,6/30/1986 12:00:00 AM,Red River,3613,496,300,1344,28
25-091-21577-00-00,5/31/1986 12:00:00 AM,Red River,3613,651,310,2283,31
25-091-21577-00-00,4/30/1986 12:00:00 AM,Red River,3613,413,300,1161,24
25-091-21577-00-00,3/31/1986 12:00:00 AM,Red River,3613,295,217,750,31
25-091-21577-00-00,2/28/1986 12:00:00 AM,Red River,3613,692,308,1836,28
25-091-21577-00-00,1/31/1986 12:00:00 AM,Red River,3613,587,230,630,29
