API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23097-00-00,6/30/2025 12:00:00 AM,Bow Island,3879,0,0,0,30
25-101-23097-00-00,5/31/2025 12:00:00 AM,Bow Island,3879,0,172,0,31
25-101-23097-00-00,4/30/2025 12:00:00 AM,Bow Island,3879,0,161,0,31
25-101-23097-00-00,3/31/2025 12:00:00 AM,Bow Island,3879,0,125,0,31
25-101-23097-00-00,2/28/2025 12:00:00 AM,Bow Island,3879,0,62,0,28
25-101-23097-00-00,1/31/2025 12:00:00 AM,Bow Island,3879,0,123,0,31
25-101-23097-00-00,12/31/2024 12:00:00 AM,Bow Island,3879,0,138,0,31
25-101-23097-00-00,11/30/2024 12:00:00 AM,Bow Island,3879,0,124,0,30
25-101-23097-00-00,10/31/2024 12:00:00 AM,Bow Island,3879,0,100,0,31
25-101-23097-00-00,9/30/2024 12:00:00 AM,Bow Island,3879,0,59,0,30
25-101-23097-00-00,8/31/2024 12:00:00 AM,Bow Island,3879,0,0,0,31
25-101-23097-00-00,7/31/2024 12:00:00 AM,Bow Island,3879,0,0,0,31
25-101-23097-00-00,6/30/2024 12:00:00 AM,Bow Island,3879,0,0,0,30
25-101-23097-00-00,5/31/2024 12:00:00 AM,Bow Island,3879,0,0,0,31
25-101-23097-00-00,4/30/2024 12:00:00 AM,Bow Island,3879,0,125,0,30
25-101-23097-00-00,3/31/2024 12:00:00 AM,Bow Island,3879,0,57,0,31
25-101-23097-00-00,2/29/2024 12:00:00 AM,Bow Island,3879,0,108,0,29
25-101-23097-00-00,1/31/2024 12:00:00 AM,Bow Island,3879,0,118,0,31
25-101-23097-00-00,12/31/2023 12:00:00 AM,Bow Island,3879,0,63,0,31
25-101-23097-00-00,11/30/2023 12:00:00 AM,Bow Island,3879,0,129,0,30
25-101-23097-00-00,10/31/2023 12:00:00 AM,Bow Island,3879,0,137,0,31
25-101-23097-00-00,9/30/2023 12:00:00 AM,Bow Island,3879,0,122,0,30
25-101-23097-00-00,8/31/2023 12:00:00 AM,Bow Island,3879,0,126,0,31
25-101-23097-00-00,7/31/2023 12:00:00 AM,Bow Island,3879,0,159,0,31
25-101-23097-00-00,6/30/2023 12:00:00 AM,Bow Island,3879,0,178,0,30
25-101-23097-00-00,5/31/2023 12:00:00 AM,Bow Island,3879,0,163,0,31
25-101-23097-00-00,4/30/2023 12:00:00 AM,Bow Island,3879,0,170,0,30
25-101-23097-00-00,3/31/2023 12:00:00 AM,Bow Island,3879,0,181,0,31
25-101-23097-00-00,2/28/2023 12:00:00 AM,Bow Island,3879,0,134,0,28
25-101-23097-00-00,1/31/2023 12:00:00 AM,Bow Island,3879,0,165,0,31
25-101-23097-00-00,12/31/2022 12:00:00 AM,Bow Island,3879,0,93,0,31
25-101-23097-00-00,11/30/2022 12:00:00 AM,Bow Island,3879,0,143,0,30
25-101-23097-00-00,10/31/2022 12:00:00 AM,Bow Island,3879,0,152,0,31
25-101-23097-00-00,9/30/2022 12:00:00 AM,Bow Island,3879,0,145,0,30
25-101-23097-00-00,8/31/2022 12:00:00 AM,Bow Island,3879,0,143,0,31
25-101-23097-00-00,7/31/2022 12:00:00 AM,Bow Island,3879,0,129,0,31
25-101-23097-00-00,6/30/2022 12:00:00 AM,Bow Island,3879,0,135,0,30
25-101-23097-00-00,5/31/2022 12:00:00 AM,Bow Island,3879,0,129,0,31
25-101-23097-00-00,4/30/2022 12:00:00 AM,Bow Island,3879,0,148,0,30
25-101-23097-00-00,3/31/2022 12:00:00 AM,Bow Island,3879,0,109,0,31
25-101-23097-00-00,2/28/2022 12:00:00 AM,Bow Island,3879,0,116,0,28
25-101-23097-00-00,1/31/2022 12:00:00 AM,Bow Island,3879,0,131,0,31
25-101-23097-00-00,12/31/2021 12:00:00 AM,Bow Island,3879,0,126,0,31
25-101-23097-00-00,11/30/2021 12:00:00 AM,Bow Island,3879,0,117,0,30
25-101-23097-00-00,10/31/2021 12:00:00 AM,Bow Island,3879,0,132,0,31
25-101-23097-00-00,9/30/2021 12:00:00 AM,Bow Island,3879,0,111,0,30
25-101-23097-00-00,8/31/2021 12:00:00 AM,Bow Island,3879,0,111,0,31
25-101-23097-00-00,7/31/2021 12:00:00 AM,Bow Island,3879,0,156,0,31
25-101-23097-00-00,6/30/2021 12:00:00 AM,Bow Island,3879,0,157,0,30
25-101-23097-00-00,5/31/2021 12:00:00 AM,Bow Island,3879,0,161,0,31
25-101-23097-00-00,4/30/2021 12:00:00 AM,Bow Island,3879,0,159,0,30
25-101-23097-00-00,3/31/2021 12:00:00 AM,Bow Island,3879,0,169,0,31
25-101-23097-00-00,2/28/2021 12:00:00 AM,Bow Island,3879,0,149,0,28
25-101-23097-00-00,1/31/2021 12:00:00 AM,Bow Island,3879,0,170,0,31
25-101-23097-00-00,12/31/2020 12:00:00 AM,Bow Island,3879,0,132,0,31
25-101-23097-00-00,11/30/2020 12:00:00 AM,Bow Island,3879,0,166,0,30
25-101-23097-00-00,10/31/2020 12:00:00 AM,Bow Island,3879,0,159,0,31
25-101-23097-00-00,9/30/2020 12:00:00 AM,Bow Island,3879,0,155,0,30
25-101-23097-00-00,8/31/2020 12:00:00 AM,Bow Island,3879,0,151,0,31
25-101-23097-00-00,7/31/2020 12:00:00 AM,Bow Island,3879,0,165,0,31
25-101-23097-00-00,6/30/2020 12:00:00 AM,Bow Island,3879,0,167,0,30
25-101-23097-00-00,5/31/2020 12:00:00 AM,Bow Island,3879,0,182,0,31
25-101-23097-00-00,4/30/2020 12:00:00 AM,Bow Island,3879,0,137,0,30
25-101-23097-00-00,3/31/2020 12:00:00 AM,Bow Island,3879,0,157,0,31
25-101-23097-00-00,2/29/2020 12:00:00 AM,Bow Island,3879,0,143,0,29
25-101-23097-00-00,1/31/2020 12:00:00 AM,Bow Island,3879,0,149,0,31
25-101-23097-00-00,12/31/2019 12:00:00 AM,Bow Island,3879,0,144,0,31
25-101-23097-00-00,11/30/2019 12:00:00 AM,Bow Island,3879,0,157,0,30
25-101-23097-00-00,10/31/2019 12:00:00 AM,Bow Island,3879,0,123,0,31
25-101-23097-00-00,9/30/2019 12:00:00 AM,Bow Island,3879,0,127,0,30
25-101-23097-00-00,8/31/2019 12:00:00 AM,Bow Island,3879,0,130,0,31
25-101-23097-00-00,7/31/2019 12:00:00 AM,Bow Island,3879,0,132,0,31
25-101-23097-00-00,6/30/2019 12:00:00 AM,Bow Island,3879,0,129,0,30
25-101-23097-00-00,5/31/2019 12:00:00 AM,Bow Island,3879,0,164,0,31
25-101-23097-00-00,4/30/2019 12:00:00 AM,Bow Island,3879,0,164,0,30
25-101-23097-00-00,3/31/2019 12:00:00 AM,Bow Island,3879,0,125,0,31
25-101-23097-00-00,2/28/2019 12:00:00 AM,Bow Island,3879,0,96,0,28
25-101-23097-00-00,1/31/2019 12:00:00 AM,Bow Island,3879,0,153,0,31
25-101-23097-00-00,12/31/2018 12:00:00 AM,Bow Island,3879,0,186,0,31
25-101-23097-00-00,11/30/2018 12:00:00 AM,Bow Island,3879,0,183,0,30
25-101-23097-00-00,10/31/2018 12:00:00 AM,Bow Island,3879,0,161,0,31
25-101-23097-00-00,9/30/2018 12:00:00 AM,Bow Island,3879,0,131,0,30
25-101-23097-00-00,8/31/2018 12:00:00 AM,Bow Island,3879,0,135,0,31
25-101-23097-00-00,7/31/2018 12:00:00 AM,Bow Island,3879,0,139,0,31
25-101-23097-00-00,6/30/2018 12:00:00 AM,Bow Island,3879,0,138,0,30
25-101-23097-00-00,5/31/2018 12:00:00 AM,Bow Island,3879,0,157,0,31
25-101-23097-00-00,4/30/2018 12:00:00 AM,Bow Island,3879,0,168,0,30
25-101-23097-00-00,3/31/2018 12:00:00 AM,Bow Island,3879,0,135,0,31
25-101-23097-00-00,2/28/2018 12:00:00 AM,Bow Island,3879,0,51,0,28
25-101-23097-00-00,1/31/2018 12:00:00 AM,Bow Island,3879,0,134,0,31
25-101-23097-00-00,12/31/2017 12:00:00 AM,Bow Island,3879,0,140,0,31
25-101-23097-00-00,11/30/2017 12:00:00 AM,Bow Island,3879,0,146,0,30
25-101-23097-00-00,10/31/2017 12:00:00 AM,Bow Island,3879,0,150,0,31
25-101-23097-00-00,9/30/2017 12:00:00 AM,Bow Island,3879,0,114,0,30
25-101-23097-00-00,8/31/2017 12:00:00 AM,Bow Island,3879,0,133,0,31
25-101-23097-00-00,7/31/2017 12:00:00 AM,Bow Island,3879,0,119,0,31
25-101-23097-00-00,6/30/2017 12:00:00 AM,Bow Island,3879,0,119,0,30
25-101-23097-00-00,5/31/2017 12:00:00 AM,Bow Island,3879,0,141,0,31
25-101-23097-00-00,4/30/2017 12:00:00 AM,Bow Island,3879,0,130,0,30
25-101-23097-00-00,3/31/2017 12:00:00 AM,Bow Island,3879,0,143,0,31
25-101-23097-00-00,2/28/2017 12:00:00 AM,Bow Island,3879,0,135,0,28
25-101-23097-00-00,1/31/2017 12:00:00 AM,Bow Island,3879,0,160,0,31
25-101-23097-00-00,12/31/2016 12:00:00 AM,Bow Island,3879,0,116,0,31
25-101-23097-00-00,11/30/2016 12:00:00 AM,Bow Island,3879,0,111,0,30
25-101-23097-00-00,10/31/2016 12:00:00 AM,Bow Island,3879,0,96,0,31
25-101-23097-00-00,9/30/2016 12:00:00 AM,Bow Island,3879,0,61,0,30
25-101-23097-00-00,8/31/2016 12:00:00 AM,Bow Island,3879,0,58,0,31
25-101-23097-00-00,7/31/2016 12:00:00 AM,Bow Island,3879,0,61,0,31
25-101-23097-00-00,6/30/2016 12:00:00 AM,Bow Island,3879,0,26,0,30
25-101-23097-00-00,5/31/2016 12:00:00 AM,Bow Island,3879,0,4,0,31
25-101-23097-00-00,4/30/2016 12:00:00 AM,Bow Island,3879,0,43,0,30
25-101-23097-00-00,3/31/2016 12:00:00 AM,Bow Island,3879,0,67,0,31
25-101-23097-00-00,2/29/2016 12:00:00 AM,Bow Island,3879,0,8,0,29
25-101-23097-00-00,1/31/2016 12:00:00 AM,Bow Island,3879,0,0,0,0
25-101-23097-00-00,12/31/2015 12:00:00 AM,Bow Island,3879,0,1,0,31
25-101-23097-00-00,11/30/2015 12:00:00 AM,Bow Island,3879,0,0,0,0
25-101-23097-00-00,10/31/2015 12:00:00 AM,Bow Island,3879,0,0,0,0
25-101-23097-00-00,9/30/2015 12:00:00 AM,Bow Island,3879,0,0,0,0
25-101-23097-00-00,8/31/2015 12:00:00 AM,Bow Island,3879,0,17,0,31
25-101-23097-00-00,7/31/2015 12:00:00 AM,Bow Island,3879,0,209,0,31
25-101-23097-00-00,6/30/2015 12:00:00 AM,Bow Island,3879,0,210,0,30
25-101-23097-00-00,5/31/2015 12:00:00 AM,Bow Island,3879,0,226,0,31
25-101-23097-00-00,4/30/2015 12:00:00 AM,Bow Island,3879,0,157,0,30
