API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22542-00-00,7/31/2025 12:00:00 AM,Bakken,10299,260,279,30,31
25-083-22542-00-00,6/30/2025 12:00:00 AM,Bakken,10299,254,253,17,30
25-083-22542-00-00,5/31/2025 12:00:00 AM,Bakken,10299,236,135,18,23
25-083-22542-00-00,4/30/2025 12:00:00 AM,Bakken,10299,257,200,35,30
25-083-22542-00-00,3/31/2025 12:00:00 AM,Bakken,10299,298,201,32,31
25-083-22542-00-00,2/28/2025 12:00:00 AM,Bakken,10299,310,99,73,28
25-083-22542-00-00,1/31/2025 12:00:00 AM,Bakken,10299,227,108,345,16
25-083-22542-00-00,12/31/2024 12:00:00 AM,Bakken,10299,0,0,0,1
25-083-22542-00-00,11/30/2024 12:00:00 AM,Bakken,10299,169,235,17,24
25-083-22542-00-00,10/31/2024 12:00:00 AM,Bakken,10299,249,332,15,31
25-083-22542-00-00,9/30/2024 12:00:00 AM,Bakken,10299,256,344,17,30
25-083-22542-00-00,8/31/2024 12:00:00 AM,Bakken,10299,262,374,23,31
25-083-22542-00-00,7/31/2024 12:00:00 AM,Bakken,10299,249,353,22,31
25-083-22542-00-00,6/30/2024 12:00:00 AM,Bakken,10299,233,281,18,30
25-083-22542-00-00,5/31/2024 12:00:00 AM,Bakken,10299,262,195,17,31
25-083-22542-00-00,4/30/2024 12:00:00 AM,Bakken,10299,279,216,13,30
25-083-22542-00-00,3/31/2024 12:00:00 AM,Bakken,10299,264,244,28,31
25-083-22542-00-00,2/29/2024 12:00:00 AM,Bakken,10299,243,234,18,29
25-083-22542-00-00,1/31/2024 12:00:00 AM,Bakken,10299,277,279,20,31
25-083-22542-00-00,12/31/2023 12:00:00 AM,Bakken,10299,259,276,17,31
25-083-22542-00-00,11/30/2023 12:00:00 AM,Bakken,10299,258,294,15,30
25-083-22542-00-00,10/31/2023 12:00:00 AM,Bakken,10299,333,317,18,31
25-083-22542-00-00,9/30/2023 12:00:00 AM,Bakken,10299,255,319,20,30
25-083-22542-00-00,8/31/2023 12:00:00 AM,Bakken,10299,275,334,23,31
25-083-22542-00-00,7/31/2023 12:00:00 AM,Bakken,10299,299,332,25,31
25-083-22542-00-00,6/30/2023 12:00:00 AM,Bakken,10299,258,315,22,30
25-083-22542-00-00,5/31/2023 12:00:00 AM,Bakken,10299,237,192,17,25
25-083-22542-00-00,4/30/2023 12:00:00 AM,Bakken,10299,257,199,18,30
25-083-22542-00-00,3/31/2023 12:00:00 AM,Bakken,10299,287,255,18,31
25-083-22542-00-00,2/28/2023 12:00:00 AM,Bakken,10299,236,227,22,28
25-083-22542-00-00,1/31/2023 12:00:00 AM,Bakken,10299,278,274,22,31
25-083-22542-00-00,12/31/2022 12:00:00 AM,Bakken,10299,324,263,20,31
25-083-22542-00-00,11/30/2022 12:00:00 AM,Bakken,10299,310,317,22,30
25-083-22542-00-00,10/31/2022 12:00:00 AM,Bakken,10299,305,347,20,31
25-083-22542-00-00,9/30/2022 12:00:00 AM,Bakken,10299,288,332,18,30
25-083-22542-00-00,8/31/2022 12:00:00 AM,Bakken,10299,266,335,17,31
25-083-22542-00-00,7/31/2022 12:00:00 AM,Bakken,10299,289,375,28,31
25-083-22542-00-00,6/30/2022 12:00:00 AM,Bakken,10299,357,380,23,30
25-083-22542-00-00,5/31/2022 12:00:00 AM,Bakken,10299,192,84,28,15
25-083-22542-00-00,4/30/2022 12:00:00 AM,Bakken,10299,292,287,22,30
25-083-22542-00-00,3/31/2022 12:00:00 AM,Bakken,10299,287,281,25,31
25-083-22542-00-00,2/28/2022 12:00:00 AM,Bakken,10299,279,247,26,28
25-083-22542-00-00,1/31/2022 12:00:00 AM,Bakken,10299,322,243,27,31
25-083-22542-00-00,12/31/2021 12:00:00 AM,Bakken,10299,289,217,15,31
25-083-22542-00-00,11/30/2021 12:00:00 AM,Bakken,10299,297,286,23,30
25-083-22542-00-00,10/31/2021 12:00:00 AM,Bakken,10299,306,346,18,31
25-083-22542-00-00,9/30/2021 12:00:00 AM,Bakken,10299,292,327,22,30
25-083-22542-00-00,8/31/2021 12:00:00 AM,Bakken,10299,298,364,28,31
25-083-22542-00-00,7/31/2021 12:00:00 AM,Bakken,10299,275,378,12,31
25-083-22542-00-00,6/30/2021 12:00:00 AM,Bakken,10299,354,273,37,30
25-083-22542-00-00,5/31/2021 12:00:00 AM,Bakken,10299,277,268,32,31
25-083-22542-00-00,4/30/2021 12:00:00 AM,Bakken,10299,317,313,32,30
25-083-22542-00-00,3/31/2021 12:00:00 AM,Bakken,10299,303,302,30,31
25-083-22542-00-00,2/28/2021 12:00:00 AM,Bakken,10299,263,215,14,28
25-083-22542-00-00,1/31/2021 12:00:00 AM,Bakken,10299,322,195,18,31
25-083-22542-00-00,12/31/2020 12:00:00 AM,Bakken,10299,300,321,17,31
25-083-22542-00-00,11/30/2020 12:00:00 AM,Bakken,10299,394,203,37,30
25-083-22542-00-00,10/31/2020 12:00:00 AM,Bakken,10299,367,338,18,31
25-083-22542-00-00,9/30/2020 12:00:00 AM,Bakken,10299,357,374,28,30
25-083-22542-00-00,8/31/2020 12:00:00 AM,Bakken,10299,409,407,30,31
25-083-22542-00-00,7/31/2020 12:00:00 AM,Bakken,10299,531,498,25,31
25-083-22542-00-00,6/30/2020 12:00:00 AM,Bakken,10299,222,163,12,7
25-083-22542-00-00,5/31/2020 12:00:00 AM,Bakken,10299,2,1,0,1
25-083-22542-00-00,4/30/2020 12:00:00 AM,Bakken,10299,172,197,18,17
25-083-22542-00-00,3/31/2020 12:00:00 AM,Bakken,10299,322,329,22,31
25-083-22542-00-00,2/29/2020 12:00:00 AM,Bakken,10299,326,226,18,29
25-083-22542-00-00,1/31/2020 12:00:00 AM,Bakken,10299,342,308,22,31
25-083-22542-00-00,12/31/2019 12:00:00 AM,Bakken,10299,323,314,22,31
25-083-22542-00-00,11/30/2019 12:00:00 AM,Bakken,10299,327,314,22,30
25-083-22542-00-00,10/31/2019 12:00:00 AM,Bakken,10299,332,333,22,31
25-083-22542-00-00,9/30/2019 12:00:00 AM,Bakken,10299,312,330,20,30
25-083-22542-00-00,8/31/2019 12:00:00 AM,Bakken,10299,328,355,22,31
25-083-22542-00-00,7/31/2019 12:00:00 AM,Bakken,10299,329,362,30,31
25-083-22542-00-00,6/30/2019 12:00:00 AM,Bakken,10299,312,347,17,30
25-083-22542-00-00,5/31/2019 12:00:00 AM,Bakken,10299,374,356,25,31
25-083-22542-00-00,4/30/2019 12:00:00 AM,Bakken,10299,320,346,17,30
25-083-22542-00-00,3/31/2019 12:00:00 AM,Bakken,10299,361,340,27,31
25-083-22542-00-00,2/28/2019 12:00:00 AM,Bakken,10299,330,287,22,28
25-083-22542-00-00,1/31/2019 12:00:00 AM,Bakken,10299,361,344,33,31
25-083-22542-00-00,12/31/2018 12:00:00 AM,Bakken,10299,356,340,25,31
25-083-22542-00-00,11/30/2018 12:00:00 AM,Bakken,10299,345,299,27,30
25-083-22542-00-00,10/31/2018 12:00:00 AM,Bakken,10299,351,394,18,31
25-083-22542-00-00,9/30/2018 12:00:00 AM,Bakken,10299,335,404,25,30
25-083-22542-00-00,8/31/2018 12:00:00 AM,Bakken,10299,347,448,32,31
25-083-22542-00-00,7/31/2018 12:00:00 AM,Bakken,10299,330,451,22,31
25-083-22542-00-00,6/30/2018 12:00:00 AM,Bakken,10299,323,427,25,30
25-083-22542-00-00,5/31/2018 12:00:00 AM,Bakken,10299,354,354,23,31
25-083-22542-00-00,4/30/2018 12:00:00 AM,Bakken,10299,361,387,5,30
25-083-22542-00-00,3/31/2018 12:00:00 AM,Bakken,10299,366,363,50,31
25-083-22542-00-00,2/28/2018 12:00:00 AM,Bakken,10299,343,324,18,28
25-083-22542-00-00,1/31/2018 12:00:00 AM,Bakken,10299,381,364,26,31
25-083-22542-00-00,12/31/2017 12:00:00 AM,Bakken,10299,377,371,20,31
25-083-22542-00-00,11/30/2017 12:00:00 AM,Bakken,10299,387,374,53,30
25-083-22542-00-00,10/31/2017 12:00:00 AM,Bakken,10299,376,396,28,31
25-083-22542-00-00,9/30/2017 12:00:00 AM,Bakken,10299,359,378,25,30
25-083-22542-00-00,8/31/2017 12:00:00 AM,Bakken,10299,357,427,30,31
25-083-22542-00-00,7/31/2017 12:00:00 AM,Bakken,10299,391,443,5,31
25-083-22542-00-00,6/30/2017 12:00:00 AM,Bakken,10299,367,429,108,30
25-083-22542-00-00,5/31/2017 12:00:00 AM,Bakken,10299,370,413,23,31
25-083-22542-00-00,4/30/2017 12:00:00 AM,Bakken,10299,409,315,35,30
25-083-22542-00-00,3/31/2017 12:00:00 AM,Bakken,10299,466,250,90,31
25-083-22542-00-00,2/28/2017 12:00:00 AM,Bakken,10299,363,258,30,28
25-083-22542-00-00,1/31/2017 12:00:00 AM,Bakken,10299,421,355,32,31
25-083-22542-00-00,12/31/2016 12:00:00 AM,Bakken,10299,435,405,25,31
25-083-22542-00-00,11/30/2016 12:00:00 AM,Bakken,10299,408,393,98,30
25-083-22542-00-00,10/31/2016 12:00:00 AM,Bakken,10299,407,430,28,31
25-083-22542-00-00,9/30/2016 12:00:00 AM,Bakken,10299,403,335,28,30
25-083-22542-00-00,8/31/2016 12:00:00 AM,Bakken,10299,431,383,25,31
25-083-22542-00-00,7/31/2016 12:00:00 AM,Bakken,10299,414,452,34,31
25-083-22542-00-00,6/30/2016 12:00:00 AM,Bakken,10299,409,435,36,30
25-083-22542-00-00,5/31/2016 12:00:00 AM,Bakken,10299,443,449,30,31
25-083-22542-00-00,4/30/2016 12:00:00 AM,Bakken,10299,446,430,25,30
25-083-22542-00-00,3/31/2016 12:00:00 AM,Bakken,10299,681,476,28,30
25-083-22542-00-00,2/29/2016 12:00:00 AM,Bakken,10299,82,94,18,5
25-083-22542-00-00,1/31/2016 12:00:00 AM,Bakken,10299,324,193,13,27
25-083-22542-00-00,12/31/2015 12:00:00 AM,Bakken,10299,441,326,35,31
25-083-22542-00-00,11/30/2015 12:00:00 AM,Bakken,10299,405,406,37,30
25-083-22542-00-00,10/31/2015 12:00:00 AM,Bakken,10299,392,406,27,31
25-083-22542-00-00,9/30/2015 12:00:00 AM,Bakken,10299,368,399,35,30
25-083-22542-00-00,8/31/2015 12:00:00 AM,Bakken,10299,369,370,47,31
25-083-22542-00-00,7/31/2015 12:00:00 AM,Bakken,10299,440,399,35,31
25-083-22542-00-00,6/30/2015 12:00:00 AM,Bakken,10299,380,384,50,30
25-083-22542-00-00,5/31/2015 12:00:00 AM,Bakken,10299,432,369,38,31
25-083-22542-00-00,4/30/2015 12:00:00 AM,Bakken,10299,422,339,42,30
25-083-22542-00-00,3/31/2015 12:00:00 AM,Bakken,10299,453,390,23,31
25-083-22542-00-00,2/28/2015 12:00:00 AM,Bakken,10299,416,362,50,28
25-083-22542-00-00,1/31/2015 12:00:00 AM,Bakken,10299,459,357,40,31
25-083-22542-00-00,12/31/2014 12:00:00 AM,Bakken,10299,466,357,40,31
25-083-22542-00-00,11/30/2014 12:00:00 AM,Bakken,10299,455,383,35,30
25-083-22542-00-00,10/31/2014 12:00:00 AM,Bakken,10299,450,394,65,31
25-083-22542-00-00,9/30/2014 12:00:00 AM,Bakken,10299,430,379,47,30
25-083-22542-00-00,8/31/2014 12:00:00 AM,Bakken,10299,449,457,105,31
25-083-22542-00-00,7/31/2014 12:00:00 AM,Bakken,10299,439,461,60,31
25-083-22542-00-00,6/30/2014 12:00:00 AM,Bakken,10299,414,455,108,30
25-083-22542-00-00,5/31/2014 12:00:00 AM,Bakken,10299,456,485,45,31
25-083-22542-00-00,4/30/2014 12:00:00 AM,Bakken,10299,468,459,40,30
25-083-22542-00-00,3/31/2014 12:00:00 AM,Bakken,10299,480,490,110,31
25-083-22542-00-00,2/28/2014 12:00:00 AM,Bakken,10299,453,455,62,28
25-083-22542-00-00,1/31/2014 12:00:00 AM,Bakken,10299,495,490,107,31
25-083-22542-00-00,12/31/2013 12:00:00 AM,Bakken,10299,524,507,65,31
25-083-22542-00-00,11/30/2013 12:00:00 AM,Bakken,10299,467,476,92,30
25-083-22542-00-00,10/31/2013 12:00:00 AM,Bakken,10299,524,558,48,31
