API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-075-21367-00-00,7/31/2025 12:00:00 AM,Muddy,4630,560,17803,1954,16
25-075-21367-00-00,6/30/2025 12:00:00 AM,Muddy,4630,1218,34390,4702,30
25-075-21367-00-00,5/31/2025 12:00:00 AM,Muddy,4630,1283,32360,4139,31
25-075-21367-00-00,4/30/2025 12:00:00 AM,Muddy,4630,1144,25241,2004,30
25-075-21367-00-00,3/31/2025 12:00:00 AM,Muddy,4630,1313,24715,972,31
25-075-21367-00-00,2/28/2025 12:00:00 AM,Muddy,4630,885,21512,2561,28
25-075-21367-00-00,1/31/2025 12:00:00 AM,Muddy,4630,1036,24139,2490,31
25-075-21367-00-00,12/31/2024 12:00:00 AM,Muddy,4630,907,24008,3699,31
25-075-21367-00-00,11/30/2024 12:00:00 AM,Muddy,4630,895,20404,24161,30
25-075-21367-00-00,10/31/2024 12:00:00 AM,Muddy,4630,904,18162,1541,29
25-075-21367-00-00,9/30/2024 12:00:00 AM,Muddy,4630,1082,18283,3806,30
25-075-21367-00-00,8/31/2024 12:00:00 AM,Muddy,4630,1188,17391,5056,31
25-075-21367-00-00,7/31/2024 12:00:00 AM,Muddy,4630,1092,16183,5041,31
25-075-21367-00-00,6/30/2024 12:00:00 AM,Muddy,4630,1304,20855,6227,30
25-075-21367-00-00,5/31/2024 12:00:00 AM,Muddy,4630,1237,20211,20133,31
25-075-21367-00-00,4/30/2024 12:00:00 AM,Muddy,4630,915,13968,37973,30
25-075-21367-00-00,3/31/2024 12:00:00 AM,Muddy,4630,1071,17570,22246,31
25-075-21367-00-00,2/29/2024 12:00:00 AM,Muddy,4630,1133,22433,6537,29
25-075-21367-00-00,1/31/2024 12:00:00 AM,Muddy,4630,1200,29078,10037,31
25-075-21367-00-00,12/31/2023 12:00:00 AM,Muddy,4630,1264,27260,10252,31
25-075-21367-00-00,11/30/2023 12:00:00 AM,Muddy,4630,1141,25325,11013,30
25-075-21367-00-00,10/31/2023 12:00:00 AM,Muddy,4630,1127,22753,9673,31
25-075-21367-00-00,9/30/2023 12:00:00 AM,Muddy,4630,1102,22203,5803,30
25-075-21367-00-00,8/31/2023 12:00:00 AM,Muddy,4630,1113,22758,4642,31
25-075-21367-00-00,7/31/2023 12:00:00 AM,Muddy,4630,1023,20323,3450,29
25-075-21367-00-00,6/30/2023 12:00:00 AM,Muddy,4630,824,17853,1844,30
25-075-21367-00-00,5/31/2023 12:00:00 AM,Muddy,4630,1170,26268,6505,31
25-075-21367-00-00,4/30/2023 12:00:00 AM,Muddy,4630,1366,31410,7947,30
25-075-21367-00-00,3/31/2023 12:00:00 AM,Muddy,4630,1480,31499,8534,31
25-075-21367-00-00,2/28/2023 12:00:00 AM,Muddy,4630,1280,23794,9204,28
25-075-21367-00-00,1/31/2023 12:00:00 AM,Muddy,4630,805,12509,4347,14
25-075-21367-00-00,12/31/2022 12:00:00 AM,Muddy,4630,622,9461,3232,11
25-075-21367-00-00,11/30/2022 12:00:00 AM,Muddy,4630,1951,27980,11897,30
25-075-21367-00-00,10/31/2022 12:00:00 AM,Muddy,4630,2490,32617,17820,31
25-075-21367-00-00,9/30/2022 12:00:00 AM,Muddy,4630,804,10868,7299,30
25-075-21367-00-00,8/31/2022 12:00:00 AM,Muddy,4630,472,6842,2420,30
25-075-21367-00-00,7/31/2022 12:00:00 AM,Muddy,4630,522,8319,2929,31
25-075-21367-00-00,6/30/2022 12:00:00 AM,Muddy,4630,555,9940,3543,30
25-075-21367-00-00,5/31/2022 12:00:00 AM,Muddy,4630,685,12281,3811,31
25-075-21367-00-00,4/30/2022 12:00:00 AM,Muddy,4630,1299,20127,7009,30
25-075-21367-00-00,3/31/2022 12:00:00 AM,Muddy,4630,884,13498,3989,15
25-075-21367-00-00,2/28/2022 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,1/31/2022 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,12/31/2021 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,11/30/2021 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,10/31/2021 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,9/30/2021 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,8/31/2021 12:00:00 AM,Muddy,4630,0,0,0,0
25-075-21367-00-00,7/31/2021 12:00:00 AM,Muddy,4630,116,3003,593,9
25-075-21367-00-00,6/30/2021 12:00:00 AM,Muddy,4630,97,2403,481,7
25-075-21367-00-00,5/31/2021 12:00:00 AM,Muddy,4630,41,1079,209,3
25-075-21367-00-00,4/30/2021 12:00:00 AM,Muddy,4630,177,4417,857,13
25-075-21367-00-00,3/31/2021 12:00:00 AM,Muddy,4630,504,10756,1972,31
25-075-21367-00-00,2/28/2021 12:00:00 AM,Muddy,4630,382,9068,1496,28
25-075-21367-00-00,1/31/2021 12:00:00 AM,Muddy,4630,375,8684,1695,31
25-075-21367-00-00,12/31/2020 12:00:00 AM,Muddy,4630,415,9023,2215,31
25-075-21367-00-00,11/30/2020 12:00:00 AM,Muddy,4630,334,7419,1810,25
25-075-21367-00-00,10/31/2020 12:00:00 AM,Muddy,4630,439,9964,2483,31
25-075-21367-00-00,9/30/2020 12:00:00 AM,Muddy,4630,524,12628,3187,30
25-075-21367-00-00,8/31/2020 12:00:00 AM,Muddy,4630,670,14790,4177,31
25-075-21367-00-00,7/31/2020 12:00:00 AM,Muddy,4630,804,17589,5190,31
25-075-21367-00-00,6/30/2020 12:00:00 AM,Muddy,4630,209,4651,1247,30
25-075-21367-00-00,5/31/2020 12:00:00 AM,Muddy,4630,359,9580,2470,31
25-075-21367-00-00,4/30/2020 12:00:00 AM,Muddy,4630,483,15748,160,30
