API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-21292-00-00,7/31/2025 12:00:00 AM,Red River,3351,176,97,2590,27
25-025-21292-00-00,5/31/2025 12:00:00 AM,Red River,3351,260,143,2583,27
25-025-21292-00-00,4/30/2025 12:00:00 AM,Red River,3351,103,59,1729,17
25-025-21292-00-00,3/31/2025 12:00:00 AM,Red River,3351,221,121,2440,24
25-025-21292-00-00,2/28/2025 12:00:00 AM,Red River,3351,11,6,176,3
25-025-21292-00-00,1/31/2025 12:00:00 AM,Red River,3351,36,20,642,12
25-025-21292-00-00,12/31/2024 12:00:00 AM,Red River,3351,296,163,2286,24
25-025-21292-00-00,11/30/2024 12:00:00 AM,Red River,3351,256,140,2210,25
25-025-21292-00-00,10/31/2024 12:00:00 AM,Red River,3351,369,202,2933,27
25-025-21292-00-00,9/30/2024 12:00:00 AM,Red River,3351,242,133,2527,26
25-025-21292-00-00,8/31/2024 12:00:00 AM,Red River,3351,295,162,2672,27
25-025-21292-00-00,7/31/2024 12:00:00 AM,Red River,3351,320,176,1941,20
25-025-21292-00-00,6/30/2024 12:00:00 AM,Red River,3351,312,171,2232,25
25-025-21292-00-00,5/31/2024 12:00:00 AM,Red River,3351,182,100,2130,26
25-025-21292-00-00,4/30/2024 12:00:00 AM,Red River,3351,191,105,2551,26
25-025-21292-00-00,3/31/2024 12:00:00 AM,Red River,3351,197,108,1733,17
25-025-21292-00-00,2/29/2024 12:00:00 AM,Red River,3351,372,204,2077,31
25-025-21292-00-00,1/31/2024 12:00:00 AM,Red River,3351,168,92,1845,20
25-025-21292-00-00,12/31/2023 12:00:00 AM,Red River,3351,337,185,3323,27
25-025-21292-00-00,11/30/2023 12:00:00 AM,Red River,3351,179,98,2454,20
25-025-21292-00-00,10/31/2023 12:00:00 AM,Red River,3351,238,130,2841,31
25-025-21292-00-00,9/30/2023 12:00:00 AM,Red River,3351,269,148,2712,25
25-025-21292-00-00,8/31/2023 12:00:00 AM,Red River,3351,373,205,3094,26
25-025-21292-00-00,7/31/2023 12:00:00 AM,Red River,3351,347,190,3948,31
25-025-21292-00-00,6/30/2023 12:00:00 AM,Red River,3351,151,83,2238,26
25-025-21292-00-00,5/31/2023 12:00:00 AM,Red River,3351,350,192,3110,27
25-025-21292-00-00,4/30/2023 12:00:00 AM,Red River,3351,293,161,2932,30
25-025-21292-00-00,3/31/2023 12:00:00 AM,Red River,3351,534,293,2421,25
25-025-21292-00-00,2/28/2023 12:00:00 AM,Red River,3351,419,230,3390,28
25-025-21292-00-00,1/31/2023 12:00:00 AM,Red River,3351,323,177,2978,0
25-025-21292-00-00,12/31/2022 12:00:00 AM,Red River,3351,275,151,3006,26
25-025-21292-00-00,11/30/2022 12:00:00 AM,Red River,3351,312,171,2939,24
25-025-21292-00-00,10/31/2022 12:00:00 AM,Red River,3351,288,158,2977,26
25-025-21292-00-00,9/30/2022 12:00:00 AM,Red River,3351,139,76,2337,22
25-025-21292-00-00,8/31/2022 12:00:00 AM,Red River,3351,254,139,2506,24
25-025-21292-00-00,7/31/2022 12:00:00 AM,Red River,3351,87,48,869,9
25-025-21292-00-00,6/30/2022 12:00:00 AM,Red River,3351,0,0,0,0
25-025-21292-00-00,5/31/2022 12:00:00 AM,Red River,3351,102,56,112,7
25-025-21292-00-00,4/30/2022 12:00:00 AM,Red River,3351,219,120,1583,17
25-025-21292-00-00,3/31/2022 12:00:00 AM,Red River,3351,391,213,2946,27
25-025-21292-00-00,2/28/2022 12:00:00 AM,Red River,3351,257,141,2733,23
25-025-21292-00-00,1/31/2022 12:00:00 AM,Red River,3351,267,147,2124,23
25-025-21292-00-00,12/31/2021 12:00:00 AM,Red River,3351,539,295,2833,25
25-025-21292-00-00,11/30/2021 12:00:00 AM,Red River,3351,258,141,2279,5
25-025-21292-00-00,10/31/2021 12:00:00 AM,Red River,3351,85,46,1476,11
25-025-21292-00-00,9/30/2021 12:00:00 AM,Red River,3351,230,126,2766,24
25-025-21292-00-00,8/31/2021 12:00:00 AM,Red River,3351,388,213,2918,26
25-025-21292-00-00,7/31/2021 12:00:00 AM,Red River,3351,309,169,3842,26
25-025-21292-00-00,6/30/2021 12:00:00 AM,Red River,3351,383,210,2568,25
25-025-21292-00-00,5/31/2021 12:00:00 AM,Red River,3351,353,194,3161,0
25-025-21292-00-00,4/30/2021 12:00:00 AM,Red River,3351,265,146,3176,23
25-025-21292-00-00,3/31/2021 12:00:00 AM,Red River,3351,399,219,2997,26
25-025-21292-00-00,2/28/2021 12:00:00 AM,Red River,3351,290,159,2059,23
25-025-21292-00-00,1/31/2021 12:00:00 AM,Red River,3351,290,159,2832,26
25-025-21292-00-00,12/31/2020 12:00:00 AM,Red River,3351,109,60,2568,26
25-025-21292-00-00,11/30/2020 12:00:00 AM,Red River,3351,316,173,2750,26
25-025-21292-00-00,10/31/2020 12:00:00 AM,Red River,3351,397,218,3971,27
25-025-21292-00-00,9/30/2020 12:00:00 AM,Red River,3351,442,242,3159,26
25-025-21292-00-00,8/31/2020 12:00:00 AM,Red River,3351,478,262,2756,27
25-025-21292-00-00,7/31/2020 12:00:00 AM,Red River,3351,8,5,238,2
25-025-21292-00-00,6/30/2020 12:00:00 AM,Red River,3351,0,0,0,0
25-025-21292-00-00,5/31/2020 12:00:00 AM,Red River,3351,0,0,0,0
25-025-21292-00-00,4/30/2020 12:00:00 AM,Red River,3351,360,197,2701,27
25-025-21292-00-00,3/31/2020 12:00:00 AM,Red River,3351,325,18,2715,26
25-025-21292-00-00,2/29/2020 12:00:00 AM,Red River,3351,286,157,2345,29
25-025-21292-00-00,1/31/2020 12:00:00 AM,Red River,3351,407,407,3439,31
25-025-21292-00-00,12/31/2019 12:00:00 AM,Red River,3351,306,168,1183,22
25-025-21292-00-00,11/30/2019 12:00:00 AM,Red River,3351,392,215,2394,30
