API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22742-00-00,11/30/2021 12:00:00 AM,Bakken,10440,0,0,0,30
25-083-22742-00-00,10/31/2021 12:00:00 AM,Bakken,10440,0,0,0,31
25-083-22742-00-00,9/30/2021 12:00:00 AM,Bakken,10440,0,0,0,16
25-083-22742-00-00,8/31/2021 12:00:00 AM,Bakken,10440,0,0,0,1
25-083-22742-00-00,7/31/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,6/30/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,5/31/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,4/30/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,3/31/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,2/28/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,1/31/2021 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,12/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,11/30/2020 12:00:00 AM,Bakken,10440,2,0,0,1
25-083-22742-00-00,10/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,9/30/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,8/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,7/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,6/30/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,5/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,4/30/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,3/31/2020 12:00:00 AM,Bakken,10440,0,5,0,1
25-083-22742-00-00,2/29/2020 12:00:00 AM,Bakken,10440,0,60,0,11
25-083-22742-00-00,1/31/2020 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,12/31/2019 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,11/30/2019 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,10/31/2019 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,9/30/2019 12:00:00 AM,Bakken,10440,22,142,59,26
25-083-22742-00-00,8/31/2019 12:00:00 AM,Bakken,10440,43,169,118,31
25-083-22742-00-00,7/31/2019 12:00:00 AM,Bakken,10440,57,169,145,31
25-083-22742-00-00,6/30/2019 12:00:00 AM,Bakken,10440,49,164,135,30
25-083-22742-00-00,5/31/2019 12:00:00 AM,Bakken,10440,63,177,165,31
25-083-22742-00-00,4/30/2019 12:00:00 AM,Bakken,10440,71,173,195,30
25-083-22742-00-00,3/31/2019 12:00:00 AM,Bakken,10440,77,109,180,19
25-083-22742-00-00,2/28/2019 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,1/31/2019 12:00:00 AM,Bakken,10440,40,93,109,17
25-083-22742-00-00,12/31/2018 12:00:00 AM,Bakken,10440,55,161,170,28
25-083-22742-00-00,11/30/2018 12:00:00 AM,Bakken,10440,73,177,196,30
25-083-22742-00-00,10/31/2018 12:00:00 AM,Bakken,10440,85,197,208,31
25-083-22742-00-00,9/30/2018 12:00:00 AM,Bakken,10440,82,203,226,30
25-083-22742-00-00,8/31/2018 12:00:00 AM,Bakken,10440,82,209,220,31
25-083-22742-00-00,7/31/2018 12:00:00 AM,Bakken,10440,93,213,258,31
25-083-22742-00-00,6/30/2018 12:00:00 AM,Bakken,10440,72,185,197,30
25-083-22742-00-00,5/31/2018 12:00:00 AM,Bakken,10440,106,220,280,31
25-083-22742-00-00,4/30/2018 12:00:00 AM,Bakken,10440,124,213,303,30
25-083-22742-00-00,3/31/2018 12:00:00 AM,Bakken,10440,129,209,249,31
25-083-22742-00-00,2/28/2018 12:00:00 AM,Bakken,10440,27,61,188,9
25-083-22742-00-00,1/31/2018 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,12/31/2017 12:00:00 AM,Bakken,10440,119,207,234,25
25-083-22742-00-00,11/30/2017 12:00:00 AM,Bakken,10440,133,256,356,30
25-083-22742-00-00,10/31/2017 12:00:00 AM,Bakken,10440,52,226,466,31
25-083-22742-00-00,9/30/2017 12:00:00 AM,Bakken,10440,53,70,306,12
25-083-22742-00-00,8/31/2017 12:00:00 AM,Bakken,10440,57,103,142,11
25-083-22742-00-00,7/31/2017 12:00:00 AM,Bakken,10440,111,157,304,19
25-083-22742-00-00,6/30/2017 12:00:00 AM,Bakken,10440,62,89,159,10
25-083-22742-00-00,5/31/2017 12:00:00 AM,Bakken,10440,130,201,329,24
25-083-22742-00-00,4/30/2017 12:00:00 AM,Bakken,10440,106,230,374,30
25-083-22742-00-00,3/31/2017 12:00:00 AM,Bakken,10440,141,164,357,26
25-083-22742-00-00,2/28/2017 12:00:00 AM,Bakken,10440,118,163,427,27
25-083-22742-00-00,1/31/2017 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,12/31/2016 12:00:00 AM,Bakken,10440,78,91,98,10
25-083-22742-00-00,11/30/2016 12:00:00 AM,Bakken,10440,180,224,498,29
25-083-22742-00-00,10/31/2016 12:00:00 AM,Bakken,10440,102,71,272,12
25-083-22742-00-00,9/30/2016 12:00:00 AM,Bakken,10440,32,46,106,6
25-083-22742-00-00,8/31/2016 12:00:00 AM,Bakken,10440,52,39,141,5
25-083-22742-00-00,7/31/2016 12:00:00 AM,Bakken,10440,32,47,70,8
25-083-22742-00-00,6/30/2016 12:00:00 AM,Bakken,10440,53,37,158,13
25-083-22742-00-00,5/31/2016 12:00:00 AM,Bakken,10440,111,80,317,31
25-083-22742-00-00,4/30/2016 12:00:00 AM,Bakken,10440,110,98,325,30
25-083-22742-00-00,3/31/2016 12:00:00 AM,Bakken,10440,122,92,353,31
25-083-22742-00-00,2/29/2016 12:00:00 AM,Bakken,10440,128,134,353,25
25-083-22742-00-00,1/31/2016 12:00:00 AM,Bakken,10440,53,95,225,17
25-083-22742-00-00,12/31/2015 12:00:00 AM,Bakken,10440,125,192,338,31
25-083-22742-00-00,11/30/2015 12:00:00 AM,Bakken,10440,115,188,378,30
25-083-22742-00-00,10/31/2015 12:00:00 AM,Bakken,10440,131,122,394,31
25-083-22742-00-00,9/30/2015 12:00:00 AM,Bakken,10440,140,106,416,30
25-083-22742-00-00,8/31/2015 12:00:00 AM,Bakken,10440,160,83,456,31
25-083-22742-00-00,7/31/2015 12:00:00 AM,Bakken,10440,47,16,194,13
25-083-22742-00-00,6/30/2015 12:00:00 AM,Bakken,10440,77,76,225,19
25-083-22742-00-00,5/31/2015 12:00:00 AM,Bakken,10440,130,19,379,31
25-083-22742-00-00,4/30/2015 12:00:00 AM,Bakken,10440,117,0,349,30
25-083-22742-00-00,3/31/2015 12:00:00 AM,Bakken,10440,134,4,364,31
25-083-22742-00-00,2/28/2015 12:00:00 AM,Bakken,10440,110,70,365,28
25-083-22742-00-00,1/31/2015 12:00:00 AM,Bakken,10440,56,60,348,24
25-083-22742-00-00,12/31/2014 12:00:00 AM,Bakken,10440,152,77,373,31
25-083-22742-00-00,11/30/2014 12:00:00 AM,Bakken,10440,132,75,389,30
25-083-22742-00-00,10/31/2014 12:00:00 AM,Bakken,10440,151,17,423,30
25-083-22742-00-00,9/30/2014 12:00:00 AM,Bakken,10440,124,75,430,29
25-083-22742-00-00,8/31/2014 12:00:00 AM,Bakken,10440,147,46,444,31
25-083-22742-00-00,7/31/2014 12:00:00 AM,Bakken,10440,150,61,458,31
25-083-22742-00-00,6/30/2014 12:00:00 AM,Bakken,10440,160,78,443,30
25-083-22742-00-00,5/31/2014 12:00:00 AM,Bakken,10440,179,88,498,31
25-083-22742-00-00,4/30/2014 12:00:00 AM,Bakken,10440,187,57,689,30
25-083-22742-00-00,3/31/2014 12:00:00 AM,Bakken,10440,193,118,511,28
25-083-22742-00-00,2/28/2014 12:00:00 AM,Bakken,10440,105,70,410,17
25-083-22742-00-00,1/31/2014 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,12/31/2013 12:00:00 AM,Bakken,10440,292,133,434,31
25-083-22742-00-00,11/30/2013 12:00:00 AM,Bakken,10440,0,34,469,1
25-083-22742-00-00,10/31/2013 12:00:00 AM,Bakken,10440,170,31,472,3
25-083-22742-00-00,9/30/2013 12:00:00 AM,Bakken,10440,178,168,501,30
25-083-22742-00-00,8/31/2013 12:00:00 AM,Bakken,10440,182,182,513,31
25-083-22742-00-00,7/31/2013 12:00:00 AM,Bakken,10440,172,160,532,31
25-083-22742-00-00,6/30/2013 12:00:00 AM,Bakken,10440,197,192,528,30
25-083-22742-00-00,5/31/2013 12:00:00 AM,Bakken,10440,131,118,400,20
25-083-22742-00-00,4/30/2013 12:00:00 AM,Bakken,10440,185,154,505,30
25-083-22742-00-00,3/31/2013 12:00:00 AM,Bakken,10440,198,176,495,30
25-083-22742-00-00,2/28/2013 12:00:00 AM,Bakken,10440,233,245,672,28
25-083-22742-00-00,1/31/2013 12:00:00 AM,Bakken,10440,88,106,443,13
25-083-22742-00-00,12/31/2012 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,11/30/2012 12:00:00 AM,Bakken,10440,20,57,1414,14
25-083-22742-00-00,10/31/2012 12:00:00 AM,Bakken,10440,91,101,307,23
25-083-22742-00-00,9/30/2012 12:00:00 AM,Bakken,10440,18,27,199,2
25-083-22742-00-00,8/31/2012 12:00:00 AM,Bakken,10440,52,64,189,11
25-083-22742-00-00,7/31/2012 12:00:00 AM,Bakken,10440,145,141,467,20
25-083-22742-00-00,6/30/2012 12:00:00 AM,Bakken,10440,146,161,430,30
25-083-22742-00-00,5/31/2012 12:00:00 AM,Bakken,10440,152,172,473,31
25-083-22742-00-00,4/30/2012 12:00:00 AM,Bakken,10440,156,192,527,30
25-083-22742-00-00,3/31/2012 12:00:00 AM,Bakken,10440,181,225,577,31
25-083-22742-00-00,2/29/2012 12:00:00 AM,Bakken,10440,166,327,555,29
25-083-22742-00-00,1/31/2012 12:00:00 AM,Bakken,10440,208,338,669,31
25-083-22742-00-00,12/31/2011 12:00:00 AM,Bakken,10440,237,442,797,24
25-083-22742-00-00,11/30/2011 12:00:00 AM,Bakken,10440,103,230,333,15
25-083-22742-00-00,10/31/2011 12:00:00 AM,Bakken,10440,225,379,868,31
25-083-22742-00-00,9/30/2011 12:00:00 AM,Bakken,10440,243,374,798,30
25-083-22742-00-00,8/31/2011 12:00:00 AM,Bakken,10440,294,490,1029,29
25-083-22742-00-00,7/31/2011 12:00:00 AM,Bakken,10440,290,194,976,27
25-083-22742-00-00,6/30/2011 12:00:00 AM,Bakken,10440,414,308,1432,24
25-083-22742-00-00,5/31/2011 12:00:00 AM,Bakken,10440,267,136,816,7
25-083-22742-00-00,4/30/2011 12:00:00 AM,Bakken,10440,10,0,72,10
25-083-22742-00-00,3/31/2011 12:00:00 AM,Bakken,10440,52,48,438,16
25-083-22742-00-00,2/28/2011 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,1/31/2011 12:00:00 AM,Bakken,10440,57,43,215,8
25-083-22742-00-00,12/31/2010 12:00:00 AM,Bakken,10440,261,243,782,26
25-083-22742-00-00,11/30/2010 12:00:00 AM,Bakken,10440,263,295,867,30
25-083-22742-00-00,10/31/2010 12:00:00 AM,Bakken,10440,321,307,967,31
25-083-22742-00-00,9/30/2010 12:00:00 AM,Bakken,10440,291,83,865,30
25-083-22742-00-00,8/31/2010 12:00:00 AM,Bakken,10440,478,182,1528,31
25-083-22742-00-00,7/31/2010 12:00:00 AM,Bakken,10440,0,11,803,5
25-083-22742-00-00,6/30/2010 12:00:00 AM,Bakken,10440,152,29,426,20
25-083-22742-00-00,5/31/2010 12:00:00 AM,Bakken,10440,302,60,860,31
25-083-22742-00-00,4/30/2010 12:00:00 AM,Bakken,10440,276,119,766,30
25-083-22742-00-00,3/31/2010 12:00:00 AM,Bakken,10440,294,178,1409,30
25-083-22742-00-00,2/28/2010 12:00:00 AM,Bakken,10440,0,111,0,28
25-083-22742-00-00,1/31/2010 12:00:00 AM,Bakken,10440,232,309,789,31
25-083-22742-00-00,12/31/2009 12:00:00 AM,Bakken,10440,399,651,1332,31
25-083-22742-00-00,11/30/2009 12:00:00 AM,Bakken,10440,397,730,1547,30
25-083-22742-00-00,10/31/2009 12:00:00 AM,Bakken,10440,584,829,1995,31
25-083-22742-00-00,9/30/2009 12:00:00 AM,Bakken,10440,705,584,3036,26
25-083-22742-00-00,8/31/2009 12:00:00 AM,Bakken,10440,0,0,0,0
25-083-22742-00-00,7/31/2009 12:00:00 AM,Bakken,10440,339,237,1116,13
25-083-22742-00-00,6/30/2009 12:00:00 AM,Bakken,10440,456,426,2111,22
25-083-22742-00-00,5/31/2009 12:00:00 AM,Bakken,10440,887,1192,3005,31
25-083-22742-00-00,4/30/2009 12:00:00 AM,Bakken,10440,716,627,2770,17
25-083-22742-00-00,3/31/2009 12:00:00 AM,Bakken,10440,768,672,2168,20
25-083-22742-00-00,2/28/2009 12:00:00 AM,Bakken,10440,1636,908,4747,28
25-083-22742-00-00,1/31/2009 12:00:00 AM,Bakken,10440,292,186,962,5
25-083-22742-00-00,12/31/2008 12:00:00 AM,Bakken,10440,45,34,87,3
25-083-22742-00-00,11/30/2008 12:00:00 AM,Bakken,10440,484,199,1190,25
