API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-22264-00-00,7/31/2025 12:00:00 AM,Eagle,2449,0,86,31,31
25-025-22264-00-00,6/30/2025 12:00:00 AM,Eagle,2449,0,70,30,30
25-025-22264-00-00,5/31/2025 12:00:00 AM,Eagle,2449,0,100,31,31
25-025-22264-00-00,4/30/2025 12:00:00 AM,Eagle,2449,0,73,30,30
25-025-22264-00-00,3/31/2025 12:00:00 AM,Eagle,2449,0,92,0,31
25-025-22264-00-00,2/28/2025 12:00:00 AM,Eagle,2449,0,58,0,28
25-025-22264-00-00,1/31/2025 12:00:00 AM,Eagle,2449,0,73,0,31
25-025-22264-00-00,12/31/2024 12:00:00 AM,Eagle,2449,0,117,0,31
25-025-22264-00-00,11/30/2024 12:00:00 AM,Eagle,2449,0,66,0,30
25-025-22264-00-00,10/31/2024 12:00:00 AM,Eagle,2449,0,69,16,31
25-025-22264-00-00,9/30/2024 12:00:00 AM,Eagle,2449,0,99,15,30
25-025-22264-00-00,8/31/2024 12:00:00 AM,Eagle,2449,0,81,16,31
25-025-22264-00-00,7/31/2024 12:00:00 AM,Eagle,2449,0,98,0,31
25-025-22264-00-00,6/30/2024 12:00:00 AM,Eagle,2449,0,69,15,30
25-025-22264-00-00,5/31/2024 12:00:00 AM,Eagle,2449,0,105,16,31
25-025-22264-00-00,4/30/2024 12:00:00 AM,Eagle,2449,0,95,15,30
25-025-22264-00-00,3/31/2024 12:00:00 AM,Eagle,2449,0,105,16,31
25-025-22264-00-00,2/29/2024 12:00:00 AM,Eagle,2449,0,94,15,29
25-025-22264-00-00,1/31/2024 12:00:00 AM,Eagle,2449,0,88,16,31
25-025-22264-00-00,12/31/2023 12:00:00 AM,Eagle,2449,0,96,18,31
25-025-22264-00-00,11/30/2023 12:00:00 AM,Eagle,2449,0,119,15,30
25-025-22264-00-00,10/31/2023 12:00:00 AM,Eagle,2449,0,103,18,31
25-025-22264-00-00,9/30/2023 12:00:00 AM,Eagle,2449,0,109,12,30
25-025-22264-00-00,8/31/2023 12:00:00 AM,Eagle,2449,0,98,16,31
25-025-22264-00-00,7/31/2023 12:00:00 AM,Eagle,2449,0,103,20,31
25-025-22264-00-00,6/30/2023 12:00:00 AM,Eagle,2449,0,119,15,30
25-025-22264-00-00,5/31/2023 12:00:00 AM,Eagle,2449,0,114,16,31
25-025-22264-00-00,4/30/2023 12:00:00 AM,Eagle,2449,0,118,27,30
25-025-22264-00-00,3/31/2023 12:00:00 AM,Eagle,2449,0,94,31,31
25-025-22264-00-00,2/28/2023 12:00:00 AM,Eagle,2449,0,108,28,28
25-025-22264-00-00,1/31/2023 12:00:00 AM,Eagle,2449,0,111,31,31
25-025-22264-00-00,12/31/2022 12:00:00 AM,Eagle,2449,0,99,31,31
25-025-22264-00-00,11/30/2022 12:00:00 AM,Eagle,2449,0,72,30,30
25-025-22264-00-00,10/31/2022 12:00:00 AM,Eagle,2449,0,82,31,31
25-025-22264-00-00,9/30/2022 12:00:00 AM,Eagle,2449,0,90,18,30
25-025-22264-00-00,8/31/2022 12:00:00 AM,Eagle,2449,0,95,19,31
25-025-22264-00-00,7/31/2022 12:00:00 AM,Eagle,2449,0,52,19,31
25-025-22264-00-00,6/30/2022 12:00:00 AM,Eagle,2449,0,52,18,30
25-025-22264-00-00,5/31/2022 12:00:00 AM,Eagle,2449,0,66,19,31
25-025-22264-00-00,4/30/2022 12:00:00 AM,Eagle,2449,0,99,9,30
25-025-22264-00-00,3/31/2022 12:00:00 AM,Eagle,2449,0,95,4,31
25-025-22264-00-00,2/28/2022 12:00:00 AM,Eagle,2449,0,74,4,28
25-025-22264-00-00,1/31/2022 12:00:00 AM,Eagle,2449,0,45,4,31
25-025-22264-00-00,12/31/2021 12:00:00 AM,Eagle,2449,0,50,4,31
25-025-22264-00-00,11/30/2021 12:00:00 AM,Eagle,2449,0,42,4,30
25-025-22264-00-00,10/31/2021 12:00:00 AM,Eagle,2449,0,52,4,31
25-025-22264-00-00,9/30/2021 12:00:00 AM,Eagle,2449,0,62,6,30
25-025-22264-00-00,8/31/2021 12:00:00 AM,Eagle,2449,0,64,6,31
25-025-22264-00-00,7/31/2021 12:00:00 AM,Eagle,2449,0,34,6,31
25-025-22264-00-00,6/30/2021 12:00:00 AM,Eagle,2449,0,59,6,30
25-025-22264-00-00,5/31/2021 12:00:00 AM,Eagle,2449,0,51,6,31
25-025-22264-00-00,4/30/2021 12:00:00 AM,Eagle,2449,0,55,6,30
25-025-22264-00-00,3/31/2021 12:00:00 AM,Eagle,2449,0,58,6,31
25-025-22264-00-00,2/28/2021 12:00:00 AM,Eagle,2449,0,73,6,28
25-025-22264-00-00,1/31/2021 12:00:00 AM,Eagle,2449,0,89,6,31
25-025-22264-00-00,12/31/2020 12:00:00 AM,Eagle,2449,0,96,6,31
25-025-22264-00-00,11/30/2020 12:00:00 AM,Eagle,2449,0,81,6,30
25-025-22264-00-00,10/31/2020 12:00:00 AM,Eagle,2449,0,86,9,31
25-025-22264-00-00,9/30/2020 12:00:00 AM,Eagle,2449,0,90,16,30
25-025-22264-00-00,8/31/2020 12:00:00 AM,Eagle,2449,0,98,17,31
25-025-22264-00-00,7/31/2020 12:00:00 AM,Eagle,2449,0,74,17,31
25-025-22264-00-00,6/30/2020 12:00:00 AM,Eagle,2449,0,80,16,30
25-025-22264-00-00,5/31/2020 12:00:00 AM,Eagle,2449,0,100,17,31
25-025-22264-00-00,4/30/2020 12:00:00 AM,Eagle,2449,0,97,20,30
25-025-22264-00-00,3/31/2020 12:00:00 AM,Eagle,2449,0,92,21,31
25-025-22264-00-00,2/29/2020 12:00:00 AM,Eagle,2449,0,82,19,29
25-025-22264-00-00,1/31/2020 12:00:00 AM,Eagle,2449,0,97,21,31
25-025-22264-00-00,12/31/2019 12:00:00 AM,Eagle,2449,0,95,21,31
25-025-22264-00-00,11/30/2019 12:00:00 AM,Eagle,2449,0,118,20,30
25-025-22264-00-00,10/31/2019 12:00:00 AM,Eagle,2449,0,103,21,31
25-025-22264-00-00,9/30/2019 12:00:00 AM,Eagle,2449,0,113,20,30
25-025-22264-00-00,8/31/2019 12:00:00 AM,Eagle,2449,0,128,21,31
25-025-22264-00-00,7/31/2019 12:00:00 AM,Eagle,2449,0,127,21,31
25-025-22264-00-00,6/30/2019 12:00:00 AM,Eagle,2449,0,130,0,30
25-025-22264-00-00,5/31/2019 12:00:00 AM,Eagle,2449,0,128,0,31
25-025-22264-00-00,4/30/2019 12:00:00 AM,Eagle,2449,0,120,0,30
25-025-22264-00-00,3/31/2019 12:00:00 AM,Eagle,2449,0,126,10,31
25-025-22264-00-00,2/28/2019 12:00:00 AM,Eagle,2449,0,119,32,28
25-025-22264-00-00,1/31/2019 12:00:00 AM,Eagle,2449,0,126,35,31
25-025-22264-00-00,12/31/2018 12:00:00 AM,Eagle,2449,0,130,35,31
25-025-22264-00-00,11/30/2018 12:00:00 AM,Eagle,2449,0,124,34,30
25-025-22264-00-00,10/31/2018 12:00:00 AM,Eagle,2449,0,127,35,31
25-025-22264-00-00,9/30/2018 12:00:00 AM,Eagle,2449,0,133,34,30
25-025-22264-00-00,8/31/2018 12:00:00 AM,Eagle,2449,0,134,35,31
25-025-22264-00-00,7/31/2018 12:00:00 AM,Eagle,2449,0,134,35,31
25-025-22264-00-00,6/30/2018 12:00:00 AM,Eagle,2449,0,124,34,30
25-025-22264-00-00,5/31/2018 12:00:00 AM,Eagle,2449,0,129,35,31
