API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22505-00-00,7/31/2025 12:00:00 AM,Bakken,10411,1130,3606,560,31
25-083-22505-00-00,5/31/2025 12:00:00 AM,Bakken,10411,1300,2194,673,31
25-083-22505-00-00,4/30/2025 12:00:00 AM,Bakken,10411,1415,3343,680,30
25-083-22505-00-00,3/31/2025 12:00:00 AM,Bakken,10411,1608,2844,665,31
25-083-22505-00-00,2/28/2025 12:00:00 AM,Bakken,10411,1568,2599,650,28
25-083-22505-00-00,1/31/2025 12:00:00 AM,Bakken,10411,2348,3644,1000,31
25-083-22505-00-00,12/31/2024 12:00:00 AM,Bakken,10411,1016,2326,717,27
25-083-22505-00-00,11/30/2024 12:00:00 AM,Bakken,10411,1003,2939,497,30
25-083-22505-00-00,10/31/2024 12:00:00 AM,Bakken,10411,1167,3294,558,31
25-083-22505-00-00,9/30/2024 12:00:00 AM,Bakken,10411,1433,9,654,30
25-083-22505-00-00,8/31/2024 12:00:00 AM,Bakken,10411,1960,4864,899,31
25-083-22505-00-00,7/31/2024 12:00:00 AM,Bakken,10411,2138,4837,934,31
25-083-22505-00-00,6/30/2024 12:00:00 AM,Bakken,10411,2254,4231,942,30
25-083-22505-00-00,5/31/2024 12:00:00 AM,Bakken,10411,2345,3401,1054,31
25-083-22505-00-00,4/30/2024 12:00:00 AM,Bakken,10411,2894,5555,1465,26
25-083-22505-00-00,3/31/2024 12:00:00 AM,Bakken,10411,1577,3975,615,30
25-083-22505-00-00,2/29/2024 12:00:00 AM,Bakken,10411,2628,6106,1213,29
25-083-22505-00-00,1/31/2024 12:00:00 AM,Bakken,10411,3109,7174,1455,29
25-083-22505-00-00,12/31/2023 12:00:00 AM,Bakken,10411,3721,7902,1687,31
25-083-22505-00-00,11/30/2023 12:00:00 AM,Bakken,10411,4550,8684,2115,30
25-083-22505-00-00,10/31/2023 12:00:00 AM,Bakken,10411,4775,10596,2265,31
25-083-22505-00-00,9/30/2023 12:00:00 AM,Bakken,10411,4072,5552,1822,27
25-083-22505-00-00,8/31/2023 12:00:00 AM,Bakken,10411,5441,8340,2440,31
25-083-22505-00-00,7/31/2023 12:00:00 AM,Bakken,10411,6745,7782,3258,29
25-083-22505-00-00,6/30/2023 12:00:00 AM,Bakken,10411,4506,4236,2230,27
25-083-22505-00-00,5/31/2023 12:00:00 AM,Bakken,10411,5798,3907,3412,30
25-083-22505-00-00,4/30/2023 12:00:00 AM,Bakken,10411,4695,3286,3321,30
25-083-22505-00-00,3/31/2023 12:00:00 AM,Bakken,10411,5387,3316,5400,31
25-083-22505-00-00,2/28/2023 12:00:00 AM,Bakken,10411,4125,2815,6858,25
25-083-22505-00-00,1/31/2023 12:00:00 AM,Bakken,10411,560,282,1705,13
25-083-22505-00-00,12/31/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,11/30/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,10/31/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,9/30/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,8/31/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,7/31/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,6/30/2022 12:00:00 AM,Bakken,10411,0,0,0,0
25-083-22505-00-00,5/31/2022 12:00:00 AM,Bakken,10411,235,352,28,31
25-083-22505-00-00,4/30/2022 12:00:00 AM,Bakken,10411,333,492,37,25
25-083-22505-00-00,3/31/2022 12:00:00 AM,Bakken,10411,321,481,27,31
25-083-22505-00-00,2/28/2022 12:00:00 AM,Bakken,10411,329,449,25,28
25-083-22505-00-00,1/31/2022 12:00:00 AM,Bakken,10411,302,432,28,31
25-083-22505-00-00,12/31/2021 12:00:00 AM,Bakken,10411,373,337,30,31
25-083-22505-00-00,11/30/2021 12:00:00 AM,Bakken,10411,405,536,34,30
25-083-22505-00-00,10/31/2021 12:00:00 AM,Bakken,10411,333,468,23,31
25-083-22505-00-00,9/30/2021 12:00:00 AM,Bakken,10411,335,483,32,30
25-083-22505-00-00,8/31/2021 12:00:00 AM,Bakken,10411,326,482,33,31
25-083-22505-00-00,7/31/2021 12:00:00 AM,Bakken,10411,329,473,35,31
25-083-22505-00-00,6/30/2021 12:00:00 AM,Bakken,10411,309,385,45,27
25-083-22505-00-00,5/31/2021 12:00:00 AM,Bakken,10411,366,473,89,31
25-083-22505-00-00,4/30/2021 12:00:00 AM,Bakken,10411,332,465,30,30
25-083-22505-00-00,3/31/2021 12:00:00 AM,Bakken,10411,335,430,31,31
25-083-22505-00-00,2/28/2021 12:00:00 AM,Bakken,10411,356,410,34,28
25-083-22505-00-00,1/31/2021 12:00:00 AM,Bakken,10411,349,428,26,31
25-083-22505-00-00,12/31/2020 12:00:00 AM,Bakken,10411,350,431,28,31
25-083-22505-00-00,11/30/2020 12:00:00 AM,Bakken,10411,349,424,32,30
25-083-22505-00-00,10/31/2020 12:00:00 AM,Bakken,10411,367,422,36,31
25-083-22505-00-00,9/30/2020 12:00:00 AM,Bakken,10411,370,416,46,30
25-083-22505-00-00,8/31/2020 12:00:00 AM,Bakken,10411,252,301,16,19
25-083-22505-00-00,7/31/2020 12:00:00 AM,Bakken,10411,270,359,34,27
25-083-22505-00-00,6/30/2020 12:00:00 AM,Bakken,10411,348,467,87,30
25-083-22505-00-00,5/31/2020 12:00:00 AM,Bakken,10411,365,240,36,31
25-083-22505-00-00,4/30/2020 12:00:00 AM,Bakken,10411,361,342,42,30
25-083-22505-00-00,3/31/2020 12:00:00 AM,Bakken,10411,384,440,38,31
25-083-22505-00-00,2/29/2020 12:00:00 AM,Bakken,10411,633,426,45,29
25-083-22505-00-00,1/31/2020 12:00:00 AM,Bakken,10411,275,410,38,31
25-083-22505-00-00,12/31/2019 12:00:00 AM,Bakken,10411,291,408,50,31
25-083-22505-00-00,11/30/2019 12:00:00 AM,Bakken,10411,421,425,93,30
25-083-22505-00-00,10/31/2019 12:00:00 AM,Bakken,10411,0,187,252,15
25-083-22505-00-00,9/30/2019 12:00:00 AM,Bakken,10411,430,259,28,15
25-083-22505-00-00,8/31/2019 12:00:00 AM,Bakken,10411,260,427,24,31
