API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-22002-00-00,7/31/2025 12:00:00 AM,Eagle,6113,0,468,0,31
25-025-22002-00-00,6/30/2025 12:00:00 AM,Eagle,6113,0,456,0,30
25-025-22002-00-00,5/31/2025 12:00:00 AM,Eagle,6113,0,475,0,31
25-025-22002-00-00,4/30/2025 12:00:00 AM,Eagle,6113,0,450,0,30
25-025-22002-00-00,3/31/2025 12:00:00 AM,Eagle,6113,0,464,0,31
25-025-22002-00-00,2/28/2025 12:00:00 AM,Eagle,6113,0,434,0,28
25-025-22002-00-00,1/31/2025 12:00:00 AM,Eagle,6113,0,464,0,31
25-025-22002-00-00,12/31/2024 12:00:00 AM,Eagle,6113,0,468,0,31
25-025-22002-00-00,11/30/2024 12:00:00 AM,Eagle,6113,0,457,0,30
25-025-22002-00-00,10/31/2024 12:00:00 AM,Eagle,6113,0,481,0,31
25-025-22002-00-00,9/30/2024 12:00:00 AM,Eagle,6113,0,467,0,30
25-025-22002-00-00,8/31/2024 12:00:00 AM,Eagle,6113,0,481,0,31
25-025-22002-00-00,7/31/2024 12:00:00 AM,Eagle,6113,0,482,0,31
25-025-22002-00-00,6/30/2024 12:00:00 AM,Eagle,6113,0,471,0,30
25-025-22002-00-00,5/31/2024 12:00:00 AM,Eagle,6113,0,485,0,31
25-025-22002-00-00,4/30/2024 12:00:00 AM,Eagle,6113,0,463,0,30
25-025-22002-00-00,3/31/2024 12:00:00 AM,Eagle,6113,0,474,0,31
25-025-22002-00-00,2/29/2024 12:00:00 AM,Eagle,6113,0,444,0,29
25-025-22002-00-00,1/31/2024 12:00:00 AM,Eagle,6113,0,486,0,31
25-025-22002-00-00,12/31/2023 12:00:00 AM,Eagle,6113,0,484,0,31
25-025-22002-00-00,11/30/2023 12:00:00 AM,Eagle,6113,0,472,0,30
25-025-22002-00-00,10/31/2023 12:00:00 AM,Eagle,6113,0,496,0,31
25-025-22002-00-00,9/30/2023 12:00:00 AM,Eagle,6113,0,484,0,30
25-025-22002-00-00,8/31/2023 12:00:00 AM,Eagle,6113,0,499,0,31
25-025-22002-00-00,7/31/2023 12:00:00 AM,Eagle,6113,0,500,0,31
25-025-22002-00-00,6/30/2023 12:00:00 AM,Eagle,6113,0,485,0,30
25-025-22002-00-00,5/31/2023 12:00:00 AM,Eagle,6113,0,503,0,31
25-025-22002-00-00,4/30/2023 12:00:00 AM,Eagle,6113,0,480,2,30
25-025-22002-00-00,3/31/2023 12:00:00 AM,Eagle,6113,0,490,2,31
25-025-22002-00-00,2/28/2023 12:00:00 AM,Eagle,6113,0,446,2,28
25-025-22002-00-00,1/31/2023 12:00:00 AM,Eagle,6113,0,497,2,31
25-025-22002-00-00,12/31/2022 12:00:00 AM,Eagle,6113,0,524,2,31
25-025-22002-00-00,11/30/2022 12:00:00 AM,Eagle,6113,0,485,2,30
25-025-22002-00-00,10/31/2022 12:00:00 AM,Eagle,6113,0,511,2,31
25-025-22002-00-00,9/30/2022 12:00:00 AM,Eagle,6113,0,495,2,30
25-025-22002-00-00,8/31/2022 12:00:00 AM,Eagle,6113,0,509,2,31
25-025-22002-00-00,7/31/2022 12:00:00 AM,Eagle,6113,0,0,2,31
25-025-22002-00-00,6/30/2022 12:00:00 AM,Eagle,6113,0,529,2,30
25-025-22002-00-00,5/31/2022 12:00:00 AM,Eagle,6113,0,507,2,31
25-025-22002-00-00,4/30/2022 12:00:00 AM,Eagle,6113,0,470,2,30
25-025-22002-00-00,3/31/2022 12:00:00 AM,Eagle,6113,0,628,2,31
25-025-22002-00-00,2/28/2022 12:00:00 AM,Eagle,6113,0,443,2,28
25-025-22002-00-00,1/31/2022 12:00:00 AM,Eagle,6113,0,550,2,31
25-025-22002-00-00,12/31/2021 12:00:00 AM,Eagle,6113,0,596,2,31
25-025-22002-00-00,11/30/2021 12:00:00 AM,Eagle,6113,0,538,2,30
25-025-22002-00-00,10/31/2021 12:00:00 AM,Eagle,6113,0,589,2,31
25-025-22002-00-00,9/30/2021 12:00:00 AM,Eagle,6113,0,621,2,30
25-025-22002-00-00,8/31/2021 12:00:00 AM,Eagle,6113,0,634,2,31
