API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22486-00-00,6/30/2025 12:00:00 AM,Red River,7461,255,1166,107,30
25-083-22486-00-00,5/31/2025 12:00:00 AM,Red River,7461,234,1177,75,31
25-083-22486-00-00,4/30/2025 12:00:00 AM,Red River,7461,233,786,60,30
25-083-22486-00-00,3/31/2025 12:00:00 AM,Red River,7461,269,1211,58,31
25-083-22486-00-00,2/28/2025 12:00:00 AM,Red River,7461,265,195,52,28
25-083-22486-00-00,1/31/2025 12:00:00 AM,Red River,7461,282,195,128,28
25-083-22486-00-00,12/31/2024 12:00:00 AM,Red River,7461,298,248,90,19
25-083-22486-00-00,11/30/2024 12:00:00 AM,Red River,7461,291,523,108,18
25-083-22486-00-00,10/31/2024 12:00:00 AM,Red River,7461,0,0,0,0
25-083-22486-00-00,9/30/2024 12:00:00 AM,Red River,7461,30,84,17,5
25-083-22486-00-00,8/31/2024 12:00:00 AM,Red River,7461,192,836,78,16
25-083-22486-00-00,7/31/2024 12:00:00 AM,Red River,7461,214,928,100,19
25-083-22486-00-00,6/30/2024 12:00:00 AM,Red River,7461,462,511,100,17
25-083-22486-00-00,5/31/2024 12:00:00 AM,Red River,7461,187,118,95,17
25-083-22486-00-00,4/30/2024 12:00:00 AM,Red River,7461,186,118,112,18
25-083-22486-00-00,3/31/2024 12:00:00 AM,Red River,7461,133,148,582,23
25-083-22486-00-00,2/29/2024 12:00:00 AM,Red River,7461,0,7,0,1
25-083-22486-00-00,1/31/2024 12:00:00 AM,Red River,7461,143,216,48,31
25-083-22486-00-00,12/31/2023 12:00:00 AM,Red River,7461,331,216,183,31
25-083-22486-00-00,11/30/2023 12:00:00 AM,Red River,7461,328,209,60,30
25-083-22486-00-00,10/31/2023 12:00:00 AM,Red River,7461,275,216,152,31
25-083-22486-00-00,9/30/2023 12:00:00 AM,Red River,7461,80,209,57,30
25-083-22486-00-00,8/31/2023 12:00:00 AM,Red River,7461,303,206,62,31
25-083-22486-00-00,7/31/2023 12:00:00 AM,Red River,7461,310,216,72,31
25-083-22486-00-00,6/30/2023 12:00:00 AM,Red River,7461,269,209,57,30
25-083-22486-00-00,5/31/2023 12:00:00 AM,Red River,7461,293,216,75,31
25-083-22486-00-00,4/30/2023 12:00:00 AM,Red River,7461,321,209,107,30
25-083-22486-00-00,3/31/2023 12:00:00 AM,Red River,7461,354,216,68,31
25-083-22486-00-00,2/28/2023 12:00:00 AM,Red River,7461,289,233,62,28
25-083-22486-00-00,1/31/2023 12:00:00 AM,Red River,7461,368,216,57,31
25-083-22486-00-00,12/31/2022 12:00:00 AM,Red River,7461,206,627,8,17
25-083-22486-00-00,11/30/2022 12:00:00 AM,Red River,7461,358,853,73,30
25-083-22486-00-00,10/31/2022 12:00:00 AM,Red River,7461,356,920,28,31
25-083-22486-00-00,9/30/2022 12:00:00 AM,Red River,7461,309,1394,102,30
25-083-22486-00-00,8/31/2022 12:00:00 AM,Red River,7461,335,1282,87,31
25-083-22486-00-00,7/31/2022 12:00:00 AM,Red River,7461,303,291,65,28
25-083-22486-00-00,6/30/2022 12:00:00 AM,Red River,7461,344,738,53,30
25-083-22486-00-00,5/31/2022 12:00:00 AM,Red River,7461,372,1283,62,31
25-083-22486-00-00,4/30/2022 12:00:00 AM,Red River,7461,307,545,58,30
25-083-22486-00-00,3/31/2022 12:00:00 AM,Red River,7461,351,1219,27,31
25-083-22486-00-00,2/28/2022 12:00:00 AM,Red River,7461,374,1758,135,26
25-083-22486-00-00,1/31/2022 12:00:00 AM,Red River,7461,417,2085,43,31
25-083-22486-00-00,12/31/2021 12:00:00 AM,Red River,7461,433,1759,53,31
25-083-22486-00-00,11/30/2021 12:00:00 AM,Red River,7461,405,2023,77,30
25-083-22486-00-00,10/31/2021 12:00:00 AM,Red River,7461,443,1835,45,31
25-083-22486-00-00,9/30/2021 12:00:00 AM,Red River,7461,379,1925,65,29
25-083-22486-00-00,8/31/2021 12:00:00 AM,Red River,7461,485,2031,67,31
25-083-22486-00-00,7/31/2021 12:00:00 AM,Red River,7461,448,1911,60,30
25-083-22486-00-00,6/30/2021 12:00:00 AM,Red River,7461,489,1989,67,30
25-083-22486-00-00,5/31/2021 12:00:00 AM,Red River,7461,505,2024,97,31
25-083-22486-00-00,4/30/2021 12:00:00 AM,Red River,7461,516,1017,72,30
25-083-22486-00-00,3/31/2021 12:00:00 AM,Red River,7461,565,1694,180,31
25-083-22486-00-00,2/28/2021 12:00:00 AM,Red River,7461,406,927,42,22
25-083-22486-00-00,1/31/2021 12:00:00 AM,Red River,7461,582,1797,107,31
25-083-22486-00-00,12/31/2020 12:00:00 AM,Red River,7461,602,2028,123,31
25-083-22486-00-00,11/30/2020 12:00:00 AM,Red River,7461,609,2143,70,30
25-083-22486-00-00,10/31/2020 12:00:00 AM,Red River,7461,720,1918,132,31
25-083-22486-00-00,9/30/2020 12:00:00 AM,Red River,7461,696,1985,110,30
25-083-22486-00-00,8/31/2020 12:00:00 AM,Red River,7461,115,132,72,4
25-083-22486-00-00,7/31/2020 12:00:00 AM,Red River,7461,67,71,35,2
25-083-22486-00-00,6/30/2020 12:00:00 AM,Red River,7461,89,101,57,2
25-083-22486-00-00,5/31/2020 12:00:00 AM,Red River,7461,0,0,0,0
25-083-22486-00-00,4/30/2020 12:00:00 AM,Red River,7461,494,1579,82,28
