API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22441-00-00,7/31/2025 12:00:00 AM,Bakken,7457,224,887,60,31
25-083-22441-00-00,5/31/2025 12:00:00 AM,Bakken,7457,183,1103,193,31
25-083-22441-00-00,4/30/2025 12:00:00 AM,Bakken,7457,43,820,0,30
25-083-22441-00-00,3/31/2025 12:00:00 AM,Bakken,7457,52,872,18,31
25-083-22441-00-00,2/28/2025 12:00:00 AM,Bakken,7457,109,779,0,28
25-083-22441-00-00,1/31/2025 12:00:00 AM,Bakken,7457,255,931,27,31
25-083-22441-00-00,12/31/2024 12:00:00 AM,Bakken,7457,229,873,37,31
25-083-22441-00-00,11/30/2024 12:00:00 AM,Bakken,7457,254,849,45,30
25-083-22441-00-00,10/31/2024 12:00:00 AM,Bakken,7457,304,943,1,31
25-083-22441-00-00,9/30/2024 12:00:00 AM,Bakken,7457,223,1552,42,30
25-083-22441-00-00,8/31/2024 12:00:00 AM,Bakken,7457,0,770,0,30
25-083-22441-00-00,7/31/2024 12:00:00 AM,Bakken,7457,0,852,0,30
25-083-22441-00-00,6/30/2024 12:00:00 AM,Bakken,7457,0,820,0,30
25-083-22441-00-00,5/31/2024 12:00:00 AM,Bakken,7457,155,1042,22,31
25-083-22441-00-00,4/30/2024 12:00:00 AM,Bakken,7457,157,944,67,30
25-083-22441-00-00,3/31/2024 12:00:00 AM,Bakken,7457,211,1062,25,31
25-083-22441-00-00,2/29/2024 12:00:00 AM,Bakken,7457,183,1149,32,29
25-083-22441-00-00,1/31/2024 12:00:00 AM,Bakken,7457,242,1279,28,31
25-083-22441-00-00,12/31/2023 12:00:00 AM,Bakken,7457,258,1358,52,31
25-083-22441-00-00,11/30/2023 12:00:00 AM,Bakken,7457,194,1338,33,30
25-083-22441-00-00,10/31/2023 12:00:00 AM,Bakken,7457,251,1525,50,31
25-083-22441-00-00,9/30/2023 12:00:00 AM,Bakken,7457,215,1246,239,25
25-083-22441-00-00,8/31/2023 12:00:00 AM,Bakken,7457,126,869,63,23
25-083-22441-00-00,7/31/2023 12:00:00 AM,Bakken,7457,177,1078,40,31
25-083-22441-00-00,6/30/2023 12:00:00 AM,Bakken,7457,202,1178,37,30
25-083-22441-00-00,5/31/2023 12:00:00 AM,Bakken,7457,292,873,190,29
25-083-22441-00-00,4/30/2023 12:00:00 AM,Bakken,7457,27,391,7,14
25-083-22441-00-00,3/31/2023 12:00:00 AM,Bakken,7457,131,766,10,29
25-083-22441-00-00,2/28/2023 12:00:00 AM,Bakken,7457,160,574,25,21
25-083-22441-00-00,1/31/2023 12:00:00 AM,Bakken,7457,257,857,72,31
25-083-22441-00-00,12/31/2022 12:00:00 AM,Bakken,7457,79,465,7,17
25-083-22441-00-00,11/30/2022 12:00:00 AM,Bakken,7457,191,714,38,28
25-083-22441-00-00,10/31/2022 12:00:00 AM,Bakken,7457,196,863,52,31
25-083-22441-00-00,9/30/2022 12:00:00 AM,Bakken,7457,225,795,3,27
25-083-22441-00-00,8/31/2022 12:00:00 AM,Bakken,7457,142,728,108,25
25-083-22441-00-00,7/31/2022 12:00:00 AM,Bakken,7457,113,872,33,31
25-083-22441-00-00,6/30/2022 12:00:00 AM,Bakken,7457,158,797,55,30
25-083-22441-00-00,5/31/2022 12:00:00 AM,Bakken,7457,266,944,115,31
25-083-22441-00-00,4/30/2022 12:00:00 AM,Bakken,7457,150,828,150,30
25-083-22441-00-00,3/31/2022 12:00:00 AM,Bakken,7457,118,847,3,31
25-083-22441-00-00,2/28/2022 12:00:00 AM,Bakken,7457,127,772,27,28
25-083-22441-00-00,1/31/2022 12:00:00 AM,Bakken,7457,174,847,31,31
25-083-22441-00-00,12/31/2021 12:00:00 AM,Bakken,7457,176,847,20,31
25-083-22441-00-00,11/30/2021 12:00:00 AM,Bakken,7457,169,888,23,30
25-083-22441-00-00,10/31/2021 12:00:00 AM,Bakken,7457,163,907,23,31
25-083-22441-00-00,9/30/2021 12:00:00 AM,Bakken,7457,148,789,11,30
