API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23363-00-00,7/31/2025 12:00:00 AM,Bakken,8580,766,2122,955,30
25-083-23363-00-00,6/30/2025 12:00:00 AM,Bakken,8580,815,2003,881,30
25-083-23363-00-00,5/31/2025 12:00:00 AM,Bakken,8580,477,1018,541,22
25-083-23363-00-00,4/30/2025 12:00:00 AM,Bakken,8580,771,2053,735,30
25-083-23363-00-00,3/31/2025 12:00:00 AM,Bakken,8580,789,1503,774,31
25-083-23363-00-00,2/28/2025 12:00:00 AM,Bakken,8580,688,1725,894,28
25-083-23363-00-00,1/31/2025 12:00:00 AM,Bakken,8580,831,2118,794,31
25-083-23363-00-00,12/31/2024 12:00:00 AM,Bakken,8580,834,2205,914,31
25-083-23363-00-00,11/30/2024 12:00:00 AM,Bakken,8580,873,2208,861,30
25-083-23363-00-00,10/31/2024 12:00:00 AM,Bakken,8580,957,2387,919,31
25-083-23363-00-00,9/30/2024 12:00:00 AM,Bakken,8580,859,1851,975,29
25-083-23363-00-00,8/31/2024 12:00:00 AM,Bakken,8580,716,2020,1101,31
25-083-23363-00-00,7/31/2024 12:00:00 AM,Bakken,8580,848,2339,892,31
25-083-23363-00-00,6/30/2024 12:00:00 AM,Bakken,8580,837,2448,838,30
25-083-23363-00-00,5/31/2024 12:00:00 AM,Bakken,8580,931,2194,927,31
25-083-23363-00-00,4/30/2024 12:00:00 AM,Bakken,8580,1014,2541,956,30
25-083-23363-00-00,3/31/2024 12:00:00 AM,Bakken,8580,1274,2862,1102,31
25-083-23363-00-00,2/29/2024 12:00:00 AM,Bakken,8580,894,1862,1075,18
25-083-23363-00-00,1/31/2024 12:00:00 AM,Bakken,8580,1261,2282,1203,28
25-083-23363-00-00,12/31/2023 12:00:00 AM,Bakken,8580,375,664,845,15
25-083-23363-00-00,11/30/2023 12:00:00 AM,Bakken,8580,1228,2549,1006,28
25-083-23363-00-00,10/31/2023 12:00:00 AM,Bakken,8580,1058,1863,1266,29
25-083-23363-00-00,9/30/2023 12:00:00 AM,Bakken,8580,892,2031,889,26
25-083-23363-00-00,8/31/2023 12:00:00 AM,Bakken,8580,963,2395,1107,31
25-083-23363-00-00,7/31/2023 12:00:00 AM,Bakken,8580,663,1671,683,21
25-083-23363-00-00,6/30/2023 12:00:00 AM,Bakken,8580,1652,3424,1295,30
25-083-23363-00-00,5/31/2023 12:00:00 AM,Bakken,8580,1047,2207,1048,22
25-083-23363-00-00,4/30/2023 12:00:00 AM,Bakken,8580,998,2085,1227,29
25-083-23363-00-00,3/31/2023 12:00:00 AM,Bakken,8580,370,715,403,22
25-083-23363-00-00,2/28/2023 12:00:00 AM,Bakken,8580,961,2057,1057,28
25-083-23363-00-00,1/31/2023 12:00:00 AM,Bakken,8580,1225,2331,1152,25
25-083-23363-00-00,12/31/2022 12:00:00 AM,Bakken,8580,1019,2215,1095,28
25-083-23363-00-00,11/30/2022 12:00:00 AM,Bakken,8580,1177,2666,1227,30
25-083-23363-00-00,10/31/2022 12:00:00 AM,Bakken,8580,1105,2765,1240,31
25-083-23363-00-00,9/30/2022 12:00:00 AM,Bakken,8580,1265,3028,1273,30
25-083-23363-00-00,8/31/2022 12:00:00 AM,Bakken,8580,1253,3231,1274,31
25-083-23363-00-00,7/31/2022 12:00:00 AM,Bakken,8580,1540,3517,1463,31
25-083-23363-00-00,6/30/2022 12:00:00 AM,Bakken,8580,1381,3169,1471,30
25-083-23363-00-00,5/31/2022 12:00:00 AM,Bakken,8580,462,1242,652,15
25-083-23363-00-00,4/30/2022 12:00:00 AM,Bakken,8580,1219,3109,1292,30
25-083-23363-00-00,3/31/2022 12:00:00 AM,Bakken,8580,1563,3799,1491,31
25-083-23363-00-00,2/28/2022 12:00:00 AM,Bakken,8580,1429,3251,1371,28
25-083-23363-00-00,1/31/2022 12:00:00 AM,Bakken,8580,1620,3508,1532,31
25-083-23363-00-00,12/31/2021 12:00:00 AM,Bakken,8580,1594,3408,1586,31
25-083-23363-00-00,11/30/2021 12:00:00 AM,Bakken,8580,1216,3122,1556,30
25-083-23363-00-00,10/31/2021 12:00:00 AM,Bakken,8580,2424,5151,2111,31
25-083-23363-00-00,9/30/2021 12:00:00 AM,Bakken,8580,1456,2635,1795,24
