API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-065-21841-00-00,5/31/2025 12:00:00 AM,Tyler,5993,58,0,0,24
25-065-21841-00-00,4/30/2025 12:00:00 AM,Tyler,5993,124,0,0,26
25-065-21841-00-00,3/31/2025 12:00:00 AM,Tyler,5993,0,0,0,0
25-065-21841-00-00,2/28/2025 12:00:00 AM,Tyler,5993,0,0,0,0
25-065-21841-00-00,1/31/2025 12:00:00 AM,Tyler,5993,0,0,0,0
25-065-21841-00-00,12/31/2024 12:00:00 AM,Tyler,5993,0,0,0,0
25-065-21841-00-00,11/30/2024 12:00:00 AM,Tyler,5993,42,0,0,21
25-065-21841-00-00,10/31/2024 12:00:00 AM,Tyler,5993,24,0,0,27
25-065-21841-00-00,9/30/2024 12:00:00 AM,Tyler,5993,23,0,0,23
25-065-21841-00-00,8/31/2024 12:00:00 AM,Tyler,5993,93,0,0,31
25-065-21841-00-00,7/31/2024 12:00:00 AM,Tyler,5993,95,0,0,31
25-065-21841-00-00,6/30/2024 12:00:00 AM,Tyler,5993,82,0,0,29
25-065-21841-00-00,5/31/2024 12:00:00 AM,Tyler,5993,72,0,0,31
25-065-21841-00-00,4/30/2024 12:00:00 AM,Tyler,5993,74,0,0,30
25-065-21841-00-00,3/31/2024 12:00:00 AM,Tyler,5993,82,0,0,31
25-065-21841-00-00,2/29/2024 12:00:00 AM,Tyler,5993,84,0,0,29
25-065-21841-00-00,1/31/2024 12:00:00 AM,Tyler,5993,75,0,0,31
25-065-21841-00-00,12/31/2023 12:00:00 AM,Tyler,5993,90,0,5,31
25-065-21841-00-00,11/30/2023 12:00:00 AM,Tyler,5993,94,0,5,30
25-065-21841-00-00,10/31/2023 12:00:00 AM,Tyler,5993,125,0,9,30
25-065-21841-00-00,9/30/2023 12:00:00 AM,Tyler,5993,132,0,17,30
25-065-21841-00-00,8/31/2023 12:00:00 AM,Tyler,5993,0,0,37,31
25-065-21841-00-00,7/31/2023 12:00:00 AM,Tyler,6451,38,0,0,30
25-065-21841-00-00,6/30/2023 12:00:00 AM,Tyler,6451,175,0,0,30
25-065-21841-00-00,5/31/2023 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,4/30/2023 12:00:00 AM,Tyler,6451,60,0,0,8
25-065-21841-00-00,3/31/2023 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,2/28/2023 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,1/31/2023 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,12/31/2022 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,11/30/2022 12:00:00 AM,Tyler,6451,35,0,0,3
25-065-21841-00-00,10/31/2022 12:00:00 AM,Tyler,6451,0,0,0,0
25-065-21841-00-00,9/30/2022 12:00:00 AM,Tyler,6451,81,0,0,30
25-065-21841-00-00,8/31/2022 12:00:00 AM,Tyler,6451,145,0,0,31
25-065-21841-00-00,7/31/2022 12:00:00 AM,Tyler,6451,146,0,0,31
25-065-21841-00-00,6/30/2022 12:00:00 AM,Tyler,6451,129,0,0,30
25-065-21841-00-00,5/31/2022 12:00:00 AM,Tyler,6451,149,0,0,31
25-065-21841-00-00,4/30/2022 12:00:00 AM,Tyler,6451,134,0,0,30
25-065-21841-00-00,3/31/2022 12:00:00 AM,Tyler,6451,142,0,0,31
25-065-21841-00-00,2/28/2022 12:00:00 AM,Tyler,6451,123,0,0,28
25-065-21841-00-00,1/31/2022 12:00:00 AM,Tyler,6451,142,0,0,31
25-065-21841-00-00,12/31/2021 12:00:00 AM,Tyler,6451,149,0,0,29
25-065-21841-00-00,11/30/2021 12:00:00 AM,Tyler,6451,157,0,0,30
25-065-21841-00-00,10/31/2021 12:00:00 AM,Tyler,6451,155,0,0,31
25-065-21841-00-00,9/30/2021 12:00:00 AM,Tyler,6451,151,0,0,30
25-065-21841-00-00,8/31/2021 12:00:00 AM,Tyler,6451,151,0,0,31
25-065-21841-00-00,7/31/2021 12:00:00 AM,Tyler,6451,156,0,0,31
25-065-21841-00-00,6/30/2021 12:00:00 AM,Tyler,6451,149,0,0,30
25-065-21841-00-00,5/31/2021 12:00:00 AM,Tyler,6451,157,0,0,31
25-065-21841-00-00,4/30/2021 12:00:00 AM,Tyler,6451,150,0,0,30
25-065-21841-00-00,3/31/2021 12:00:00 AM,Tyler,6451,147,0,0,31
25-065-21841-00-00,2/28/2021 12:00:00 AM,Tyler,6451,143,0,0,28
25-065-21841-00-00,1/31/2021 12:00:00 AM,Tyler,6451,160,0,0,31
25-065-21841-00-00,12/31/2020 12:00:00 AM,Tyler,6451,154,0,0,31
25-065-21841-00-00,11/30/2020 12:00:00 AM,Tyler,6451,155,0,0,30
25-065-21841-00-00,10/31/2020 12:00:00 AM,Tyler,6451,177,0,0,30
25-065-21841-00-00,9/30/2020 12:00:00 AM,Tyler,6451,157,0,0,30
25-065-21841-00-00,8/31/2020 12:00:00 AM,Tyler,6451,171,0,0,31
25-065-21841-00-00,7/31/2020 12:00:00 AM,Tyler,6451,175,0,0,31
25-065-21841-00-00,6/30/2020 12:00:00 AM,Tyler,6451,88,0,0,14
25-065-21841-00-00,5/31/2020 12:00:00 AM,Tyler,6451,65,0,0,9
25-065-21841-00-00,4/30/2020 12:00:00 AM,Tyler,6451,72,0,0,7
25-065-21841-00-00,3/31/2020 12:00:00 AM,Tyler,6451,160,0,0,29
25-065-21841-00-00,2/29/2020 12:00:00 AM,Tyler,6451,145,0,0,29
25-065-21841-00-00,1/31/2020 12:00:00 AM,Tyler,6451,157,0,0,31
25-065-21841-00-00,12/31/2019 12:00:00 AM,Tyler,6451,164,0,0,31
25-065-21841-00-00,11/30/2019 12:00:00 AM,Tyler,6451,159,0,0,29
25-065-21841-00-00,10/31/2019 12:00:00 AM,Tyler,6451,166,0,0,31
25-065-21841-00-00,9/30/2019 12:00:00 AM,Tyler,6451,155,0,0,30
25-065-21841-00-00,8/31/2019 12:00:00 AM,Tyler,6451,156,0,0,31
25-065-21841-00-00,7/31/2019 12:00:00 AM,Tyler,6451,155,0,0,30
25-065-21841-00-00,6/30/2019 12:00:00 AM,Tyler,6451,152,0,0,30
25-065-21841-00-00,5/31/2019 12:00:00 AM,Tyler,6451,169,0,0,31
25-065-21841-00-00,4/30/2019 12:00:00 AM,Tyler,6451,160,0,0,30
25-065-21841-00-00,3/31/2019 12:00:00 AM,Tyler,6451,158,0,0,31
25-065-21841-00-00,2/28/2019 12:00:00 AM,Tyler,6451,152,0,0,28
25-065-21841-00-00,1/31/2019 12:00:00 AM,Tyler,6451,167,0,0,30
25-065-21841-00-00,12/31/2018 12:00:00 AM,Tyler,6451,165,0,0,31
25-065-21841-00-00,11/30/2018 12:00:00 AM,Tyler,6451,159,0,0,30
25-065-21841-00-00,10/31/2018 12:00:00 AM,Tyler,6451,173,0,0,31
25-065-21841-00-00,9/30/2018 12:00:00 AM,Tyler,6451,165,0,0,30
25-065-21841-00-00,8/31/2018 12:00:00 AM,Tyler,6451,171,0,0,31
25-065-21841-00-00,7/31/2018 12:00:00 AM,Tyler,6451,175,0,0,31
25-065-21841-00-00,6/30/2018 12:00:00 AM,Tyler,6451,165,0,0,28
25-065-21841-00-00,5/31/2018 12:00:00 AM,Tyler,6451,176,0,0,28
25-065-21841-00-00,4/30/2018 12:00:00 AM,Tyler,6451,58,0,0,15
25-065-21841-00-00,3/31/2018 12:00:00 AM,Tyler,6451,152,0,0,22
25-065-21841-00-00,2/28/2018 12:00:00 AM,Tyler,6451,90,0,0,15
25-065-21841-00-00,1/31/2018 12:00:00 AM,Tyler,6451,162,0,0,31
25-065-21841-00-00,12/31/2017 12:00:00 AM,Tyler,6451,175,0,0,31
25-065-21841-00-00,11/30/2017 12:00:00 AM,Tyler,6451,167,0,0,28
25-065-21841-00-00,10/31/2017 12:00:00 AM,Tyler,6451,200,0,0,31
25-065-21841-00-00,9/30/2017 12:00:00 AM,Tyler,6451,139,0,0,27
25-065-21841-00-00,8/31/2017 12:00:00 AM,Tyler,6451,215,0,0,31
25-065-21841-00-00,7/31/2017 12:00:00 AM,Tyler,6451,163,0,0,31
25-065-21841-00-00,6/30/2017 12:00:00 AM,Tyler,6451,140,0,0,30
25-065-21841-00-00,5/31/2017 12:00:00 AM,Tyler,6451,159,0,0,31
25-065-21841-00-00,4/30/2017 12:00:00 AM,Tyler,6451,150,0,0,30
25-065-21841-00-00,3/31/2017 12:00:00 AM,Tyler,6451,167,0,0,31
25-065-21841-00-00,2/28/2017 12:00:00 AM,Tyler,6451,144,0,0,28
25-065-21841-00-00,1/31/2017 12:00:00 AM,Tyler,6451,157,0,0,31
25-065-21841-00-00,12/31/2016 12:00:00 AM,Tyler,6451,177,0,0,31
25-065-21841-00-00,11/30/2016 12:00:00 AM,Tyler,6451,160,0,0,30
25-065-21841-00-00,10/31/2016 12:00:00 AM,Tyler,6451,177,0,0,31
25-065-21841-00-00,9/30/2016 12:00:00 AM,Tyler,6451,161,0,0,29
25-065-21841-00-00,8/31/2016 12:00:00 AM,Tyler,6451,173,0,0,31
25-065-21841-00-00,7/31/2016 12:00:00 AM,Tyler,6451,187,0,0,31
25-065-21841-00-00,6/30/2016 12:00:00 AM,Tyler,6451,163,0,0,24
25-065-21841-00-00,5/31/2016 12:00:00 AM,Tyler,6451,165,0,0,30
25-065-21841-00-00,4/30/2016 12:00:00 AM,Tyler,6451,64,0,0,8
25-065-21841-00-00,3/31/2016 12:00:00 AM,Tyler,6451,55,0,0,21
25-065-21841-00-00,2/29/2016 12:00:00 AM,Tyler,6451,144,0,0,29
25-065-21841-00-00,1/31/2016 12:00:00 AM,Tyler,6451,161,0,0,31
25-065-21841-00-00,12/31/2015 12:00:00 AM,Tyler,6451,190,0,0,29
25-065-21841-00-00,11/30/2015 12:00:00 AM,Tyler,6451,161,0,0,30
25-065-21841-00-00,10/31/2015 12:00:00 AM,Tyler,6451,182,0,0,31
25-065-21841-00-00,9/30/2015 12:00:00 AM,Tyler,6451,168,0,0,30
25-065-21841-00-00,8/31/2015 12:00:00 AM,Tyler,6451,174,0,0,31
25-065-21841-00-00,7/31/2015 12:00:00 AM,Tyler,6451,194,0,0,31
25-065-21841-00-00,6/30/2015 12:00:00 AM,Tyler,6451,168,0,0,30
25-065-21841-00-00,5/31/2015 12:00:00 AM,Tyler,6451,174,0,0,30
25-065-21841-00-00,4/30/2015 12:00:00 AM,Tyler,6451,172,0,0,30
25-065-21841-00-00,3/31/2015 12:00:00 AM,Tyler,6451,172,0,0,31
25-065-21841-00-00,2/28/2015 12:00:00 AM,Tyler,6451,153,0,0,28
25-065-21841-00-00,1/31/2015 12:00:00 AM,Tyler,6451,142,0,0,23
25-065-21841-00-00,12/31/2014 12:00:00 AM,Tyler,6451,97,0,0,16
25-065-21841-00-00,11/30/2014 12:00:00 AM,Tyler,6451,160,0,0,30
25-065-21841-00-00,10/31/2014 12:00:00 AM,Tyler,6451,177,0,0,31
25-065-21841-00-00,9/30/2014 12:00:00 AM,Tyler,6451,161,0,0,30
25-065-21841-00-00,8/31/2014 12:00:00 AM,Tyler,6451,173,0,0,31
25-065-21841-00-00,7/31/2014 12:00:00 AM,Tyler,6451,155,0,0,31
25-065-21841-00-00,6/30/2014 12:00:00 AM,Tyler,6451,171,0,0,30
25-065-21841-00-00,5/31/2014 12:00:00 AM,Tyler,6451,42,0,0,7
25-065-21841-00-00,4/30/2014 12:00:00 AM,Tyler,6451,73,0,0,13
25-065-21841-00-00,3/31/2014 12:00:00 AM,Tyler,6451,157,0,0,31
25-065-21841-00-00,2/28/2014 12:00:00 AM,Tyler,6451,143,0,0,28
25-065-21841-00-00,1/31/2014 12:00:00 AM,Tyler,6451,157,0,0,31
25-065-21841-00-00,12/31/2013 12:00:00 AM,Tyler,6451,155,0,0,31
25-065-21841-00-00,11/30/2013 12:00:00 AM,Tyler,6451,142,0,0,28
