API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22981-00-00,7/31/2025 12:00:00 AM,Eagle,162,0,470,0,31
25-005-22981-00-00,6/30/2025 12:00:00 AM,Eagle,162,0,435,0,30
25-005-22981-00-00,5/31/2025 12:00:00 AM,Eagle,162,0,472,0,31
25-005-22981-00-00,4/30/2025 12:00:00 AM,Eagle,162,0,451,0,30
25-005-22981-00-00,3/31/2025 12:00:00 AM,Eagle,162,0,502,0,31
25-005-22981-00-00,2/28/2025 12:00:00 AM,Eagle,162,0,360,0,21
25-005-22981-00-00,1/31/2025 12:00:00 AM,Eagle,162,0,213,0,13
25-005-22981-00-00,12/31/2024 12:00:00 AM,Eagle,162,0,597,0,29
25-005-22981-00-00,11/30/2024 12:00:00 AM,Eagle,162,0,514,0,30
25-005-22981-00-00,10/31/2024 12:00:00 AM,Eagle,162,0,488,0,31
25-005-22981-00-00,9/30/2024 12:00:00 AM,Eagle,162,0,457,0,30
25-005-22981-00-00,8/31/2024 12:00:00 AM,Eagle,162,0,479,0,31
25-005-22981-00-00,7/31/2024 12:00:00 AM,Eagle,162,0,467,0,31
25-005-22981-00-00,6/30/2024 12:00:00 AM,Eagle,162,0,461,0,30
25-005-22981-00-00,5/31/2024 12:00:00 AM,Eagle,162,0,504,0,31
25-005-22981-00-00,4/30/2024 12:00:00 AM,Eagle,162,0,464,0,30
25-005-22981-00-00,3/31/2024 12:00:00 AM,Eagle,162,0,512,0,31
25-005-22981-00-00,2/29/2024 12:00:00 AM,Eagle,162,0,440,0,27
25-005-22981-00-00,1/31/2024 12:00:00 AM,Eagle,162,0,404,0,22
25-005-22981-00-00,12/31/2023 12:00:00 AM,Eagle,162,0,492,0,31
25-005-22981-00-00,11/30/2023 12:00:00 AM,Eagle,162,0,483,0,30
25-005-22981-00-00,10/31/2023 12:00:00 AM,Eagle,162,0,490,0,31
25-005-22981-00-00,9/30/2023 12:00:00 AM,Eagle,162,0,489,0,30
25-005-22981-00-00,8/31/2023 12:00:00 AM,Eagle,162,0,528,0,31
25-005-22981-00-00,7/31/2023 12:00:00 AM,Eagle,162,0,533,0,31
25-005-22981-00-00,6/30/2023 12:00:00 AM,Eagle,162,0,540,0,30
25-005-22981-00-00,5/31/2023 12:00:00 AM,Eagle,162,0,456,0,18
25-005-22981-00-00,4/30/2023 12:00:00 AM,Eagle,162,0,349,0,21
25-005-22981-00-00,3/31/2023 12:00:00 AM,Eagle,162,0,652,0,31
25-005-22981-00-00,2/28/2023 12:00:00 AM,Eagle,162,0,424,0,25
