API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21161-00-00,7/31/2009 12:00:00 AM,Ratcliffe,174,47,0,0,0
25-083-21161-00-00,6/30/2009 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,5/31/2009 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,4/30/2009 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,3/31/2009 12:00:00 AM,Ratcliffe,174,6,0,0,1
25-083-21161-00-00,2/28/2009 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,1/31/2009 12:00:00 AM,Ratcliffe,174,8,0,0,1
25-083-21161-00-00,12/31/2008 12:00:00 AM,Ratcliffe,174,8,0,0,1
25-083-21161-00-00,11/30/2008 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,10/31/2008 12:00:00 AM,Ratcliffe,174,10,0,0,1
25-083-21161-00-00,9/30/2008 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,8/31/2008 12:00:00 AM,Ratcliffe,174,0,0,0,0
25-083-21161-00-00,7/31/2008 12:00:00 AM,Ratcliffe,174,50,0,136,8
25-083-21161-00-00,6/30/2008 12:00:00 AM,Ratcliffe,174,205,0,551,30
25-083-21161-00-00,5/31/2008 12:00:00 AM,Ratcliffe,174,208,0,633,31
25-083-21161-00-00,4/30/2008 12:00:00 AM,Ratcliffe,174,215,0,569,30
25-083-21161-00-00,3/31/2008 12:00:00 AM,Ratcliffe,174,222,0,671,31
25-083-21161-00-00,2/29/2008 12:00:00 AM,Ratcliffe,174,252,0,613,29
25-083-21161-00-00,1/31/2008 12:00:00 AM,Ratcliffe,174,233,0,696,31
25-083-21161-00-00,12/31/2007 12:00:00 AM,Ratcliffe,174,251,0,620,20
25-083-21161-00-00,11/30/2007 12:00:00 AM,Ratcliffe,174,121,0,328,17
25-083-21161-00-00,10/31/2007 12:00:00 AM,Ratcliffe,174,266,0,693,31
25-083-21161-00-00,9/30/2007 12:00:00 AM,Ratcliffe,174,262,0,713,23
25-083-21161-00-00,8/31/2007 12:00:00 AM,Ratcliffe,174,130,0,374,17
25-083-21161-00-00,7/31/2007 12:00:00 AM,Ratcliffe,174,281,0,674,23
25-083-21161-00-00,6/30/2007 12:00:00 AM,Ratcliffe,174,161,0,461,16
25-083-21161-00-00,5/31/2007 12:00:00 AM,Ratcliffe,174,198,0,544,23
25-083-21161-00-00,4/30/2007 12:00:00 AM,Ratcliffe,174,270,0,698,26
25-083-21161-00-00,3/31/2007 12:00:00 AM,Ratcliffe,174,248,0,499,15
25-083-21161-00-00,2/28/2007 12:00:00 AM,Ratcliffe,174,152,0,432,17
25-083-21161-00-00,1/31/2007 12:00:00 AM,Ratcliffe,174,58,0,125,6
25-083-21161-00-00,12/31/2006 12:00:00 AM,Ratcliffe,174,236,0,545,20
25-083-21161-00-00,11/30/2006 12:00:00 AM,Ratcliffe,174,205,0,538,24
25-083-21161-00-00,10/31/2006 12:00:00 AM,Ratcliffe,174,196,0,515,15
25-083-21161-00-00,9/30/2006 12:00:00 AM,Ratcliffe,174,110,0,111,16
25-083-21161-00-00,8/31/2006 12:00:00 AM,Ratcliffe,174,238,0,569,30
25-083-21161-00-00,7/31/2006 12:00:00 AM,Ratcliffe,174,263,0,654,31
25-083-21161-00-00,6/30/2006 12:00:00 AM,Ratcliffe,174,143,0,408,16
25-083-21161-00-00,5/31/2006 12:00:00 AM,Ratcliffe,174,234,0,571,26
25-083-21161-00-00,4/30/2006 12:00:00 AM,Ratcliffe,174,174,0,438,23
25-083-21161-00-00,3/31/2006 12:00:00 AM,Ratcliffe,174,197,0,536,31
25-083-21161-00-00,2/28/2006 12:00:00 AM,Ratcliffe,174,196,0,493,27
25-083-21161-00-00,1/31/2006 12:00:00 AM,Ratcliffe,174,229,0,542,29
25-083-21161-00-00,12/31/2005 12:00:00 AM,Ratcliffe,174,243,0,557,31
25-083-21161-00-00,11/30/2005 12:00:00 AM,Ratcliffe,174,240,0,517,29
25-083-21161-00-00,10/31/2005 12:00:00 AM,Ratcliffe,174,285,0,623,28
25-083-21161-00-00,9/30/2005 12:00:00 AM,Ratcliffe,174,133,0,320,10
25-083-21161-00-00,8/31/2005 12:00:00 AM,Ratcliffe,174,182,0,347,22
25-083-21161-00-00,7/31/2005 12:00:00 AM,Ratcliffe,174,284,0,474,29
