API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-071-21790-00-00,7/31/2025 12:00:00 AM,Phillips,122,0,185,47,31
25-071-21790-00-00,6/30/2025 12:00:00 AM,Phillips,122,0,175,104,30
25-071-21790-00-00,5/31/2025 12:00:00 AM,Phillips,122,0,184,0,31
25-071-21790-00-00,4/30/2025 12:00:00 AM,Phillips,122,0,182,7,30
25-071-21790-00-00,3/31/2025 12:00:00 AM,Phillips,122,0,184,0,31
25-071-21790-00-00,2/28/2025 12:00:00 AM,Phillips,122,0,167,0,28
25-071-21790-00-00,1/31/2025 12:00:00 AM,Phillips,122,0,188,0,31
25-071-21790-00-00,12/31/2024 12:00:00 AM,Phillips,122,0,193,0,31
25-071-21790-00-00,11/30/2024 12:00:00 AM,Phillips,122,0,199,0,30
25-071-21790-00-00,10/31/2024 12:00:00 AM,Phillips,122,0,218,108,31
25-071-21790-00-00,9/30/2024 12:00:00 AM,Phillips,122,0,202,17,30
25-071-21790-00-00,8/31/2024 12:00:00 AM,Phillips,122,0,213,108,31
25-071-21790-00-00,7/31/2024 12:00:00 AM,Phillips,122,0,219,7,31
25-071-21790-00-00,6/30/2024 12:00:00 AM,Phillips,122,0,225,104,30
25-071-21790-00-00,5/31/2024 12:00:00 AM,Phillips,122,0,234,10,31
25-071-21790-00-00,4/30/2024 12:00:00 AM,Phillips,122,0,228,104,30
25-071-21790-00-00,3/31/2024 12:00:00 AM,Phillips,122,0,202,108,31
25-071-21790-00-00,2/29/2024 12:00:00 AM,Phillips,122,0,174,97,29
25-071-21790-00-00,1/31/2024 12:00:00 AM,Phillips,122,0,204,108,31
25-071-21790-00-00,12/31/2023 12:00:00 AM,Phillips,122,0,206,0,31
25-071-21790-00-00,11/30/2023 12:00:00 AM,Phillips,122,0,210,104,30
25-071-21790-00-00,10/31/2023 12:00:00 AM,Phillips,122,0,224,0,31
25-071-21790-00-00,9/30/2023 12:00:00 AM,Phillips,122,0,217,0,30
25-071-21790-00-00,8/31/2023 12:00:00 AM,Phillips,122,0,222,108,31
25-071-21790-00-00,7/31/2023 12:00:00 AM,Phillips,122,0,231,108,31
25-071-21790-00-00,6/30/2023 12:00:00 AM,Phillips,122,0,205,104,30
25-071-21790-00-00,5/31/2023 12:00:00 AM,Phillips,122,0,221,108,31
25-071-21790-00-00,4/30/2023 12:00:00 AM,Phillips,122,0,186,31,30
25-071-21790-00-00,3/31/2023 12:00:00 AM,Phillips,122,0,206,108,31
25-071-21790-00-00,2/28/2023 12:00:00 AM,Phillips,122,0,189,97,28
25-071-21790-00-00,1/31/2023 12:00:00 AM,Phillips,122,0,212,108,31
25-071-21790-00-00,12/31/2022 12:00:00 AM,Phillips,122,0,209,108,31
25-071-21790-00-00,11/30/2022 12:00:00 AM,Phillips,122,0,215,104,30
25-071-21790-00-00,10/31/2022 12:00:00 AM,Phillips,122,0,233,108,31
25-071-21790-00-00,9/30/2022 12:00:00 AM,Phillips,122,0,211,104,30
25-071-21790-00-00,8/31/2022 12:00:00 AM,Phillips,122,0,225,108,31
25-071-21790-00-00,7/31/2022 12:00:00 AM,Phillips,122,0,231,108,31
25-071-21790-00-00,6/30/2022 12:00:00 AM,Phillips,122,0,235,104,30
25-071-21790-00-00,5/31/2022 12:00:00 AM,Phillips,122,0,251,108,31
25-071-21790-00-00,4/30/2022 12:00:00 AM,Phillips,122,0,243,104,30
25-071-21790-00-00,3/31/2022 12:00:00 AM,Phillips,122,0,190,108,31
25-071-21790-00-00,2/28/2022 12:00:00 AM,Phillips,122,0,172,97,28
25-071-21790-00-00,1/31/2022 12:00:00 AM,Phillips,122,0,230,104,31
25-071-21790-00-00,12/31/2021 12:00:00 AM,Phillips,122,0,159,108,31
25-071-21790-00-00,11/30/2021 12:00:00 AM,Phillips,122,0,235,7,30
25-071-21790-00-00,10/31/2021 12:00:00 AM,Phillips,122,0,243,0,31
25-071-21790-00-00,9/30/2021 12:00:00 AM,Phillips,122,0,236,28,30
25-071-21790-00-00,8/31/2021 12:00:00 AM,Phillips,122,0,242,45,31
25-071-21790-00-00,7/31/2021 12:00:00 AM,Phillips,122,0,244,31,31
25-071-21790-00-00,6/30/2021 12:00:00 AM,Phillips,122,0,241,63,30
25-071-21790-00-00,5/31/2021 12:00:00 AM,Phillips,122,0,253,3,31
25-071-21790-00-00,4/30/2021 12:00:00 AM,Phillips,122,0,239,49,30
