API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-105-21410-00-00,7/31/2025 12:00:00 AM,Charles C,3197,434,17,1943,31
25-105-21410-00-00,6/30/2025 12:00:00 AM,Charles C,3197,427,17,1880,30
25-105-21410-00-00,5/31/2025 12:00:00 AM,Charles C,3197,434,18,1943,31
25-105-21410-00-00,4/30/2025 12:00:00 AM,Charles C,3197,419,17,1880,30
25-105-21410-00-00,3/31/2025 12:00:00 AM,Charles C,3197,467,19,1943,31
25-105-21410-00-00,2/28/2025 12:00:00 AM,Charles C,3197,421,17,1880,29
25-105-21410-00-00,1/31/2025 12:00:00 AM,Charles C,3197,375,15,1942,31
25-105-21410-00-00,12/31/2024 12:00:00 AM,Charles C,3197,431,15,1942,31
25-105-21410-00-00,11/30/2024 12:00:00 AM,Charles C,3197,419,16,1880,30
25-105-21410-00-00,10/31/2024 12:00:00 AM,Charles C,3197,418,17,1943,31
25-105-21410-00-00,9/30/2024 12:00:00 AM,Charles C,3197,359,14,1880,30
25-105-21410-00-00,8/31/2024 12:00:00 AM,Charles C,3197,379,15,1943,31
25-105-21410-00-00,7/31/2024 12:00:00 AM,Charles C,3197,425,18,1943,31
25-105-21410-00-00,6/30/2024 12:00:00 AM,Charles C,3197,391,16,1880,28
25-105-21410-00-00,5/31/2024 12:00:00 AM,Charles C,3197,446,18,1943,31
25-105-21410-00-00,4/30/2024 12:00:00 AM,Charles C,3197,453,18,1880,30
25-105-21410-00-00,3/31/2024 12:00:00 AM,Charles C,3197,463,18,1943,31
25-105-21410-00-00,2/29/2024 12:00:00 AM,Charles C,3197,418,17,1817,13
25-105-21410-00-00,1/31/2024 12:00:00 AM,Charles C,3197,170,7,815,13
25-105-21410-00-00,12/31/2023 12:00:00 AM,Charles C,3197,451,16,1943,31
25-105-21410-00-00,11/30/2023 12:00:00 AM,Charles C,3197,420,12,1716,30
25-105-21410-00-00,10/31/2023 12:00:00 AM,Charles C,3197,442,15,1095,31
25-105-21410-00-00,9/30/2023 12:00:00 AM,Charles C,3197,391,16,1060,27
25-105-21410-00-00,8/31/2023 12:00:00 AM,Charles C,3197,511,21,1095,31
25-105-21410-00-00,7/31/2023 12:00:00 AM,Charles C,3197,484,19,1095,31
25-105-21410-00-00,6/30/2023 12:00:00 AM,Charles C,3197,411,4,1193,30
25-105-21410-00-00,5/31/2023 12:00:00 AM,Charles C,3197,224,11,609,9
25-105-21410-00-00,4/30/2023 12:00:00 AM,Charles C,3197,0,0,0,0
25-105-21410-00-00,3/31/2023 12:00:00 AM,Charles C,3197,0,0,0,0
25-105-21410-00-00,2/28/2023 12:00:00 AM,Charles C,3197,0,0,0,0
25-105-21410-00-00,1/31/2023 12:00:00 AM,Charles C,3197,0,0,0,0
25-105-21410-00-00,12/31/2022 12:00:00 AM,Charles C,3197,155,2,1131,23
25-105-21410-00-00,11/30/2022 12:00:00 AM,Charles C,3197,506,5,1131,30
25-105-21410-00-00,10/31/2022 12:00:00 AM,Charles C,3197,504,4,1340,27
25-105-21410-00-00,9/30/2022 12:00:00 AM,Charles C,3197,443,4,1340,27
25-105-21410-00-00,8/31/2022 12:00:00 AM,Charles C,3197,509,5,1385,31
25-105-21410-00-00,7/31/2022 12:00:00 AM,Charles C,3197,413,4,1385,31
25-105-21410-00-00,6/30/2022 12:00:00 AM,Charles C,3197,383,4,1340,30
25-105-21410-00-00,5/31/2022 12:00:00 AM,Charles C,3197,412,4,1340,31
25-105-21410-00-00,4/30/2022 12:00:00 AM,Charles C,3197,412,4,1340,30
25-105-21410-00-00,3/31/2022 12:00:00 AM,Charles C,3197,341,3,1384,28
25-105-21410-00-00,2/28/2022 12:00:00 AM,Charles C,3197,192,2,794,21
25-105-21410-00-00,1/31/2022 12:00:00 AM,Charles C,3197,180,2,491,11
