API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-21814-00-00,7/31/2025 12:00:00 AM,Cut Bank,101332,0,342,0,31
25-101-21814-00-00,6/30/2025 12:00:00 AM,Cut Bank,101332,0,230,0,30
25-101-21814-00-00,5/31/2025 12:00:00 AM,Cut Bank,101332,0,344,0,31
25-101-21814-00-00,4/30/2025 12:00:00 AM,Cut Bank,101332,0,354,0,30
25-101-21814-00-00,3/31/2025 12:00:00 AM,Cut Bank,101332,0,392,0,31
25-101-21814-00-00,2/28/2025 12:00:00 AM,Cut Bank,101332,0,319,0,28
25-101-21814-00-00,1/31/2025 12:00:00 AM,Cut Bank,101332,0,368,0,31
25-101-21814-00-00,12/31/2024 12:00:00 AM,Cut Bank,101332,0,457,0,31
25-101-21814-00-00,11/30/2024 12:00:00 AM,Cut Bank,101332,0,288,0,30
25-101-21814-00-00,10/31/2024 12:00:00 AM,Cut Bank,101332,0,354,0,31
25-101-21814-00-00,9/30/2024 12:00:00 AM,Cut Bank,101332,0,344,0,30
25-101-21814-00-00,8/31/2024 12:00:00 AM,Cut Bank,101332,0,351,0,31
25-101-21814-00-00,7/31/2024 12:00:00 AM,Cut Bank,101332,0,240,0,31
25-101-21814-00-00,6/30/2024 12:00:00 AM,Cut Bank,101332,0,220,0,30
25-101-21814-00-00,5/31/2024 12:00:00 AM,Cut Bank,101332,0,234,0,31
25-101-21814-00-00,4/30/2024 12:00:00 AM,Cut Bank,101332,0,234,0,30
25-101-21814-00-00,3/31/2024 12:00:00 AM,Cut Bank,101332,0,234,0,31
25-101-21814-00-00,2/29/2024 12:00:00 AM,Cut Bank,101332,0,241,0,29
25-101-21814-00-00,1/31/2024 12:00:00 AM,Cut Bank,101332,0,254,0,31
25-101-21814-00-00,12/31/2023 12:00:00 AM,Cut Bank,101332,0,270,0,31
25-101-21814-00-00,11/30/2023 12:00:00 AM,Cut Bank,101332,0,280,0,30
25-101-21814-00-00,10/31/2023 12:00:00 AM,Cut Bank,101332,0,240,0,31
25-101-21814-00-00,9/30/2023 12:00:00 AM,Cut Bank,101332,0,270,0,30
25-101-21814-00-00,8/31/2023 12:00:00 AM,Cut Bank,101332,0,286,0,31
25-101-21814-00-00,7/31/2023 12:00:00 AM,Cut Bank,101332,0,290,0,31
25-101-21814-00-00,6/30/2023 12:00:00 AM,Cut Bank,101332,0,239,0,30
25-101-21814-00-00,5/31/2023 12:00:00 AM,Cut Bank,101332,0,281,0,31
25-101-21814-00-00,4/30/2023 12:00:00 AM,Cut Bank,101332,0,302,0,30
25-101-21814-00-00,3/31/2023 12:00:00 AM,Cut Bank,101332,0,261,0,31
25-101-21814-00-00,2/28/2023 12:00:00 AM,Cut Bank,101332,0,242,0,28
25-101-21814-00-00,1/31/2023 12:00:00 AM,Cut Bank,101332,0,291,0,31
25-101-21814-00-00,12/31/2022 12:00:00 AM,Cut Bank,101332,0,211,0,31
25-101-21814-00-00,11/30/2022 12:00:00 AM,Cut Bank,101332,0,250,0,30
25-101-21814-00-00,10/31/2022 12:00:00 AM,Cut Bank,101332,0,293,0,31
25-101-21814-00-00,9/30/2022 12:00:00 AM,Cut Bank,101332,0,308,0,30
25-101-21814-00-00,8/31/2022 12:00:00 AM,Cut Bank,101332,0,254,0,31
25-101-21814-00-00,7/31/2022 12:00:00 AM,Cut Bank,101332,0,309,0,31
25-101-21814-00-00,6/30/2022 12:00:00 AM,Cut Bank,101332,0,241,0,30
25-101-21814-00-00,5/31/2022 12:00:00 AM,Cut Bank,101332,0,248,0,31
25-101-21814-00-00,4/30/2022 12:00:00 AM,Cut Bank,101332,0,274,0,30
25-101-21814-00-00,3/31/2022 12:00:00 AM,Cut Bank,101332,0,308,0,31
25-101-21814-00-00,2/28/2022 12:00:00 AM,Cut Bank,101332,0,282,0,28
25-101-21814-00-00,1/31/2022 12:00:00 AM,Cut Bank,101332,0,350,0,31
25-101-21814-00-00,12/31/2021 12:00:00 AM,Cut Bank,101332,0,297,0,0
25-101-21814-00-00,11/30/2021 12:00:00 AM,Cut Bank,101332,0,246,0,30
25-101-21814-00-00,10/31/2021 12:00:00 AM,Cut Bank,101332,0,359,0,31
25-101-21814-00-00,9/30/2021 12:00:00 AM,Cut Bank,101332,0,338,0,30
25-101-21814-00-00,8/31/2021 12:00:00 AM,Cut Bank,101332,0,362,0,31
25-101-21814-00-00,7/31/2021 12:00:00 AM,Cut Bank,101332,0,371,0,31
25-101-21814-00-00,6/30/2021 12:00:00 AM,Cut Bank,101332,0,375,0,30
25-101-21814-00-00,5/31/2021 12:00:00 AM,Cut Bank,101332,0,371,0,31
25-101-21814-00-00,4/30/2021 12:00:00 AM,Cut Bank,101332,0,111,0,30
25-101-21814-00-00,3/31/2021 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,2/28/2021 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,1/31/2021 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,12/31/2020 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,11/30/2020 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,10/31/2020 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,9/30/2020 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,8/31/2020 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,7/31/2020 12:00:00 AM,Cut Bank,101332,0,346,0,30
25-101-21814-00-00,6/30/2020 12:00:00 AM,Cut Bank,101332,0,295,0,30
25-101-21814-00-00,5/31/2020 12:00:00 AM,Cut Bank,101332,0,353,0,31
25-101-21814-00-00,4/30/2020 12:00:00 AM,Cut Bank,101332,0,281,0,30
25-101-21814-00-00,3/31/2020 12:00:00 AM,Cut Bank,101332,0,250,0,29
25-101-21814-00-00,2/29/2020 12:00:00 AM,Cut Bank,101332,0,228,0,25
25-101-21814-00-00,1/31/2020 12:00:00 AM,Cut Bank,101332,0,283,0,27
25-101-21814-00-00,12/31/2019 12:00:00 AM,Cut Bank,101332,0,316,0,31
25-101-21814-00-00,11/30/2019 12:00:00 AM,Cut Bank,101332,0,230,0,24
25-101-21814-00-00,10/31/2019 12:00:00 AM,Cut Bank,101332,0,302,0,31
25-101-21814-00-00,9/30/2019 12:00:00 AM,Cut Bank,101332,0,317,0,30
25-101-21814-00-00,8/31/2019 12:00:00 AM,Cut Bank,101332,0,336,0,31
25-101-21814-00-00,7/31/2019 12:00:00 AM,Cut Bank,101332,0,331,0,30
25-101-21814-00-00,6/30/2019 12:00:00 AM,Cut Bank,101332,0,320,0,24
25-101-21814-00-00,5/31/2019 12:00:00 AM,Cut Bank,101332,0,367,0,30
25-101-21814-00-00,4/30/2019 12:00:00 AM,Cut Bank,101332,0,377,0,30
25-101-21814-00-00,3/31/2019 12:00:00 AM,Cut Bank,101332,0,367,0,31
25-101-21814-00-00,2/28/2019 12:00:00 AM,Cut Bank,101332,0,273,0,27
25-101-21814-00-00,1/31/2019 12:00:00 AM,Cut Bank,101332,0,430,0,26
25-101-21814-00-00,12/31/2018 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,11/30/2018 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,10/31/2018 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,9/30/2018 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,8/31/2018 12:00:00 AM,Cut Bank,101332,0,0,0,0
25-101-21814-00-00,7/31/2018 12:00:00 AM,Cut Bank,101332,0,232,0,0
25-101-21814-00-00,6/30/2018 12:00:00 AM,Cut Bank,101332,0,293,0,28
25-101-21814-00-00,5/31/2018 12:00:00 AM,Cut Bank,101332,0,297,0,31
25-101-21814-00-00,4/30/2018 12:00:00 AM,Cut Bank,101332,0,311,0,30
25-101-21814-00-00,3/31/2018 12:00:00 AM,Cut Bank,101332,0,362,0,31
25-101-21814-00-00,2/28/2018 12:00:00 AM,Cut Bank,101332,0,302,0,28
25-101-21814-00-00,1/31/2018 12:00:00 AM,Cut Bank,101332,0,377,0,28
25-101-21814-00-00,12/31/2017 12:00:00 AM,Cut Bank,101332,0,344,0,30
25-101-21814-00-00,11/30/2017 12:00:00 AM,Cut Bank,101332,0,555,0,30
25-101-21814-00-00,10/31/2017 12:00:00 AM,Cut Bank,101332,0,348,0,31
25-101-21814-00-00,9/30/2017 12:00:00 AM,Cut Bank,101332,0,328,0,29
25-101-21814-00-00,8/31/2017 12:00:00 AM,Cut Bank,101332,0,344,0,31
25-101-21814-00-00,7/31/2017 12:00:00 AM,Cut Bank,101332,0,364,0,31
25-101-21814-00-00,6/30/2017 12:00:00 AM,Cut Bank,101332,0,286,0,26
25-101-21814-00-00,5/31/2017 12:00:00 AM,Cut Bank,101332,0,322,0,31
25-101-21814-00-00,4/30/2017 12:00:00 AM,Cut Bank,101332,0,327,0,30
25-101-21814-00-00,3/31/2017 12:00:00 AM,Cut Bank,101332,0,368,0,31
25-101-21814-00-00,2/28/2017 12:00:00 AM,Cut Bank,101332,0,431,0,28
25-101-21814-00-00,1/31/2017 12:00:00 AM,Cut Bank,101332,0,361,0,31
25-101-21814-00-00,12/31/2016 12:00:00 AM,Cut Bank,101332,0,373,0,31
25-101-21814-00-00,11/30/2016 12:00:00 AM,Cut Bank,101332,0,379,0,30
25-101-21814-00-00,10/31/2016 12:00:00 AM,Cut Bank,101332,0,404,0,31
25-101-21814-00-00,9/30/2016 12:00:00 AM,Cut Bank,101332,0,431,0,30
25-101-21814-00-00,8/31/2016 12:00:00 AM,Cut Bank,101332,0,295,0,24
25-101-21814-00-00,7/31/2016 12:00:00 AM,Cut Bank,101332,0,384,0,31
25-101-21814-00-00,6/30/2016 12:00:00 AM,Cut Bank,101332,0,371,0,30
25-101-21814-00-00,5/31/2016 12:00:00 AM,Cut Bank,101332,0,402,0,31
25-101-21814-00-00,4/30/2016 12:00:00 AM,Cut Bank,101332,0,429,0,30
25-101-21814-00-00,3/31/2016 12:00:00 AM,Cut Bank,101332,0,441,0,31
25-101-21814-00-00,2/29/2016 12:00:00 AM,Cut Bank,101332,0,431,0,29
25-101-21814-00-00,1/31/2016 12:00:00 AM,Cut Bank,101332,0,492,0,25
25-101-21814-00-00,12/31/2015 12:00:00 AM,Cut Bank,101332,0,508,0,31
25-101-21814-00-00,11/30/2015 12:00:00 AM,Cut Bank,101332,0,445,0,30
25-101-21814-00-00,10/31/2015 12:00:00 AM,Cut Bank,101332,0,512,0,31
25-101-21814-00-00,9/30/2015 12:00:00 AM,Cut Bank,101332,0,534,0,30
25-101-21814-00-00,8/31/2015 12:00:00 AM,Cut Bank,101332,0,565,0,31
25-101-21814-00-00,7/31/2015 12:00:00 AM,Cut Bank,101332,0,615,0,31
25-101-21814-00-00,6/30/2015 12:00:00 AM,Cut Bank,101332,0,541,0,28
25-101-21814-00-00,5/31/2015 12:00:00 AM,Cut Bank,101332,0,658,0,31
25-101-21814-00-00,4/30/2015 12:00:00 AM,Cut Bank,101332,0,161,0,30
25-101-21814-00-00,3/31/2015 12:00:00 AM,Cut Bank,101332,0,157,0,31
25-101-21814-00-00,2/28/2015 12:00:00 AM,Cut Bank,101332,0,147,0,27
25-101-21814-00-00,1/31/2015 12:00:00 AM,Cut Bank,101332,0,43,0,31
25-101-21814-00-00,12/31/2014 12:00:00 AM,Cut Bank,101332,0,43,0,30
25-101-21814-00-00,11/30/2014 12:00:00 AM,Cut Bank,101332,0,51,0,29
25-101-21814-00-00,10/31/2014 12:00:00 AM,Cut Bank,101332,0,58,0,31
25-101-21814-00-00,9/30/2014 12:00:00 AM,Cut Bank,101332,0,77,0,30
25-101-21814-00-00,8/31/2014 12:00:00 AM,Cut Bank,101332,0,99,0,31
25-101-21814-00-00,7/31/2014 12:00:00 AM,Cut Bank,101332,0,137,0,31
25-101-21814-00-00,6/30/2014 12:00:00 AM,Cut Bank,101332,0,65,0,21
25-101-21814-00-00,5/31/2014 12:00:00 AM,Cut Bank,101332,0,76,0,31
25-101-21814-00-00,4/30/2014 12:00:00 AM,Cut Bank,101332,0,98,0,30
