API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-21175-00-00,7/31/2025 12:00:00 AM,Eagle,319,0,144,0,31
25-041-21175-00-00,6/30/2025 12:00:00 AM,Eagle,319,0,143,0,30
25-041-21175-00-00,5/31/2025 12:00:00 AM,Eagle,319,0,149,0,31
25-041-21175-00-00,4/30/2025 12:00:00 AM,Eagle,319,0,148,0,30
25-041-21175-00-00,3/31/2025 12:00:00 AM,Eagle,319,0,156,0,28
25-041-21175-00-00,2/28/2025 12:00:00 AM,Eagle,319,0,103,0,28
25-041-21175-00-00,1/31/2025 12:00:00 AM,Eagle,319,0,141,0,31
25-041-21175-00-00,12/31/2024 12:00:00 AM,Eagle,319,0,145,0,31
25-041-21175-00-00,11/30/2024 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,10/31/2024 12:00:00 AM,Eagle,319,0,149,0,31
25-041-21175-00-00,9/30/2024 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,8/31/2024 12:00:00 AM,Eagle,319,0,147,0,31
25-041-21175-00-00,7/31/2024 12:00:00 AM,Eagle,319,0,148,0,31
25-041-21175-00-00,6/30/2024 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,5/31/2024 12:00:00 AM,Eagle,319,0,147,0,31
25-041-21175-00-00,4/30/2024 12:00:00 AM,Eagle,319,0,137,0,30
25-041-21175-00-00,3/31/2024 12:00:00 AM,Eagle,319,0,141,0,31
25-041-21175-00-00,2/29/2024 12:00:00 AM,Eagle,319,0,139,0,29
25-041-21175-00-00,1/31/2024 12:00:00 AM,Eagle,319,0,137,0,31
25-041-21175-00-00,12/31/2023 12:00:00 AM,Eagle,319,0,146,0,31
25-041-21175-00-00,11/30/2023 12:00:00 AM,Eagle,319,0,143,0,30
25-041-21175-00-00,10/31/2023 12:00:00 AM,Eagle,319,0,148,0,31
25-041-21175-00-00,9/30/2023 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,8/31/2023 12:00:00 AM,Eagle,319,0,140,0,31
25-041-21175-00-00,7/31/2023 12:00:00 AM,Eagle,319,0,139,0,31
25-041-21175-00-00,6/30/2023 12:00:00 AM,Eagle,319,0,141,0,30
25-041-21175-00-00,5/31/2023 12:00:00 AM,Eagle,319,0,143,0,31
25-041-21175-00-00,4/30/2023 12:00:00 AM,Eagle,319,0,140,0,30
25-041-21175-00-00,3/31/2023 12:00:00 AM,Eagle,319,0,150,0,31
25-041-21175-00-00,2/28/2023 12:00:00 AM,Eagle,319,0,136,0,28
25-041-21175-00-00,1/31/2023 12:00:00 AM,Eagle,319,0,160,0,31
25-041-21175-00-00,12/31/2022 12:00:00 AM,Eagle,319,0,119,0,24
25-041-21175-00-00,11/30/2022 12:00:00 AM,Eagle,319,0,143,0,30
25-041-21175-00-00,10/31/2022 12:00:00 AM,Eagle,319,0,150,0,31
25-041-21175-00-00,9/30/2022 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,8/31/2022 12:00:00 AM,Eagle,319,0,149,0,31
25-041-21175-00-00,7/31/2022 12:00:00 AM,Eagle,319,0,150,0,31
25-041-21175-00-00,6/30/2022 12:00:00 AM,Eagle,319,0,145,0,30
25-041-21175-00-00,5/31/2022 12:00:00 AM,Eagle,319,0,149,0,31
25-041-21175-00-00,4/30/2022 12:00:00 AM,Eagle,319,0,145,0,30
25-041-21175-00-00,3/31/2022 12:00:00 AM,Eagle,319,0,148,0,31
25-041-21175-00-00,2/28/2022 12:00:00 AM,Eagle,319,0,138,0,28
25-041-21175-00-00,1/31/2022 12:00:00 AM,Eagle,319,0,151,0,30
25-041-21175-00-00,12/31/2021 12:00:00 AM,Eagle,319,0,146,0,31
25-041-21175-00-00,11/30/2021 12:00:00 AM,Eagle,319,0,149,0,30
25-041-21175-00-00,10/31/2021 12:00:00 AM,Eagle,319,0,150,0,31
25-041-21175-00-00,9/30/2021 12:00:00 AM,Eagle,319,0,144,0,30
25-041-21175-00-00,8/31/2021 12:00:00 AM,Eagle,319,0,151,0,31
25-041-21175-00-00,7/31/2021 12:00:00 AM,Eagle,319,0,150,0,31
25-041-21175-00-00,6/30/2021 12:00:00 AM,Eagle,319,0,145,0,30
25-041-21175-00-00,5/31/2021 12:00:00 AM,Eagle,319,0,153,0,31
25-041-21175-00-00,4/30/2021 12:00:00 AM,Eagle,319,0,150,0,30
25-041-21175-00-00,3/31/2021 12:00:00 AM,Eagle,319,0,159,0,31
25-041-21175-00-00,2/28/2021 12:00:00 AM,Eagle,319,0,126,0,28
25-041-21175-00-00,1/31/2021 12:00:00 AM,Eagle,319,0,154,0,31
25-041-21175-00-00,12/31/2020 12:00:00 AM,Eagle,319,0,154,0,31
25-041-21175-00-00,11/30/2020 12:00:00 AM,Eagle,319,0,152,0,30
25-041-21175-00-00,10/31/2020 12:00:00 AM,Eagle,319,0,152,0,31
25-041-21175-00-00,9/30/2020 12:00:00 AM,Eagle,319,0,152,0,30
25-041-21175-00-00,8/31/2020 12:00:00 AM,Eagle,319,0,159,0,31
25-041-21175-00-00,7/31/2020 12:00:00 AM,Eagle,319,0,157,0,31
25-041-21175-00-00,6/30/2020 12:00:00 AM,Eagle,319,0,154,0,30
25-041-21175-00-00,5/31/2020 12:00:00 AM,Eagle,319,0,160,0,31
25-041-21175-00-00,4/30/2020 12:00:00 AM,Eagle,319,0,144,0,29
25-041-21175-00-00,3/31/2020 12:00:00 AM,Eagle,319,0,153,0,31
25-041-21175-00-00,2/29/2020 12:00:00 AM,Eagle,319,0,148,0,29
25-041-21175-00-00,1/31/2020 12:00:00 AM,Eagle,319,0,149,0,31
25-041-21175-00-00,12/31/2019 12:00:00 AM,Eagle,319,0,160,0,31
25-041-21175-00-00,11/30/2019 12:00:00 AM,Eagle,319,0,156,0,30
25-041-21175-00-00,10/31/2019 12:00:00 AM,Eagle,319,0,164,0,31
25-041-21175-00-00,9/30/2019 12:00:00 AM,Eagle,319,0,159,0,30
25-041-21175-00-00,8/31/2019 12:00:00 AM,Eagle,319,0,166,0,31
25-041-21175-00-00,7/31/2019 12:00:00 AM,Eagle,319,0,167,0,31
25-041-21175-00-00,6/30/2019 12:00:00 AM,Eagle,319,0,161,0,30
25-041-21175-00-00,5/31/2019 12:00:00 AM,Eagle,319,0,169,0,31
25-041-21175-00-00,4/30/2019 12:00:00 AM,Eagle,319,0,173,0,30
25-041-21175-00-00,3/31/2019 12:00:00 AM,Eagle,319,0,166,0,31
25-041-21175-00-00,2/28/2019 12:00:00 AM,Eagle,319,0,69,0,28
25-041-21175-00-00,1/31/2019 12:00:00 AM,Eagle,319,0,163,0,31
25-041-21175-00-00,12/31/2018 12:00:00 AM,Eagle,319,0,159,0,31
25-041-21175-00-00,11/30/2018 12:00:00 AM,Eagle,319,0,156,0,30
25-041-21175-00-00,10/31/2018 12:00:00 AM,Eagle,319,0,164,0,31
25-041-21175-00-00,9/30/2018 12:00:00 AM,Eagle,319,0,163,0,30
25-041-21175-00-00,8/31/2018 12:00:00 AM,Eagle,319,0,163,0,31
25-041-21175-00-00,7/31/2018 12:00:00 AM,Eagle,319,0,164,0,31
25-041-21175-00-00,6/30/2018 12:00:00 AM,Eagle,319,0,161,0,30
25-041-21175-00-00,5/31/2018 12:00:00 AM,Eagle,319,0,158,0,30
25-041-21175-00-00,4/30/2018 12:00:00 AM,Eagle,319,0,154,0,29
25-041-21175-00-00,3/31/2018 12:00:00 AM,Eagle,319,0,169,0,31
25-041-21175-00-00,2/28/2018 12:00:00 AM,Eagle,319,0,159,0,28
25-041-21175-00-00,1/31/2018 12:00:00 AM,Eagle,319,0,173,0,29
25-041-21175-00-00,12/31/2017 12:00:00 AM,Eagle,319,0,147,0,28
25-041-21175-00-00,11/30/2017 12:00:00 AM,Eagle,319,0,161,0,27
