API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-23163-00-00,2/28/2006 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,1/31/2006 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,12/31/2005 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,11/30/2005 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,10/31/2005 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,9/30/2005 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,8/31/2005 12:00:00 AM,Eagle,7096,0,0,0,0
25-041-23163-00-00,7/31/2005 12:00:00 AM,Eagle,7096,0,9,24,31
25-041-23163-00-00,6/30/2005 12:00:00 AM,Eagle,7096,0,686,264,30
25-041-23163-00-00,5/31/2005 12:00:00 AM,Eagle,7096,0,470,0,31
