API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23270-00-00,7/31/2025 12:00:00 AM,Bakken,10527,142,734,83,22
25-083-23270-00-00,6/30/2025 12:00:00 AM,Bakken,10527,300,1116,169,30
25-083-23270-00-00,5/31/2025 12:00:00 AM,Bakken,10527,275,863,155,22
25-083-23270-00-00,4/30/2025 12:00:00 AM,Bakken,10527,391,1283,284,30
25-083-23270-00-00,3/31/2025 12:00:00 AM,Bakken,10527,403,1198,235,31
25-083-23270-00-00,2/28/2025 12:00:00 AM,Bakken,10527,417,1162,225,28
25-083-23270-00-00,1/31/2025 12:00:00 AM,Bakken,10527,495,1430,300,31
25-083-23270-00-00,12/31/2024 12:00:00 AM,Bakken,10527,467,1434,300,31
25-083-23270-00-00,11/30/2024 12:00:00 AM,Bakken,10527,437,1518,267,30
25-083-23270-00-00,10/31/2024 12:00:00 AM,Bakken,10527,492,1398,306,31
25-083-23270-00-00,9/30/2024 12:00:00 AM,Bakken,10527,464,1383,285,30
25-083-23270-00-00,8/31/2024 12:00:00 AM,Bakken,10527,486,1709,365,31
25-083-23270-00-00,7/31/2024 12:00:00 AM,Bakken,10527,465,1630,347,31
25-083-23270-00-00,6/30/2024 12:00:00 AM,Bakken,10527,437,1470,315,30
25-083-23270-00-00,5/31/2024 12:00:00 AM,Bakken,10527,503,883,300,31
25-083-23270-00-00,4/30/2024 12:00:00 AM,Bakken,10527,493,1337,295,30
25-083-23270-00-00,3/31/2024 12:00:00 AM,Bakken,10527,600,1528,294,31
25-083-23270-00-00,2/29/2024 12:00:00 AM,Bakken,10527,484,1617,343,29
25-083-23270-00-00,1/31/2024 12:00:00 AM,Bakken,10527,523,1575,298,31
25-083-23270-00-00,12/31/2023 12:00:00 AM,Bakken,10527,525,1719,392,31
25-083-23270-00-00,11/30/2023 12:00:00 AM,Bakken,10527,510,1695,262,30
25-083-23270-00-00,10/31/2023 12:00:00 AM,Bakken,10527,559,1819,371,31
25-083-23270-00-00,9/30/2023 12:00:00 AM,Bakken,10527,580,1960,442,30
25-083-23270-00-00,8/31/2023 12:00:00 AM,Bakken,10527,480,1288,339,29
25-083-23270-00-00,7/31/2023 12:00:00 AM,Bakken,10527,695,1752,415,31
25-083-23270-00-00,6/30/2023 12:00:00 AM,Bakken,10527,612,1817,470,30
25-083-23270-00-00,5/31/2023 12:00:00 AM,Bakken,10527,394,1392,353,22
25-083-23270-00-00,4/30/2023 12:00:00 AM,Bakken,10527,470,1476,504,30
25-083-23270-00-00,3/31/2023 12:00:00 AM,Bakken,10527,578,1855,378,31
25-083-23270-00-00,2/28/2023 12:00:00 AM,Bakken,10527,514,1614,350,28
25-083-23270-00-00,1/31/2023 12:00:00 AM,Bakken,10527,634,1959,339,31
25-083-23270-00-00,12/31/2022 12:00:00 AM,Bakken,10527,698,1958,417,31
25-083-23270-00-00,11/30/2022 12:00:00 AM,Bakken,10527,616,1788,382,30
25-083-23270-00-00,10/31/2022 12:00:00 AM,Bakken,10527,780,2092,432,31
25-083-23270-00-00,9/30/2022 12:00:00 AM,Bakken,10527,782,2281,605,30
25-083-23270-00-00,8/31/2022 12:00:00 AM,Bakken,10527,413,1551,278,23
25-083-23270-00-00,7/31/2022 12:00:00 AM,Bakken,10527,826,2374,452,31
25-083-23270-00-00,6/30/2022 12:00:00 AM,Bakken,10527,893,2339,672,30
25-083-23270-00-00,5/31/2022 12:00:00 AM,Bakken,10527,214,348,294,16
25-083-23270-00-00,4/30/2022 12:00:00 AM,Bakken,10527,543,1601,292,27
25-083-23270-00-00,3/31/2022 12:00:00 AM,Bakken,10527,827,2169,473,31
25-083-23270-00-00,2/28/2022 12:00:00 AM,Bakken,10527,755,1993,400,28
25-083-23270-00-00,1/31/2022 12:00:00 AM,Bakken,10527,951,2262,487,31
25-083-23270-00-00,12/31/2021 12:00:00 AM,Bakken,10527,1073,2268,499,31
25-083-23270-00-00,11/30/2021 12:00:00 AM,Bakken,10527,1169,2293,549,30
25-083-23270-00-00,10/31/2021 12:00:00 AM,Bakken,10527,1133,1957,612,31
25-083-23270-00-00,9/30/2021 12:00:00 AM,Bakken,10527,802,1588,811,30
25-083-23270-00-00,8/31/2021 12:00:00 AM,Bakken,10527,533,1187,581,27
25-083-23270-00-00,7/31/2021 12:00:00 AM,Bakken,10527,656,1732,374,31
25-083-23270-00-00,6/30/2021 12:00:00 AM,Bakken,10527,615,1390,291,30
25-083-23270-00-00,5/31/2021 12:00:00 AM,Bakken,10527,667,1054,574,27
25-083-23270-00-00,4/30/2021 12:00:00 AM,Bakken,10527,374,922,199,30
25-083-23270-00-00,3/31/2021 12:00:00 AM,Bakken,10527,316,959,173,31
25-083-23270-00-00,2/28/2021 12:00:00 AM,Bakken,10527,342,779,160,28
25-083-23270-00-00,1/31/2021 12:00:00 AM,Bakken,10527,351,1028,147,31
25-083-23270-00-00,12/31/2020 12:00:00 AM,Bakken,10527,382,1043,180,31
25-083-23270-00-00,11/30/2020 12:00:00 AM,Bakken,10527,363,940,174,30
25-083-23270-00-00,10/31/2020 12:00:00 AM,Bakken,10527,401,1071,180,31
25-083-23270-00-00,9/30/2020 12:00:00 AM,Bakken,10527,399,964,189,30
25-083-23270-00-00,8/31/2020 12:00:00 AM,Bakken,10527,532,1206,367,31
25-083-23270-00-00,7/31/2020 12:00:00 AM,Bakken,10527,670,1729,456,31
25-083-23270-00-00,6/30/2020 12:00:00 AM,Bakken,10527,236,315,273,7
25-083-23270-00-00,5/31/2020 12:00:00 AM,Bakken,10527,2,1,0,1
25-083-23270-00-00,4/30/2020 12:00:00 AM,Bakken,10527,197,494,160,17
25-083-23270-00-00,3/31/2020 12:00:00 AM,Bakken,10527,369,757,269,31
25-083-23270-00-00,2/29/2020 12:00:00 AM,Bakken,10527,367,777,175,29
25-083-23270-00-00,1/31/2020 12:00:00 AM,Bakken,10527,393,762,194,31
25-083-23270-00-00,12/31/2019 12:00:00 AM,Bakken,10527,396,948,213,31
25-083-23270-00-00,11/30/2019 12:00:00 AM,Bakken,10527,372,935,192,30
25-083-23270-00-00,10/31/2019 12:00:00 AM,Bakken,10527,419,1025,225,31
25-083-23270-00-00,9/30/2019 12:00:00 AM,Bakken,10527,393,874,200,30
25-083-23270-00-00,8/31/2019 12:00:00 AM,Bakken,10527,395,916,218,31
25-083-23270-00-00,7/31/2019 12:00:00 AM,Bakken,10527,401,915,210,31
25-083-23270-00-00,6/30/2019 12:00:00 AM,Bakken,10527,378,867,234,30
25-083-23270-00-00,5/31/2019 12:00:00 AM,Bakken,10527,475,840,221,31
25-083-23270-00-00,4/30/2019 12:00:00 AM,Bakken,10527,421,826,210,30
25-083-23270-00-00,3/31/2019 12:00:00 AM,Bakken,10527,479,798,247,31
25-083-23270-00-00,2/28/2019 12:00:00 AM,Bakken,10527,466,775,202,28
25-083-23270-00-00,1/31/2019 12:00:00 AM,Bakken,10527,474,1079,317,31
25-083-23270-00-00,12/31/2018 12:00:00 AM,Bakken,10527,464,1183,317,31
25-083-23270-00-00,11/30/2018 12:00:00 AM,Bakken,10527,465,1001,225,30
25-083-23270-00-00,10/31/2018 12:00:00 AM,Bakken,10527,506,1016,242,31
25-083-23270-00-00,9/30/2018 12:00:00 AM,Bakken,10527,441,824,258,30
25-083-23270-00-00,8/31/2018 12:00:00 AM,Bakken,10527,448,918,265,31
25-083-23270-00-00,7/31/2018 12:00:00 AM,Bakken,10527,455,893,266,31
25-083-23270-00-00,6/30/2018 12:00:00 AM,Bakken,10527,426,885,217,30
25-083-23270-00-00,5/31/2018 12:00:00 AM,Bakken,10527,601,949,323,31
25-083-23270-00-00,4/30/2018 12:00:00 AM,Bakken,10527,461,787,257,30
25-083-23270-00-00,3/31/2018 12:00:00 AM,Bakken,10527,510,1190,314,31
25-083-23270-00-00,2/28/2018 12:00:00 AM,Bakken,10527,466,1914,260,28
25-083-23270-00-00,1/31/2018 12:00:00 AM,Bakken,10527,566,1283,282,31
25-083-23270-00-00,12/31/2017 12:00:00 AM,Bakken,10527,595,1251,287,31
25-083-23270-00-00,11/30/2017 12:00:00 AM,Bakken,10527,646,1337,307,30
25-083-23270-00-00,10/31/2017 12:00:00 AM,Bakken,10527,662,1412,326,31
25-083-23270-00-00,9/30/2017 12:00:00 AM,Bakken,10527,709,1398,318,30
25-083-23270-00-00,8/31/2017 12:00:00 AM,Bakken,10527,783,1768,410,31
25-083-23270-00-00,7/31/2017 12:00:00 AM,Bakken,10527,622,1432,325,31
25-083-23270-00-00,6/30/2017 12:00:00 AM,Bakken,10527,795,1479,422,30
25-083-23270-00-00,5/31/2017 12:00:00 AM,Bakken,10527,713,1446,313,31
25-083-23270-00-00,4/30/2017 12:00:00 AM,Bakken,10527,740,937,441,28
25-083-23270-00-00,3/31/2017 12:00:00 AM,Bakken,10527,809,1329,461,31
25-083-23270-00-00,2/28/2017 12:00:00 AM,Bakken,10527,687,1183,340,28
25-083-23270-00-00,1/31/2017 12:00:00 AM,Bakken,10527,863,1318,417,31
