API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-073-05367-00-00,9/30/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,8/31/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,7/31/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,6/30/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,5/31/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,4/30/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,3/31/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,2/29/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,1/31/2004 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,12/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,11/30/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,10/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,9/30/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,8/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,7/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,6/30/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,5/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,4/30/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,3/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,2/28/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,1/31/2003 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,12/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,11/30/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,10/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,9/30/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,8/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,7/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,6/30/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,5/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,4/30/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,3/31/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,2/28/2002 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,1/31/2002 12:00:00 AM,"Madison, Sunburst",3591,1,0,506,28
25-073-05367-00-00,12/31/2001 12:00:00 AM,"Madison, Sunburst",3591,1,0,1,1
25-073-05367-00-00,11/30/2001 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,10/31/2001 12:00:00 AM,"Madison, Sunburst",3591,1,0,0,1
25-073-05367-00-00,9/30/2001 12:00:00 AM,"Madison, Sunburst",3591,1,0,36,2
25-073-05367-00-00,8/31/2001 12:00:00 AM,"Madison, Sunburst",3591,1,0,36,2
25-073-05367-00-00,7/31/2001 12:00:00 AM,"Madison, Sunburst",3591,0,0,0,0
25-073-05367-00-00,6/30/2001 12:00:00 AM,Madison,3591,14,0,415,23
25-073-05367-00-00,5/31/2001 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,4/30/2001 12:00:00 AM,Madison,3591,21,0,542,30
25-073-05367-00-00,3/31/2001 12:00:00 AM,Madison,3591,26,0,560,31
25-073-05367-00-00,2/28/2001 12:00:00 AM,Madison,3591,19,0,506,28
25-073-05367-00-00,1/31/2001 12:00:00 AM,Madison,3591,20,0,560,31
25-073-05367-00-00,12/31/2000 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,11/30/2000 12:00:00 AM,Madison,3591,21,0,542,30
25-073-05367-00-00,10/31/2000 12:00:00 AM,Madison,3591,22,0,560,31
25-073-05367-00-00,9/30/2000 12:00:00 AM,Madison,3591,16,0,542,30
25-073-05367-00-00,8/31/2000 12:00:00 AM,Madison,3591,22,0,560,31
25-073-05367-00-00,7/31/2000 12:00:00 AM,Madison,3591,21,0,560,29
25-073-05367-00-00,6/30/2000 12:00:00 AM,Madison,3591,21,0,524,29
25-073-05367-00-00,5/31/2000 12:00:00 AM,Madison,3591,20,0,560,31
25-073-05367-00-00,4/30/2000 12:00:00 AM,Madison,3591,21,0,542,30
25-073-05367-00-00,3/31/2000 12:00:00 AM,Madison,3591,20,0,560,31
25-073-05367-00-00,2/29/2000 12:00:00 AM,Madison,3591,20,0,524,29
25-073-05367-00-00,1/31/2000 12:00:00 AM,Madison,3591,22,0,560,31
25-073-05367-00-00,12/31/1999 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,11/30/1999 12:00:00 AM,Madison,3591,20,0,542,30
25-073-05367-00-00,10/31/1999 12:00:00 AM,Madison,3591,22,0,560,31
25-073-05367-00-00,9/30/1999 12:00:00 AM,Madison,3591,20,0,542,30
25-073-05367-00-00,8/31/1999 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,7/31/1999 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,6/30/1999 12:00:00 AM,Madison,3591,21,0,542,30
25-073-05367-00-00,5/31/1999 12:00:00 AM,Madison,3591,22,0,560,31
25-073-05367-00-00,4/30/1999 12:00:00 AM,Madison,3591,21,0,542,30
25-073-05367-00-00,3/31/1999 12:00:00 AM,Madison,3591,21,0,560,31
25-073-05367-00-00,2/28/1999 12:00:00 AM,Madison,3591,15,0,506,28
25-073-05367-00-00,1/31/1999 12:00:00 AM,Madison,3591,20,0,600,31
25-073-05367-00-00,12/31/1998 12:00:00 AM,Madison,3591,11,0,560,31
25-073-05367-00-00,11/30/1998 12:00:00 AM,Madison,3591,10,0,542,30
25-073-05367-00-00,10/31/1998 12:00:00 AM,Madison,3591,11,0,560,31
25-073-05367-00-00,9/30/1998 12:00:00 AM,Madison,3591,10,0,542,30
25-073-05367-00-00,8/31/1998 12:00:00 AM,Madison,3591,9,0,560,31
25-073-05367-00-00,7/31/1998 12:00:00 AM,Madison,3591,10,0,560,31
25-073-05367-00-00,6/30/1998 12:00:00 AM,Madison,3591,15,0,542,30
25-073-05367-00-00,5/31/1998 12:00:00 AM,Madison,3591,24,0,560,31
25-073-05367-00-00,4/30/1998 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,3/31/1998 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,2/28/1998 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,1/31/1998 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,12/31/1997 12:00:00 AM,Madison,3591,9,0,488,27
25-073-05367-00-00,11/30/1997 12:00:00 AM,Madison,3591,11,0,542,30
25-073-05367-00-00,10/31/1997 12:00:00 AM,Madison,3591,11,0,560,31
25-073-05367-00-00,9/30/1997 12:00:00 AM,Madison,3591,11,0,542,30
25-073-05367-00-00,8/31/1997 12:00:00 AM,Madison,3591,11,0,560,31
25-073-05367-00-00,7/31/1997 12:00:00 AM,Madison,3591,11,0,560,31
25-073-05367-00-00,6/30/1997 12:00:00 AM,Madison,3591,11,0,570,30
25-073-05367-00-00,5/31/1997 12:00:00 AM,Madison,3591,11,0,160,17
25-073-05367-00-00,4/30/1997 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,3/31/1997 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,2/28/1997 12:00:00 AM,Madison,3591,16,0,140,12
25-073-05367-00-00,1/31/1997 12:00:00 AM,Madison,3591,39,0,340,29
25-073-05367-00-00,12/31/1996 12:00:00 AM,Madison,3591,42,0,370,31
25-073-05367-00-00,11/30/1996 12:00:00 AM,Madison,3591,37,0,360,28
25-073-05367-00-00,10/31/1996 12:00:00 AM,Madison,3591,41,0,400,31
25-073-05367-00-00,9/30/1996 12:00:00 AM,Madison,3591,41,0,390,30
25-073-05367-00-00,8/31/1996 12:00:00 AM,Madison,3591,12,0,200,15
25-073-05367-00-00,7/31/1996 12:00:00 AM,Madison,3591,43,0,410,31
25-073-05367-00-00,6/30/1996 12:00:00 AM,Madison,3591,23,0,350,17
25-073-05367-00-00,5/31/1996 12:00:00 AM,Madison,3591,42,0,640,31
25-073-05367-00-00,4/30/1996 12:00:00 AM,Madison,3591,40,0,620,30
25-073-05367-00-00,3/31/1996 12:00:00 AM,Madison,3591,42,0,610,31
25-073-05367-00-00,2/29/1996 12:00:00 AM,Madison,3591,40,0,750,29
25-073-05367-00-00,1/31/1996 12:00:00 AM,Madison,3591,42,0,110,31
25-073-05367-00-00,12/31/1995 12:00:00 AM,Madison,3591,34,0,100,25
25-073-05367-00-00,11/30/1995 12:00:00 AM,Madison,3591,5,0,20,4
25-073-05367-00-00,10/31/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,9/30/1995 12:00:00 AM,Madison,3591,41,0,95,30
25-073-05367-00-00,8/31/1995 12:00:00 AM,Madison,3591,43,0,100,31
25-073-05367-00-00,7/31/1995 12:00:00 AM,Madison,3591,13,0,45,3
25-073-05367-00-00,6/30/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,5/31/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,4/30/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,3/31/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,2/28/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,1/31/1995 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,12/31/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,11/30/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,10/31/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,9/30/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,8/31/1994 12:00:00 AM,Madison,3591,34,0,192,24
25-073-05367-00-00,7/31/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,6/30/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,5/31/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,4/30/1994 12:00:00 AM,Madison,3591,0,0,0,0
25-073-05367-00-00,3/31/1994 12:00:00 AM,Madison,3591,0,0,0,0
