API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-21705-00-00,7/31/2025 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,6/30/2025 12:00:00 AM,Madison,227,0,0,1780,20
25-035-21705-00-00,5/31/2025 12:00:00 AM,Madison,227,0,0,3218,31
25-035-21705-00-00,4/30/2025 12:00:00 AM,Madison,227,0,0,2028,30
25-035-21705-00-00,3/31/2025 12:00:00 AM,Madison,227,0,0,2151,31
25-035-21705-00-00,2/28/2025 12:00:00 AM,Madison,227,0,0,1830,22
25-035-21705-00-00,1/31/2025 12:00:00 AM,Madison,227,0,0,5580,31
25-035-21705-00-00,12/31/2024 12:00:00 AM,Madison,227,0,0,5580,31
25-035-21705-00-00,11/30/2024 12:00:00 AM,Madison,227,0,0,2700,15
25-035-21705-00-00,10/31/2024 12:00:00 AM,Madison,227,0,0,4680,26
25-035-21705-00-00,9/30/2024 12:00:00 AM,Madison,227,0,0,4860,27
25-035-21705-00-00,8/31/2024 12:00:00 AM,Madison,227,0,0,3780,21
25-035-21705-00-00,7/31/2024 12:00:00 AM,Madison,227,0,0,5580,31
25-035-21705-00-00,6/30/2024 12:00:00 AM,Madison,227,0,0,3240,18
25-035-21705-00-00,5/31/2024 12:00:00 AM,Madison,227,0,0,720,4
25-035-21705-00-00,4/30/2024 12:00:00 AM,Madison,227,0,0,5220,29
25-035-21705-00-00,3/31/2024 12:00:00 AM,Madison,227,0,0,3420,19
25-035-21705-00-00,2/29/2024 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,1/31/2024 12:00:00 AM,Madison,227,0,0,4500,25
25-035-21705-00-00,12/31/2023 12:00:00 AM,Madison,227,0,0,2700,15
25-035-21705-00-00,11/30/2023 12:00:00 AM,Madison,227,0,0,5400,30
25-035-21705-00-00,10/31/2023 12:00:00 AM,Madison,227,0,0,5580,31
25-035-21705-00-00,9/30/2023 12:00:00 AM,Madison,227,0,0,5400,30
25-035-21705-00-00,8/31/2023 12:00:00 AM,Madison,227,11,0,2302,31
25-035-21705-00-00,7/31/2023 12:00:00 AM,Madison,227,8,0,1040,14
25-035-21705-00-00,6/30/2023 12:00:00 AM,Madison,227,4,0,371,5
25-035-21705-00-00,5/31/2023 12:00:00 AM,Madison,227,15,0,1485,20
25-035-21705-00-00,4/30/2023 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,3/31/2023 12:00:00 AM,Madison,227,15,0,2302,31
25-035-21705-00-00,2/28/2023 12:00:00 AM,Madison,227,26,0,2302,31
25-035-21705-00-00,1/31/2023 12:00:00 AM,Madison,227,21,0,2302,31
25-035-21705-00-00,12/31/2022 12:00:00 AM,Madison,227,22,0,2302,31
25-035-21705-00-00,11/30/2022 12:00:00 AM,Madison,227,19,0,2228,30
25-035-21705-00-00,10/31/2022 12:00:00 AM,Madison,227,43,0,2302,31
25-035-21705-00-00,9/30/2022 12:00:00 AM,Madison,227,21,0,2228,30
25-035-21705-00-00,8/31/2022 12:00:00 AM,Madison,227,21,0,2302,31
25-035-21705-00-00,7/31/2022 12:00:00 AM,Madison,227,18,0,4565,31
25-035-21705-00-00,6/30/2022 12:00:00 AM,Madison,227,16,0,4418,30
25-035-21705-00-00,5/31/2022 12:00:00 AM,Madison,227,9,0,3788,25
25-035-21705-00-00,4/30/2022 12:00:00 AM,Madison,227,10,0,4545,30
25-035-21705-00-00,3/31/2022 12:00:00 AM,Madison,227,12,0,4697,31
25-035-21705-00-00,2/28/2022 12:00:00 AM,Madison,227,9,0,0,0
25-035-21705-00-00,1/31/2022 12:00:00 AM,Madison,227,15,0,3636,24
25-035-21705-00-00,12/31/2021 12:00:00 AM,Madison,227,15,0,4697,31
25-035-21705-00-00,11/30/2021 12:00:00 AM,Madison,227,16,0,4545,30
25-035-21705-00-00,10/31/2021 12:00:00 AM,Madison,227,17,0,4394,29
25-035-21705-00-00,9/30/2021 12:00:00 AM,Madison,227,16,0,4545,30
25-035-21705-00-00,8/31/2021 12:00:00 AM,Madison,227,18,0,288,4
25-035-21705-00-00,7/31/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,6/30/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,5/31/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,4/30/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,3/31/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,2/28/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,1/31/2021 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,12/31/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,11/30/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,10/31/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,9/30/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,8/31/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,7/31/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,6/30/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,5/31/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,4/30/2020 12:00:00 AM,Madison,227,0,0,0,0
25-035-21705-00-00,3/31/2020 12:00:00 AM,Madison,227,88,0,0,31
25-035-21705-00-00,2/29/2020 12:00:00 AM,Madison,227,72,0,2088,29
25-035-21705-00-00,1/31/2020 12:00:00 AM,Madison,227,51,0,2232,31
25-035-21705-00-00,12/31/2019 12:00:00 AM,Madison,227,60,0,2232,31
25-035-21705-00-00,11/30/2019 12:00:00 AM,Madison,227,57,0,2160,30
25-035-21705-00-00,10/31/2019 12:00:00 AM,Madison,227,64,0,2232,31
25-035-21705-00-00,9/30/2019 12:00:00 AM,Madison,227,62,0,2160,30
25-035-21705-00-00,8/31/2019 12:00:00 AM,Madison,227,48,0,2381,31
25-035-21705-00-00,7/31/2019 12:00:00 AM,Madison,227,66,0,2706,31
25-035-21705-00-00,6/30/2019 12:00:00 AM,Madison,227,59,0,2328,30
25-035-21705-00-00,5/31/2019 12:00:00 AM,Madison,227,96,0,3007,31
25-035-21705-00-00,4/30/2019 12:00:00 AM,Madison,227,95,0,3007,31
25-035-21705-00-00,3/31/2019 12:00:00 AM,Madison,227,77,0,3007,31
25-035-21705-00-00,2/28/2019 12:00:00 AM,Madison,227,66,0,2716,28
25-035-21705-00-00,1/31/2019 12:00:00 AM,Madison,227,64,0,3007,31
25-035-21705-00-00,12/31/2018 12:00:00 AM,Madison,227,95,0,2678,31
25-035-21705-00-00,11/30/2018 12:00:00 AM,Madison,227,76,0,2328,30
25-035-21705-00-00,10/31/2018 12:00:00 AM,Madison,227,83,0,2706,31
25-035-21705-00-00,9/30/2018 12:00:00 AM,Madison,227,60,0,2646,30
25-035-21705-00-00,8/31/2018 12:00:00 AM,Madison,227,82,0,3646,31
25-035-21705-00-00,7/31/2018 12:00:00 AM,Madison,227,43,0,1814,17
25-035-21705-00-00,6/30/2018 12:00:00 AM,Madison,227,77,0,2910,30
25-035-21705-00-00,5/31/2018 12:00:00 AM,Madison,227,110,0,3492,30
25-035-21705-00-00,4/30/2018 12:00:00 AM,Madison,227,95,0,3201,30
25-035-21705-00-00,3/31/2018 12:00:00 AM,Madison,227,94,0,3308,31
25-035-21705-00-00,2/28/2018 12:00:00 AM,Madison,227,93,0,2988,28
25-035-21705-00-00,1/31/2018 12:00:00 AM,Madison,227,107,0,2668,25
25-035-21705-00-00,12/31/2017 12:00:00 AM,Madison,227,49,0,3201,30
25-035-21705-00-00,11/30/2017 12:00:00 AM,Madison,227,49,0,3822,30
25-035-21705-00-00,10/31/2017 12:00:00 AM,Madison,227,37,0,2052,18
25-035-21705-00-00,9/30/2017 12:00:00 AM,Madison,227,59,0,1455,30
25-035-21705-00-00,8/31/2017 12:00:00 AM,Madison,227,65,0,1804,31
