API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22277-00-00,7/31/2025 12:00:00 AM,Eagle,2356,0,549,0,31
25-005-22277-00-00,6/30/2025 12:00:00 AM,Eagle,2356,0,539,0,30
25-005-22277-00-00,5/31/2025 12:00:00 AM,Eagle,2356,0,559,0,31
25-005-22277-00-00,4/30/2025 12:00:00 AM,Eagle,2356,0,542,0,30
25-005-22277-00-00,3/31/2025 12:00:00 AM,Eagle,2356,0,602,0,31
25-005-22277-00-00,2/28/2025 12:00:00 AM,Eagle,2356,0,459,0,23
25-005-22277-00-00,1/31/2025 12:00:00 AM,Eagle,2356,0,544,0,28
25-005-22277-00-00,12/31/2024 12:00:00 AM,Eagle,2356,0,575,0,31
25-005-22277-00-00,11/30/2024 12:00:00 AM,Eagle,2356,0,571,0,30
25-005-22277-00-00,10/31/2024 12:00:00 AM,Eagle,2356,0,589,0,31
25-005-22277-00-00,9/30/2024 12:00:00 AM,Eagle,2356,0,556,0,30
25-005-22277-00-00,8/31/2024 12:00:00 AM,Eagle,2356,0,583,0,31
25-005-22277-00-00,7/31/2024 12:00:00 AM,Eagle,2356,0,575,0,31
25-005-22277-00-00,6/30/2024 12:00:00 AM,Eagle,2356,0,567,0,30
25-005-22277-00-00,5/31/2024 12:00:00 AM,Eagle,2356,0,591,0,31
25-005-22277-00-00,4/30/2024 12:00:00 AM,Eagle,2356,0,571,0,30
25-005-22277-00-00,3/31/2024 12:00:00 AM,Eagle,2356,0,607,0,31
25-005-22277-00-00,2/29/2024 12:00:00 AM,Eagle,2356,0,601,0,29
25-005-22277-00-00,1/31/2024 12:00:00 AM,Eagle,2356,0,557,0,28
25-005-22277-00-00,12/31/2023 12:00:00 AM,Eagle,2356,0,598,0,31
25-005-22277-00-00,11/30/2023 12:00:00 AM,Eagle,2356,0,589,0,30
25-005-22277-00-00,10/31/2023 12:00:00 AM,Eagle,2356,0,607,0,31
25-005-22277-00-00,9/30/2023 12:00:00 AM,Eagle,2356,0,589,0,30
25-005-22277-00-00,8/31/2023 12:00:00 AM,Eagle,2356,0,616,0,31
25-005-22277-00-00,7/31/2023 12:00:00 AM,Eagle,2356,0,604,0,31
25-005-22277-00-00,6/30/2023 12:00:00 AM,Eagle,2356,0,575,0,30
25-005-22277-00-00,5/31/2023 12:00:00 AM,Eagle,2356,0,613,0,31
25-005-22277-00-00,4/30/2023 12:00:00 AM,Eagle,2356,0,611,0,30
25-005-22277-00-00,3/31/2023 12:00:00 AM,Eagle,2356,0,648,0,31
25-005-22277-00-00,2/28/2023 12:00:00 AM,Eagle,2356,0,582,0,27
25-005-22277-00-00,1/31/2023 12:00:00 AM,Eagle,2356,0,635,0,30
25-005-22277-00-00,12/31/2022 12:00:00 AM,Eagle,2356,0,582,0,26
25-005-22277-00-00,11/30/2022 12:00:00 AM,Eagle,2356,0,600,0,30
25-005-22277-00-00,10/31/2022 12:00:00 AM,Eagle,2356,0,642,0,31
25-005-22277-00-00,9/30/2022 12:00:00 AM,Eagle,2356,0,609,0,30
25-005-22277-00-00,8/31/2022 12:00:00 AM,Eagle,2356,0,643,0,31
25-005-22277-00-00,7/31/2022 12:00:00 AM,Eagle,2356,0,635,0,31
25-005-22277-00-00,6/30/2022 12:00:00 AM,Eagle,2356,0,620,0,30
25-005-22277-00-00,5/31/2022 12:00:00 AM,Eagle,2356,0,641,0,31
25-005-22277-00-00,4/30/2022 12:00:00 AM,Eagle,2356,0,614,0,30
