API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22575-00-00,7/31/2025 12:00:00 AM,Bakken,7577,353,431,47,31
25-083-22575-00-00,5/31/2025 12:00:00 AM,Bakken,7577,350,410,40,30
25-083-22575-00-00,4/30/2025 12:00:00 AM,Bakken,7577,357,390,73,30
25-083-22575-00-00,3/31/2025 12:00:00 AM,Bakken,7577,399,442,50,31
25-083-22575-00-00,2/28/2025 12:00:00 AM,Bakken,7577,364,382,38,28
25-083-22575-00-00,1/31/2025 12:00:00 AM,Bakken,7577,415,539,68,31
25-083-22575-00-00,12/31/2024 12:00:00 AM,Bakken,7577,437,497,80,31
25-083-22575-00-00,11/30/2024 12:00:00 AM,Bakken,7577,252,297,72,19
25-083-22575-00-00,10/31/2024 12:00:00 AM,Bakken,7577,1,1,0,0
25-083-22575-00-00,9/30/2024 12:00:00 AM,Bakken,7577,292,408,42,30
25-083-22575-00-00,8/31/2024 12:00:00 AM,Bakken,7577,326,493,22,31
25-083-22575-00-00,7/31/2024 12:00:00 AM,Bakken,7577,323,419,5,31
25-083-22575-00-00,6/30/2024 12:00:00 AM,Bakken,7577,349,501,45,30
25-083-22575-00-00,5/31/2024 12:00:00 AM,Bakken,7577,338,445,33,31
25-083-22575-00-00,4/30/2024 12:00:00 AM,Bakken,7577,342,438,47,30
25-083-22575-00-00,3/31/2024 12:00:00 AM,Bakken,7577,340,457,58,31
25-083-22575-00-00,2/29/2024 12:00:00 AM,Bakken,7577,346,501,52,29
25-083-22575-00-00,1/31/2024 12:00:00 AM,Bakken,7577,378,567,53,31
25-083-22575-00-00,12/31/2023 12:00:00 AM,Bakken,7577,414,547,19,31
25-083-22575-00-00,11/30/2023 12:00:00 AM,Bakken,7577,333,468,75,30
25-083-22575-00-00,10/31/2023 12:00:00 AM,Bakken,7577,365,495,40,31
25-083-22575-00-00,9/30/2023 12:00:00 AM,Bakken,7577,362,536,45,30
25-083-22575-00-00,8/31/2023 12:00:00 AM,Bakken,7577,380,549,30,31
25-083-22575-00-00,7/31/2023 12:00:00 AM,Bakken,7577,379,600,60,31
25-083-22575-00-00,6/30/2023 12:00:00 AM,Bakken,7577,367,556,40,30
25-083-22575-00-00,5/31/2023 12:00:00 AM,Bakken,7577,391,548,60,31
25-083-22575-00-00,4/30/2023 12:00:00 AM,Bakken,7577,386,547,52,30
25-083-22575-00-00,3/31/2023 12:00:00 AM,Bakken,7577,379,549,60,31
25-083-22575-00-00,2/28/2023 12:00:00 AM,Bakken,7577,360,470,48,28
25-083-22575-00-00,1/31/2023 12:00:00 AM,Bakken,7577,393,572,38,31
25-083-22575-00-00,12/31/2022 12:00:00 AM,Bakken,7577,414,576,67,31
25-083-22575-00-00,11/30/2022 12:00:00 AM,Bakken,7577,388,547,45,30
25-083-22575-00-00,10/31/2022 12:00:00 AM,Bakken,7577,399,581,52,31
25-083-22575-00-00,9/30/2022 12:00:00 AM,Bakken,7577,409,570,28,30
25-083-22575-00-00,8/31/2022 12:00:00 AM,Bakken,7577,395,627,75,31
25-083-22575-00-00,7/31/2022 12:00:00 AM,Bakken,7577,412,520,62,31
25-083-22575-00-00,6/30/2022 12:00:00 AM,Bakken,7577,375,280,55,30
25-083-22575-00-00,5/31/2022 12:00:00 AM,Bakken,7577,404,507,27,31
25-083-22575-00-00,4/30/2022 12:00:00 AM,Bakken,7577,405,473,54,28
25-083-22575-00-00,3/31/2022 12:00:00 AM,Bakken,7577,400,523,50,31
25-083-22575-00-00,2/28/2022 12:00:00 AM,Bakken,7577,398,469,50,28
25-083-22575-00-00,1/31/2022 12:00:00 AM,Bakken,7577,437,289,48,31
25-083-22575-00-00,12/31/2021 12:00:00 AM,Bakken,7577,447,289,85,31
25-083-22575-00-00,11/30/2021 12:00:00 AM,Bakken,7577,388,519,49,30
25-083-22575-00-00,10/31/2021 12:00:00 AM,Bakken,7577,436,531,36,31
25-083-22575-00-00,9/30/2021 12:00:00 AM,Bakken,7577,421,462,82,30
25-083-22575-00-00,8/31/2021 12:00:00 AM,Bakken,7577,446,449,37,31
25-083-22575-00-00,7/31/2021 12:00:00 AM,Bakken,7577,436,473,48,31
25-083-22575-00-00,6/30/2021 12:00:00 AM,Bakken,7577,437,429,55,30
25-083-22575-00-00,5/31/2021 12:00:00 AM,Bakken,7577,457,496,48,31
25-083-22575-00-00,4/30/2021 12:00:00 AM,Bakken,7577,447,437,50,30
25-083-22575-00-00,3/31/2021 12:00:00 AM,Bakken,7577,466,557,52,31
25-083-22575-00-00,2/28/2021 12:00:00 AM,Bakken,7577,439,548,50,28
25-083-22575-00-00,1/31/2021 12:00:00 AM,Bakken,7577,480,625,60,31
25-083-22575-00-00,12/31/2020 12:00:00 AM,Bakken,7577,570,671,57,31
25-083-22575-00-00,11/30/2020 12:00:00 AM,Bakken,7577,394,516,0,26
25-083-22575-00-00,10/31/2020 12:00:00 AM,Bakken,7577,512,593,57,31
25-083-22575-00-00,9/30/2020 12:00:00 AM,Bakken,7577,488,518,62,30
25-083-22575-00-00,8/31/2020 12:00:00 AM,Bakken,7577,513,542,61,31
25-083-22575-00-00,7/31/2020 12:00:00 AM,Bakken,7577,517,571,78,31
25-083-22575-00-00,6/30/2020 12:00:00 AM,Bakken,7577,512,842,58,30
25-083-22575-00-00,5/31/2020 12:00:00 AM,Bakken,7577,575,650,73,31
25-083-22575-00-00,4/30/2020 12:00:00 AM,Bakken,7577,455,369,207,17
25-083-22575-00-00,3/31/2020 12:00:00 AM,Bakken,7577,426,483,53,25
25-083-22575-00-00,2/29/2020 12:00:00 AM,Bakken,7577,529,571,70,29
25-083-22575-00-00,1/31/2020 12:00:00 AM,Bakken,7577,581,596,69,31
25-083-22575-00-00,12/31/2019 12:00:00 AM,Bakken,7577,579,594,70,31
25-083-22575-00-00,11/30/2019 12:00:00 AM,Bakken,7577,653,592,79,30
25-083-22575-00-00,10/31/2019 12:00:00 AM,Bakken,7577,592,504,57,31
25-083-22575-00-00,9/30/2019 12:00:00 AM,Bakken,7577,460,501,94,30
25-083-22575-00-00,8/31/2019 12:00:00 AM,Bakken,7577,582,483,83,31
25-083-22575-00-00,7/31/2019 12:00:00 AM,Bakken,7577,607,560,94,31
25-083-22575-00-00,6/30/2019 12:00:00 AM,Bakken,7577,607,497,85,30
25-083-22575-00-00,5/31/2019 12:00:00 AM,Bakken,7577,613,535,95,30
25-083-22575-00-00,4/30/2019 12:00:00 AM,Bakken,7577,614,500,109,30
25-083-22575-00-00,3/31/2019 12:00:00 AM,Bakken,7577,711,590,157,31
25-083-22575-00-00,2/28/2019 12:00:00 AM,Bakken,7577,638,567,227,28
25-083-22575-00-00,1/31/2019 12:00:00 AM,Bakken,7577,269,355,646,22
25-083-22575-00-00,12/31/2018 12:00:00 AM,Bakken,7577,0,0,0,0
25-083-22575-00-00,11/30/2018 12:00:00 AM,Bakken,7577,318,278,45,27
25-083-22575-00-00,10/31/2018 12:00:00 AM,Bakken,7577,389,361,27,31
25-083-22575-00-00,9/30/2018 12:00:00 AM,Bakken,7577,318,283,52,30
25-083-22575-00-00,8/31/2018 12:00:00 AM,Bakken,7577,404,330,37,31
