API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-05053-00-00,12/31/2012 12:00:00 AM,Sawtooth,4344,0,0,16360,31
25-005-05053-00-00,11/30/2012 12:00:00 AM,Sawtooth,4344,0,0,19703,30
25-005-05053-00-00,10/31/2012 12:00:00 AM,Sawtooth,4344,0,0,16070,31
25-005-05053-00-00,9/30/2012 12:00:00 AM,Sawtooth,4344,0,0,16779,30
25-005-05053-00-00,10/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2009 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/29/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2008 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2007 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2006 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2005 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/29/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2004 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2003 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,12/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,11/30/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,10/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,9/30/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,8/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,7/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,6/30/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,5/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,4/30/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,3/31/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,2/28/2002 12:00:00 AM,Sawtooth,4344,0,0,0,0
25-005-05053-00-00,1/31/2002 12:00:00 AM,Sawtooth,4344,13,0,13,14
25-005-05053-00-00,12/31/2001 12:00:00 AM,Sawtooth,4344,29,0,27,31
25-005-05053-00-00,11/30/2001 12:00:00 AM,Sawtooth,4344,28,0,8,30
25-005-05053-00-00,10/31/2001 12:00:00 AM,Sawtooth,4344,30,0,30,31
25-005-05053-00-00,9/30/2001 12:00:00 AM,Sawtooth,4344,28,0,30,30
25-005-05053-00-00,8/31/2001 12:00:00 AM,Sawtooth,4344,56,0,28,31
25-005-05053-00-00,7/31/2001 12:00:00 AM,Sawtooth,4344,29,0,28,31
25-005-05053-00-00,6/30/2001 12:00:00 AM,Sawtooth,4344,29,0,27,30
25-005-05053-00-00,5/31/2001 12:00:00 AM,Sawtooth,4344,27,0,28,31
25-005-05053-00-00,4/30/2001 12:00:00 AM,Sawtooth,4344,9,0,27,30
25-005-05053-00-00,3/31/2001 12:00:00 AM,Sawtooth,4344,31,0,7,31
25-005-05053-00-00,2/28/2001 12:00:00 AM,Sawtooth,4344,26,0,25,28
25-005-05053-00-00,1/31/2001 12:00:00 AM,Sawtooth,4344,31,0,27,31
25-005-05053-00-00,12/31/2000 12:00:00 AM,Sawtooth,4344,30,0,26,31
25-005-05053-00-00,11/30/2000 12:00:00 AM,Sawtooth,4344,28,0,27,30
25-005-05053-00-00,10/31/2000 12:00:00 AM,Sawtooth,4344,29,0,28,30
25-005-05053-00-00,9/30/2000 12:00:00 AM,Sawtooth,4344,29,0,0,30
25-005-05053-00-00,8/31/2000 12:00:00 AM,Sawtooth,4344,30,0,28,31
