API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-085-21923-00-00,7/31/2025 12:00:00 AM,Bakken,9024,458,457,958,31
25-085-21923-00-00,6/30/2025 12:00:00 AM,Bakken,9024,430,417,972,30
25-085-21923-00-00,5/31/2025 12:00:00 AM,Bakken,9024,423,416,1028,31
25-085-21923-00-00,4/30/2025 12:00:00 AM,Bakken,9024,452,421,1012,30
25-085-21923-00-00,3/31/2025 12:00:00 AM,Bakken,9024,596,501,1329,31
25-085-21923-00-00,2/28/2025 12:00:00 AM,Bakken,9024,394,432,832,23
25-085-21923-00-00,1/31/2025 12:00:00 AM,Bakken,9024,473,469,1190,31
25-085-21923-00-00,12/31/2024 12:00:00 AM,Bakken,9024,554,542,1344,31
25-085-21923-00-00,11/30/2024 12:00:00 AM,Bakken,9024,220,239,785,18
25-085-21923-00-00,10/31/2024 12:00:00 AM,Bakken,9024,202,264,522,12
25-085-21923-00-00,9/30/2024 12:00:00 AM,Bakken,9024,496,672,1181,30
25-085-21923-00-00,8/31/2024 12:00:00 AM,Bakken,9024,509,784,1145,31
25-085-21923-00-00,7/31/2024 12:00:00 AM,Bakken,9024,595,827,1457,31
25-085-21923-00-00,6/30/2024 12:00:00 AM,Bakken,9024,626,746,1257,30
25-085-21923-00-00,5/31/2024 12:00:00 AM,Bakken,9024,557,871,1196,31
25-085-21923-00-00,4/30/2024 12:00:00 AM,Bakken,9024,667,921,1457,30
25-085-21923-00-00,3/31/2024 12:00:00 AM,Bakken,9024,680,1040,1635,31
25-085-21923-00-00,2/29/2024 12:00:00 AM,Bakken,9024,894,894,1787,29
25-085-21923-00-00,1/31/2024 12:00:00 AM,Bakken,9024,854,1425,1417,24
25-085-21923-00-00,12/31/2023 12:00:00 AM,Bakken,9024,626,504,1768,26
25-085-21923-00-00,11/30/2023 12:00:00 AM,Bakken,9024,25,0,0,1
25-085-21923-00-00,10/31/2023 12:00:00 AM,Bakken,9024,425,469,1110,23
25-085-21923-00-00,9/30/2023 12:00:00 AM,Bakken,9024,620,407,1487,30
25-085-21923-00-00,8/31/2023 12:00:00 AM,Bakken,9024,615,711,1580,31
25-085-21923-00-00,7/31/2023 12:00:00 AM,Bakken,9024,374,469,1173,28
25-085-21923-00-00,6/30/2023 12:00:00 AM,Bakken,9024,506,580,1390,30
25-085-21923-00-00,5/31/2023 12:00:00 AM,Bakken,9024,638,688,1518,31
25-085-21923-00-00,4/30/2023 12:00:00 AM,Bakken,9024,555,837,1611,30
25-085-21923-00-00,3/31/2023 12:00:00 AM,Bakken,9024,577,667,2823,31
25-085-21923-00-00,2/28/2023 12:00:00 AM,Bakken,9024,508,832,2633,28
25-085-21923-00-00,1/31/2023 12:00:00 AM,Bakken,9024,551,683,2377,31
25-085-21923-00-00,12/31/2022 12:00:00 AM,Bakken,9024,614,767,1669,8
25-085-21923-00-00,11/30/2022 12:00:00 AM,Bakken,9024,575,726,1649,30
25-085-21923-00-00,10/31/2022 12:00:00 AM,Bakken,9024,561,639,1939,31
25-085-21923-00-00,9/30/2022 12:00:00 AM,Bakken,9024,610,714,1285,30
25-085-21923-00-00,8/31/2022 12:00:00 AM,Bakken,9024,602,861,1528,31
25-085-21923-00-00,7/31/2022 12:00:00 AM,Bakken,9024,902,1070,1687,31
25-085-21923-00-00,6/30/2022 12:00:00 AM,Bakken,9024,449,800,1271,30
25-085-21923-00-00,5/31/2022 12:00:00 AM,Bakken,9024,706,744,1641,31
25-085-21923-00-00,4/30/2022 12:00:00 AM,Bakken,9024,649,659,1279,29
25-085-21923-00-00,3/31/2022 12:00:00 AM,Bakken,9024,622,853,1829,31
25-085-21923-00-00,2/28/2022 12:00:00 AM,Bakken,9024,568,917,1185,28
25-085-21923-00-00,1/31/2022 12:00:00 AM,Bakken,9024,508,1061,1777,31
25-085-21923-00-00,12/31/2021 12:00:00 AM,Bakken,9024,839,934,1401,31
25-085-21923-00-00,11/30/2021 12:00:00 AM,Bakken,9024,656,775,1332,30
25-085-21923-00-00,10/31/2021 12:00:00 AM,Bakken,9024,693,957,1489,31
25-085-21923-00-00,9/30/2021 12:00:00 AM,Bakken,9024,678,913,1775,30
25-085-21923-00-00,8/31/2021 12:00:00 AM,Bakken,9024,788,1018,1599,31
25-085-21923-00-00,7/31/2021 12:00:00 AM,Bakken,9024,731,960,1701,31
25-085-21923-00-00,6/30/2021 12:00:00 AM,Bakken,9024,825,882,1272,30
25-085-21923-00-00,5/31/2021 12:00:00 AM,Bakken,9024,693,890,1550,30
25-085-21923-00-00,4/30/2021 12:00:00 AM,Bakken,9024,675,1113,1724,30
25-085-21923-00-00,3/31/2021 12:00:00 AM,Bakken,9024,966,1490,1966,31
25-085-21923-00-00,2/28/2021 12:00:00 AM,Bakken,9024,899,1198,1536,28
25-085-21923-00-00,1/31/2021 12:00:00 AM,Bakken,9024,1039,1214,1763,31
25-085-21923-00-00,12/31/2020 12:00:00 AM,Bakken,9024,900,805,1572,31
25-085-21923-00-00,11/30/2020 12:00:00 AM,Bakken,9024,845,504,1613,30
25-085-21923-00-00,10/31/2020 12:00:00 AM,Bakken,9024,188,96,529,13
25-085-21923-00-00,9/30/2020 12:00:00 AM,Bakken,9024,775,632,705,28
25-085-21923-00-00,8/31/2020 12:00:00 AM,Bakken,9024,701,650,1410,31
25-085-21923-00-00,7/31/2020 12:00:00 AM,Bakken,9024,865,1157,0,31
25-085-21923-00-00,6/30/2020 12:00:00 AM,Bakken,9024,1070,709,1534,30
