API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-22419-00-00,7/31/2025 12:00:00 AM,Eagle,4356,0,68,0,31
25-041-22419-00-00,6/30/2025 12:00:00 AM,Eagle,4356,0,69,0,30
25-041-22419-00-00,5/31/2025 12:00:00 AM,Eagle,4356,0,72,0,31
25-041-22419-00-00,4/30/2025 12:00:00 AM,Eagle,4356,0,73,0,30
25-041-22419-00-00,3/31/2025 12:00:00 AM,Eagle,4356,0,76,0,31
25-041-22419-00-00,2/28/2025 12:00:00 AM,Eagle,4356,0,37,0,17
25-041-22419-00-00,1/31/2025 12:00:00 AM,Eagle,4356,0,52,0,28
25-041-22419-00-00,12/31/2024 12:00:00 AM,Eagle,4356,0,81,0,31
25-041-22419-00-00,11/30/2024 12:00:00 AM,Eagle,4356,0,73,0,30
25-041-22419-00-00,10/31/2024 12:00:00 AM,Eagle,4356,0,70,0,31
25-041-22419-00-00,9/30/2024 12:00:00 AM,Eagle,4356,0,67,0,30
25-041-22419-00-00,8/31/2024 12:00:00 AM,Eagle,4356,0,71,0,31
25-041-22419-00-00,7/31/2024 12:00:00 AM,Eagle,4356,0,71,0,31
25-041-22419-00-00,6/30/2024 12:00:00 AM,Eagle,4356,0,70,0,30
25-041-22419-00-00,5/31/2024 12:00:00 AM,Eagle,4356,0,71,0,31
25-041-22419-00-00,4/30/2024 12:00:00 AM,Eagle,4356,0,65,0,30
25-041-22419-00-00,3/31/2024 12:00:00 AM,Eagle,4356,0,72,0,31
25-041-22419-00-00,2/29/2024 12:00:00 AM,Eagle,4356,0,71,0,29
25-041-22419-00-00,1/31/2024 12:00:00 AM,Eagle,4356,0,62,0,27
25-041-22419-00-00,12/31/2023 12:00:00 AM,Eagle,4356,0,78,0,31
25-041-22419-00-00,11/30/2023 12:00:00 AM,Eagle,4356,0,80,0,30
25-041-22419-00-00,10/31/2023 12:00:00 AM,Eagle,4356,0,73,0,30
25-041-22419-00-00,9/30/2023 12:00:00 AM,Eagle,4356,0,68,0,30
25-041-22419-00-00,8/31/2023 12:00:00 AM,Eagle,4356,0,71,0,31
25-041-22419-00-00,7/31/2023 12:00:00 AM,Eagle,4356,0,69,0,31
25-041-22419-00-00,6/30/2023 12:00:00 AM,Eagle,4356,0,63,0,30
25-041-22419-00-00,5/31/2023 12:00:00 AM,Eagle,4356,0,69,0,31
25-041-22419-00-00,4/30/2023 12:00:00 AM,Eagle,4356,0,69,0,26
25-041-22419-00-00,3/31/2023 12:00:00 AM,Eagle,4356,0,50,0,20
25-041-22419-00-00,2/28/2023 12:00:00 AM,Eagle,4356,0,66,0,28
25-041-22419-00-00,1/31/2023 12:00:00 AM,Eagle,4356,0,70,0,29
25-041-22419-00-00,12/31/2022 12:00:00 AM,Eagle,4356,0,60,0,24
25-041-22419-00-00,11/30/2022 12:00:00 AM,Eagle,4356,0,56,0,26
25-041-22419-00-00,10/31/2022 12:00:00 AM,Eagle,4356,0,43,0,31
25-041-22419-00-00,9/30/2022 12:00:00 AM,Eagle,4356,0,38,0,30
25-041-22419-00-00,8/31/2022 12:00:00 AM,Eagle,4356,0,52,0,29
25-041-22419-00-00,7/31/2022 12:00:00 AM,Eagle,4356,0,53,0,31
25-041-22419-00-00,6/30/2022 12:00:00 AM,Eagle,4356,0,55,0,30
25-041-22419-00-00,5/31/2022 12:00:00 AM,Eagle,4356,0,63,0,31
25-041-22419-00-00,4/30/2022 12:00:00 AM,Eagle,4356,0,61,0,30
25-041-22419-00-00,3/31/2022 12:00:00 AM,Eagle,4356,0,38,0,23
25-041-22419-00-00,2/28/2022 12:00:00 AM,Eagle,4356,0,39,0,24
25-041-22419-00-00,1/31/2022 12:00:00 AM,Eagle,4356,0,71,0,29
25-041-22419-00-00,12/31/2021 12:00:00 AM,Eagle,4356,0,63,0,27
25-041-22419-00-00,11/30/2021 12:00:00 AM,Eagle,4356,0,75,0,30
25-041-22419-00-00,10/31/2021 12:00:00 AM,Eagle,4356,0,74,0,31
25-041-22419-00-00,9/30/2021 12:00:00 AM,Eagle,4356,0,69,0,30
25-041-22419-00-00,8/31/2021 12:00:00 AM,Eagle,4356,0,72,0,31
25-041-22419-00-00,7/31/2021 12:00:00 AM,Eagle,4356,0,71,0,31
25-041-22419-00-00,6/30/2021 12:00:00 AM,Eagle,4356,0,73,0,30
25-041-22419-00-00,5/31/2021 12:00:00 AM,Eagle,4356,0,76,0,31
25-041-22419-00-00,4/30/2021 12:00:00 AM,Eagle,4356,0,72,0,30
25-041-22419-00-00,3/31/2021 12:00:00 AM,Eagle,4356,0,82,0,31
25-041-22419-00-00,2/28/2021 12:00:00 AM,Eagle,4356,0,62,0,25
25-041-22419-00-00,1/31/2021 12:00:00 AM,Eagle,4356,0,85,0,31
25-041-22419-00-00,12/31/2020 12:00:00 AM,Eagle,4356,0,85,0,31
25-041-22419-00-00,11/30/2020 12:00:00 AM,Eagle,4356,0,79,0,30
25-041-22419-00-00,10/31/2020 12:00:00 AM,Eagle,4356,0,77,0,31
25-041-22419-00-00,9/30/2020 12:00:00 AM,Eagle,4356,0,66,0,30
25-041-22419-00-00,8/31/2020 12:00:00 AM,Eagle,4356,0,69,0,31
25-041-22419-00-00,7/31/2020 12:00:00 AM,Eagle,4356,0,70,0,31
25-041-22419-00-00,6/30/2020 12:00:00 AM,Eagle,4356,0,68,0,30
25-041-22419-00-00,5/31/2020 12:00:00 AM,Eagle,4356,0,59,0,31
25-041-22419-00-00,4/30/2020 12:00:00 AM,Eagle,4356,0,56,0,30
25-041-22419-00-00,3/31/2020 12:00:00 AM,Eagle,4356,0,62,0,29
25-041-22419-00-00,2/29/2020 12:00:00 AM,Eagle,4356,0,82,0,29
25-041-22419-00-00,1/31/2020 12:00:00 AM,Eagle,4356,0,69,0,29
25-041-22419-00-00,12/31/2019 12:00:00 AM,Eagle,4356,0,95,0,29
25-041-22419-00-00,11/30/2019 12:00:00 AM,Eagle,4356,0,104,0,30
25-041-22419-00-00,10/31/2019 12:00:00 AM,Eagle,4356,0,112,0,31
25-041-22419-00-00,9/30/2019 12:00:00 AM,Eagle,4356,0,108,0,30
25-041-22419-00-00,8/31/2019 12:00:00 AM,Eagle,4356,0,110,0,31
25-041-22419-00-00,7/31/2019 12:00:00 AM,Eagle,4356,0,110,0,31
25-041-22419-00-00,6/30/2019 12:00:00 AM,Eagle,4356,0,105,0,30
25-041-22419-00-00,5/31/2019 12:00:00 AM,Eagle,4356,0,105,0,31
25-041-22419-00-00,4/30/2019 12:00:00 AM,Eagle,4356,0,99,0,30
25-041-22419-00-00,3/31/2019 12:00:00 AM,Eagle,4356,0,101,0,30
25-041-22419-00-00,2/28/2019 12:00:00 AM,Eagle,4356,0,46,0,28
25-041-22419-00-00,1/31/2019 12:00:00 AM,Eagle,4356,0,105,0,31
25-041-22419-00-00,12/31/2018 12:00:00 AM,Eagle,4356,0,107,0,31
25-041-22419-00-00,11/30/2018 12:00:00 AM,Eagle,4356,0,107,0,30
25-041-22419-00-00,10/31/2018 12:00:00 AM,Eagle,4356,0,114,0,31
25-041-22419-00-00,9/30/2018 12:00:00 AM,Eagle,4356,0,114,0,30
25-041-22419-00-00,8/31/2018 12:00:00 AM,Eagle,4356,0,116,0,31
25-041-22419-00-00,7/31/2018 12:00:00 AM,Eagle,4356,0,115,0,31
25-041-22419-00-00,6/30/2018 12:00:00 AM,Eagle,4356,0,115,0,30
25-041-22419-00-00,5/31/2018 12:00:00 AM,Eagle,4356,0,113,0,31
25-041-22419-00-00,4/30/2018 12:00:00 AM,Eagle,4356,0,106,0,30
25-041-22419-00-00,3/31/2018 12:00:00 AM,Eagle,4356,0,106,0,30
25-041-22419-00-00,2/28/2018 12:00:00 AM,Eagle,4356,0,58,0,19
25-041-22419-00-00,1/31/2018 12:00:00 AM,Eagle,4356,0,113,0,31
25-041-22419-00-00,12/31/2017 12:00:00 AM,Eagle,4356,0,94,0,31
25-041-22419-00-00,11/30/2017 12:00:00 AM,Eagle,4356,0,104,0,27
25-041-22419-00-00,10/31/2017 12:00:00 AM,Eagle,4356,0,115,0,31
25-041-22419-00-00,9/30/2017 12:00:00 AM,Eagle,4356,0,113,0,30
25-041-22419-00-00,8/31/2017 12:00:00 AM,Eagle,4356,0,116,0,31
25-041-22419-00-00,7/31/2017 12:00:00 AM,Eagle,4356,0,119,0,31
25-041-22419-00-00,6/30/2017 12:00:00 AM,Eagle,4356,0,102,0,28
25-041-22419-00-00,5/31/2017 12:00:00 AM,Eagle,4356,0,100,0,31
25-041-22419-00-00,4/30/2017 12:00:00 AM,Eagle,4356,0,108,0,30
25-041-22419-00-00,3/31/2017 12:00:00 AM,Eagle,4356,0,119,0,30
