API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22830-00-00,7/31/2025 12:00:00 AM,Bakken,8353,334,1186,63,31
25-083-22830-00-00,5/31/2025 12:00:00 AM,Bakken,8353,398,1459,97,31
25-083-22830-00-00,4/30/2025 12:00:00 AM,Bakken,8353,339,939,85,30
25-083-22830-00-00,3/31/2025 12:00:00 AM,Bakken,8353,340,1026,77,31
25-083-22830-00-00,2/28/2025 12:00:00 AM,Bakken,8353,352,957,63,28
25-083-22830-00-00,1/31/2025 12:00:00 AM,Bakken,8353,393,1066,63,31
25-083-22830-00-00,12/31/2024 12:00:00 AM,Bakken,8353,415,1149,87,31
25-083-22830-00-00,11/30/2024 12:00:00 AM,Bakken,8353,375,1140,104,30
25-083-22830-00-00,10/31/2024 12:00:00 AM,Bakken,8353,427,1147,92,31
25-083-22830-00-00,9/30/2024 12:00:00 AM,Bakken,8353,438,1269,95,30
25-083-22830-00-00,8/31/2024 12:00:00 AM,Bakken,8353,459,1456,110,31
25-083-22830-00-00,7/31/2024 12:00:00 AM,Bakken,8353,344,1017,68,30
25-083-22830-00-00,6/30/2024 12:00:00 AM,Bakken,8353,390,1256,88,30
25-083-22830-00-00,5/31/2024 12:00:00 AM,Bakken,8353,406,1232,85,31
25-083-22830-00-00,4/30/2024 12:00:00 AM,Bakken,8353,400,1180,61,30
25-083-22830-00-00,3/31/2024 12:00:00 AM,Bakken,8353,398,1206,106,31
25-083-22830-00-00,2/29/2024 12:00:00 AM,Bakken,8353,390,1256,75,29
25-083-22830-00-00,1/31/2024 12:00:00 AM,Bakken,8353,383,1304,73,29
25-083-22830-00-00,12/31/2023 12:00:00 AM,Bakken,8353,403,1346,77,31
25-083-22830-00-00,11/30/2023 12:00:00 AM,Bakken,8353,378,1256,78,30
25-083-22830-00-00,10/31/2023 12:00:00 AM,Bakken,8353,404,1334,85,31
25-083-22830-00-00,9/30/2023 12:00:00 AM,Bakken,8353,377,1259,83,30
25-083-22830-00-00,8/31/2023 12:00:00 AM,Bakken,8353,401,1318,88,31
25-083-22830-00-00,7/31/2023 12:00:00 AM,Bakken,8353,418,1220,83,31
25-083-22830-00-00,6/30/2023 12:00:00 AM,Bakken,8353,419,1233,85,30
25-083-22830-00-00,5/31/2023 12:00:00 AM,Bakken,8353,471,1289,135,31
25-083-22830-00-00,4/30/2023 12:00:00 AM,Bakken,8353,527,1124,110,30
25-083-22830-00-00,3/31/2023 12:00:00 AM,Bakken,8353,491,908,60,30
25-083-22830-00-00,2/28/2023 12:00:00 AM,Bakken,8353,276,709,53,18
25-083-22830-00-00,1/31/2023 12:00:00 AM,Bakken,8353,510,1305,86,31
25-083-22830-00-00,12/31/2022 12:00:00 AM,Bakken,8353,490,1316,102,31
25-083-22830-00-00,11/30/2022 12:00:00 AM,Bakken,8353,554,1204,108,30
25-083-22830-00-00,10/31/2022 12:00:00 AM,Bakken,8353,586,1318,68,31
25-083-22830-00-00,9/30/2022 12:00:00 AM,Bakken,8353,493,1282,127,30
25-083-22830-00-00,8/31/2022 12:00:00 AM,Bakken,8353,661,1483,154,31
25-083-22830-00-00,7/31/2022 12:00:00 AM,Bakken,8353,485,1205,120,28
25-083-22830-00-00,6/30/2022 12:00:00 AM,Bakken,8353,717,280,62,30
25-083-22830-00-00,5/31/2022 12:00:00 AM,Bakken,8353,447,1270,155,31
25-083-22830-00-00,4/30/2022 12:00:00 AM,Bakken,8353,748,1177,107,30
25-083-22830-00-00,3/31/2022 12:00:00 AM,Bakken,8353,817,1413,154,31
25-083-22830-00-00,2/28/2022 12:00:00 AM,Bakken,8353,881,1383,154,28
25-083-22830-00-00,1/31/2022 12:00:00 AM,Bakken,8353,1564,289,306,31
25-083-22830-00-00,12/31/2021 12:00:00 AM,Bakken,8353,484,243,150,26
25-083-22830-00-00,11/30/2021 12:00:00 AM,Bakken,8353,0,0,0,0
25-083-22830-00-00,10/31/2021 12:00:00 AM,Bakken,8353,0,0,0,0
25-083-22830-00-00,9/30/2021 12:00:00 AM,Bakken,8353,0,0,0,0
25-083-22830-00-00,8/31/2021 12:00:00 AM,Bakken,8353,0,0,0,0
25-083-22830-00-00,7/31/2021 12:00:00 AM,Bakken,8353,0,0,0,0
