API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22433-00-00,7/31/2025 12:00:00 AM,Bakken,7471,97,68,121,31
25-083-22433-00-00,6/30/2025 12:00:00 AM,Bakken,7471,116,32,159,30
25-083-22433-00-00,5/31/2025 12:00:00 AM,Bakken,7471,117,61,146,31
25-083-22433-00-00,4/30/2025 12:00:00 AM,Bakken,7471,115,77,167,30
25-083-22433-00-00,3/31/2025 12:00:00 AM,Bakken,7471,134,82,153,31
25-083-22433-00-00,2/28/2025 12:00:00 AM,Bakken,7471,80,60,72,22
25-083-22433-00-00,1/31/2025 12:00:00 AM,Bakken,7471,119,79,135,31
25-083-22433-00-00,12/31/2024 12:00:00 AM,Bakken,7471,120,91,154,31
25-083-22433-00-00,11/30/2024 12:00:00 AM,Bakken,7471,119,86,137,30
25-083-22433-00-00,10/31/2024 12:00:00 AM,Bakken,7471,125,97,170,31
25-083-22433-00-00,9/30/2024 12:00:00 AM,Bakken,7471,92,59,190,30
25-083-22433-00-00,8/31/2024 12:00:00 AM,Bakken,7471,189,104,170,31
25-083-22433-00-00,7/31/2024 12:00:00 AM,Bakken,7471,71,111,137,31
25-083-22433-00-00,6/30/2024 12:00:00 AM,Bakken,7471,111,96,122,30
25-083-22433-00-00,5/31/2024 12:00:00 AM,Bakken,7471,120,103,150,31
25-083-22433-00-00,4/30/2024 12:00:00 AM,Bakken,7471,134,118,139,30
25-083-22433-00-00,3/31/2024 12:00:00 AM,Bakken,7471,108,94,150,31
25-083-22433-00-00,2/29/2024 12:00:00 AM,Bakken,7471,119,95,143,29
25-083-22433-00-00,1/31/2024 12:00:00 AM,Bakken,7471,115,72,129,27
25-083-22433-00-00,12/31/2023 12:00:00 AM,Bakken,7471,127,117,135,31
25-083-22433-00-00,11/30/2023 12:00:00 AM,Bakken,7471,150,145,181,30
25-083-22433-00-00,10/31/2023 12:00:00 AM,Bakken,7471,102,137,112,31
25-083-22433-00-00,9/30/2023 12:00:00 AM,Bakken,7471,110,103,145,30
25-083-22433-00-00,8/31/2023 12:00:00 AM,Bakken,7471,134,133,165,31
25-083-22433-00-00,7/31/2023 12:00:00 AM,Bakken,7471,116,137,132,30
25-083-22433-00-00,6/30/2023 12:00:00 AM,Bakken,7471,125,116,147,30
25-083-22433-00-00,5/31/2023 12:00:00 AM,Bakken,7471,130,121,148,30
25-083-22433-00-00,4/30/2023 12:00:00 AM,Bakken,7471,126,127,158,30
25-083-22433-00-00,3/31/2023 12:00:00 AM,Bakken,7471,114,117,139,31
25-083-22433-00-00,2/28/2023 12:00:00 AM,Bakken,7471,143,137,150,28
25-083-22433-00-00,1/31/2023 12:00:00 AM,Bakken,7471,166,153,160,31
25-083-22433-00-00,12/31/2022 12:00:00 AM,Bakken,7471,73,78,108,24
25-083-22433-00-00,11/30/2022 12:00:00 AM,Bakken,7471,119,104,152,29
25-083-22433-00-00,10/31/2022 12:00:00 AM,Bakken,7471,125,129,142,31
25-083-22433-00-00,9/30/2022 12:00:00 AM,Bakken,7471,138,146,158,30
25-083-22433-00-00,8/31/2022 12:00:00 AM,Bakken,7471,130,126,167,31
25-083-22433-00-00,7/31/2022 12:00:00 AM,Bakken,7471,143,140,176,31
25-083-22433-00-00,6/30/2022 12:00:00 AM,Bakken,7471,141,118,149,30
