API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22635-00-00,7/31/2025 12:00:00 AM,Bakken,7680,190,417,57,31
25-083-22635-00-00,6/30/2025 12:00:00 AM,Bakken,7680,194,424,43,30
25-083-22635-00-00,5/31/2025 12:00:00 AM,Bakken,7680,160,408,40,31
25-083-22635-00-00,4/30/2025 12:00:00 AM,Bakken,7680,174,434,45,30
25-083-22635-00-00,3/31/2025 12:00:00 AM,Bakken,7680,203,468,42,31
25-083-22635-00-00,2/28/2025 12:00:00 AM,Bakken,7680,170,369,43,28
25-083-22635-00-00,1/31/2025 12:00:00 AM,Bakken,7680,193,448,50,31
25-083-22635-00-00,12/31/2024 12:00:00 AM,Bakken,7680,196,455,37,31
25-083-22635-00-00,11/30/2024 12:00:00 AM,Bakken,7680,194,439,54,30
25-083-22635-00-00,10/31/2024 12:00:00 AM,Bakken,7680,223,446,47,31
25-083-22635-00-00,9/30/2024 12:00:00 AM,Bakken,7680,197,433,35,30
25-083-22635-00-00,8/31/2024 12:00:00 AM,Bakken,7680,215,485,65,31
25-083-22635-00-00,7/31/2024 12:00:00 AM,Bakken,7680,226,463,69,31
25-083-22635-00-00,6/30/2024 12:00:00 AM,Bakken,7680,220,456,48,30
25-083-22635-00-00,5/31/2024 12:00:00 AM,Bakken,7680,220,484,59,31
25-083-22635-00-00,4/30/2024 12:00:00 AM,Bakken,7680,248,480,59,30
25-083-22635-00-00,3/31/2024 12:00:00 AM,Bakken,7680,249,491,58,31
25-083-22635-00-00,2/29/2024 12:00:00 AM,Bakken,7680,236,485,56,29
25-083-22635-00-00,1/31/2024 12:00:00 AM,Bakken,7680,261,488,61,31
25-083-22635-00-00,12/31/2023 12:00:00 AM,Bakken,7680,262,689,56,31
25-083-22635-00-00,11/30/2023 12:00:00 AM,Bakken,7680,268,705,39,30
25-083-22635-00-00,10/31/2023 12:00:00 AM,Bakken,7680,271,728,59,31
25-083-22635-00-00,9/30/2023 12:00:00 AM,Bakken,7680,253,686,54,30
25-083-22635-00-00,8/31/2023 12:00:00 AM,Bakken,7680,269,735,62,31
25-083-22635-00-00,7/31/2023 12:00:00 AM,Bakken,7680,283,748,68,31
25-083-22635-00-00,6/30/2023 12:00:00 AM,Bakken,7680,283,745,65,30
25-083-22635-00-00,5/31/2023 12:00:00 AM,Bakken,7680,300,780,75,31
25-083-22635-00-00,4/30/2023 12:00:00 AM,Bakken,7680,323,840,82,30
25-083-22635-00-00,3/31/2023 12:00:00 AM,Bakken,7680,323,876,96,31
25-083-22635-00-00,2/28/2023 12:00:00 AM,Bakken,7680,318,912,109,28
25-083-22635-00-00,1/31/2023 12:00:00 AM,Bakken,7680,347,1197,160,31
25-083-22635-00-00,12/31/2022 12:00:00 AM,Bakken,7680,0,18,0,4
25-083-22635-00-00,11/30/2022 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,10/31/2022 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,9/30/2022 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,8/31/2022 12:00:00 AM,Bakken,7680,0,43,0,29
25-083-22635-00-00,7/31/2022 12:00:00 AM,Bakken,7680,0,55,0,29
25-083-22635-00-00,6/30/2022 12:00:00 AM,Bakken,7680,0,56,0,29
25-083-22635-00-00,5/31/2022 12:00:00 AM,Bakken,7680,0,29,0,14
25-083-22635-00-00,4/30/2022 12:00:00 AM,Bakken,7680,0,52,0,27
25-083-22635-00-00,3/31/2022 12:00:00 AM,Bakken,7680,0,138,80,30
25-083-22635-00-00,2/28/2022 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,1/31/2022 12:00:00 AM,Bakken,7680,0,67,0,3
25-083-22635-00-00,12/31/2021 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,11/30/2021 12:00:00 AM,Bakken,7680,0,79,0,0
25-083-22635-00-00,10/31/2021 12:00:00 AM,Bakken,7680,0,86,0,1
25-083-22635-00-00,9/30/2021 12:00:00 AM,Bakken,7680,0,99,0,0
25-083-22635-00-00,8/31/2021 12:00:00 AM,Bakken,7680,0,101,0,1
25-083-22635-00-00,7/31/2021 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,6/30/2021 12:00:00 AM,Bakken,7680,0,124,0,1
25-083-22635-00-00,5/31/2021 12:00:00 AM,Bakken,7680,0,122,2,1
25-083-22635-00-00,4/30/2021 12:00:00 AM,Bakken,7680,0,107,0,1
25-083-22635-00-00,3/31/2021 12:00:00 AM,Bakken,7680,0,0,0,0
25-083-22635-00-00,2/28/2021 12:00:00 AM,Bakken,7680,69,190,15,10
25-083-22635-00-00,1/31/2021 12:00:00 AM,Bakken,7680,228,593,65,31
25-083-22635-00-00,12/31/2020 12:00:00 AM,Bakken,7680,204,535,55,31
25-083-22635-00-00,11/30/2020 12:00:00 AM,Bakken,7680,207,538,64,30
25-083-22635-00-00,10/31/2020 12:00:00 AM,Bakken,7680,189,536,62,31
25-083-22635-00-00,9/30/2020 12:00:00 AM,Bakken,7680,196,521,59,30
25-083-22635-00-00,8/31/2020 12:00:00 AM,Bakken,7680,203,548,67,31
25-083-22635-00-00,7/31/2020 12:00:00 AM,Bakken,7680,229,600,59,31
25-083-22635-00-00,6/30/2020 12:00:00 AM,Bakken,7680,48,124,0,30
25-083-22635-00-00,5/31/2020 12:00:00 AM,Bakken,7680,5,13,2,31
25-083-22635-00-00,4/30/2020 12:00:00 AM,Bakken,7680,212,551,59,30
25-083-22635-00-00,3/31/2020 12:00:00 AM,Bakken,7680,194,531,50,31
25-083-22635-00-00,2/29/2020 12:00:00 AM,Bakken,7680,187,495,52,29
25-083-22635-00-00,1/31/2020 12:00:00 AM,Bakken,7680,217,564,50,31
25-083-22635-00-00,12/31/2019 12:00:00 AM,Bakken,7680,217,572,58,31
25-083-22635-00-00,11/30/2019 12:00:00 AM,Bakken,7680,198,528,40,30
25-083-22635-00-00,10/31/2019 12:00:00 AM,Bakken,7680,212,574,68,31
25-083-22635-00-00,9/30/2019 12:00:00 AM,Bakken,7680,188,548,35,30
25-083-22635-00-00,8/31/2019 12:00:00 AM,Bakken,7680,200,582,70,31
25-083-22635-00-00,7/31/2019 12:00:00 AM,Bakken,7680,161,532,57,31
25-083-22635-00-00,6/30/2019 12:00:00 AM,Bakken,7680,168,486,58,30
25-083-22635-00-00,5/31/2019 12:00:00 AM,Bakken,7680,148,413,55,31
25-083-22635-00-00,4/30/2019 12:00:00 AM,Bakken,7680,174,514,45,30
25-083-22635-00-00,3/31/2019 12:00:00 AM,Bakken,7680,267,694,64,31
25-083-22635-00-00,2/28/2019 12:00:00 AM,Bakken,7680,200,520,57,28
25-083-22635-00-00,1/31/2019 12:00:00 AM,Bakken,7680,230,612,65,31
25-083-22635-00-00,12/31/2018 12:00:00 AM,Bakken,7680,227,543,67,31
25-083-22635-00-00,11/30/2018 12:00:00 AM,Bakken,7680,240,543,68,30
25-083-22635-00-00,10/31/2018 12:00:00 AM,Bakken,7680,223,505,58,31
25-083-22635-00-00,9/30/2018 12:00:00 AM,Bakken,7680,199,518,65,30
25-083-22635-00-00,8/31/2018 12:00:00 AM,Bakken,7680,200,530,58,31
25-083-22635-00-00,7/31/2018 12:00:00 AM,Bakken,7680,214,469,60,31
25-083-22635-00-00,6/30/2018 12:00:00 AM,Bakken,7680,260,719,77,30
25-083-22635-00-00,5/31/2018 12:00:00 AM,Bakken,7680,232,512,65,31
25-083-22635-00-00,4/30/2018 12:00:00 AM,Bakken,7680,283,778,72,30
25-083-22635-00-00,3/31/2018 12:00:00 AM,Bakken,7680,288,767,69,31
25-083-22635-00-00,2/28/2018 12:00:00 AM,Bakken,7680,292,716,64,28
25-083-22635-00-00,1/31/2018 12:00:00 AM,Bakken,7680,315,736,81,31
25-083-22635-00-00,12/31/2017 12:00:00 AM,Bakken,7680,277,597,65,31
25-083-22635-00-00,11/30/2017 12:00:00 AM,Bakken,7680,278,599,59,30
25-083-22635-00-00,10/31/2017 12:00:00 AM,Bakken,7680,267,643,114,31
25-083-22635-00-00,9/30/2017 12:00:00 AM,Bakken,7680,270,638,67,30
25-083-22635-00-00,8/31/2017 12:00:00 AM,Bakken,7680,285,704,70,31
25-083-22635-00-00,7/31/2017 12:00:00 AM,Bakken,7680,281,733,72,31
25-083-22635-00-00,6/30/2017 12:00:00 AM,Bakken,7680,278,683,62,30
25-083-22635-00-00,5/31/2017 12:00:00 AM,Bakken,7680,295,737,74,31
25-083-22635-00-00,4/30/2017 12:00:00 AM,Bakken,7680,312,546,77,30
25-083-22635-00-00,3/31/2017 12:00:00 AM,Bakken,7680,317,718,80,31
25-083-22635-00-00,2/28/2017 12:00:00 AM,Bakken,7680,304,691,65,28
25-083-22635-00-00,1/31/2017 12:00:00 AM,Bakken,7680,348,746,75,31
25-083-22635-00-00,12/31/2016 12:00:00 AM,Bakken,7680,339,757,75,31
25-083-22635-00-00,11/30/2016 12:00:00 AM,Bakken,7680,356,777,79,30
25-083-22635-00-00,10/31/2016 12:00:00 AM,Bakken,7680,328,752,79,31
25-083-22635-00-00,9/30/2016 12:00:00 AM,Bakken,7680,344,821,77,30
25-083-22635-00-00,8/31/2016 12:00:00 AM,Bakken,7680,385,362,85,31
25-083-22635-00-00,7/31/2016 12:00:00 AM,Bakken,7680,388,879,87,31
25-083-22635-00-00,6/30/2016 12:00:00 AM,Bakken,7680,322,839,77,30
25-083-22635-00-00,5/31/2016 12:00:00 AM,Bakken,7680,455,1079,115,31
25-083-22635-00-00,4/30/2016 12:00:00 AM,Bakken,7680,410,777,108,30
25-083-22635-00-00,3/31/2016 12:00:00 AM,Bakken,7680,121,150,27,31
25-083-22635-00-00,2/29/2016 12:00:00 AM,Bakken,7680,110,212,33,29
25-083-22635-00-00,1/31/2016 12:00:00 AM,Bakken,7680,248,340,13,31
25-083-22635-00-00,12/31/2015 12:00:00 AM,Bakken,7680,0,63,0,31
25-083-22635-00-00,11/30/2015 12:00:00 AM,Bakken,7680,163,409,66,30
25-083-22635-00-00,10/31/2015 12:00:00 AM,Bakken,7680,421,298,85,31
25-083-22635-00-00,9/30/2015 12:00:00 AM,Bakken,7680,485,0,121,30
25-083-22635-00-00,8/31/2015 12:00:00 AM,Bakken,7680,492,663,167,31
25-083-22635-00-00,7/31/2015 12:00:00 AM,Bakken,7680,105,172,0,31
25-083-22635-00-00,6/30/2015 12:00:00 AM,Bakken,7680,0,25,0,30
25-083-22635-00-00,5/31/2015 12:00:00 AM,Bakken,7680,0,56,0,31
25-083-22635-00-00,4/30/2015 12:00:00 AM,Bakken,7680,0,21,0,30
25-083-22635-00-00,3/31/2015 12:00:00 AM,Bakken,7680,0,62,0,31
25-083-22635-00-00,2/28/2015 12:00:00 AM,Bakken,7680,10,81,3,28
25-083-22635-00-00,1/31/2015 12:00:00 AM,Bakken,7680,149,166,43,31
25-083-22635-00-00,12/31/2014 12:00:00 AM,Bakken,7680,308,769,49,31
25-083-22635-00-00,11/30/2014 12:00:00 AM,Bakken,7680,323,699,27,30
25-083-22635-00-00,10/31/2014 12:00:00 AM,Bakken,7680,257,587,57,31
25-083-22635-00-00,9/30/2014 12:00:00 AM,Bakken,7680,235,479,59,30
25-083-22635-00-00,8/31/2014 12:00:00 AM,Bakken,7680,213,542,65,31
25-083-22635-00-00,7/31/2014 12:00:00 AM,Bakken,7680,232,542,77,31
25-083-22635-00-00,6/30/2014 12:00:00 AM,Bakken,7680,263,544,63,30
25-083-22635-00-00,5/31/2014 12:00:00 AM,Bakken,7680,292,550,52,31
25-083-22635-00-00,4/30/2014 12:00:00 AM,Bakken,7680,232,537,89,30
25-083-22635-00-00,3/31/2014 12:00:00 AM,Bakken,7680,279,548,68,31
25-083-22635-00-00,2/28/2014 12:00:00 AM,Bakken,7680,239,517,60,28
25-083-22635-00-00,1/31/2014 12:00:00 AM,Bakken,7680,280,677,89,31
25-083-22635-00-00,12/31/2013 12:00:00 AM,Bakken,7680,320,718,86,31
25-083-22635-00-00,11/30/2013 12:00:00 AM,Bakken,7680,333,769,92,30
25-083-22635-00-00,10/31/2013 12:00:00 AM,Bakken,7680,196,399,40,31
25-083-22635-00-00,9/30/2013 12:00:00 AM,Bakken,7680,298,778,77,30
25-083-22635-00-00,8/31/2013 12:00:00 AM,Bakken,7680,360,838,99,31
25-083-22635-00-00,7/31/2013 12:00:00 AM,Bakken,7680,372,890,97,31
25-083-22635-00-00,6/30/2013 12:00:00 AM,Bakken,7680,445,903,90,30
25-083-22635-00-00,5/31/2013 12:00:00 AM,Bakken,7680,159,313,145,31
25-083-22635-00-00,4/30/2013 12:00:00 AM,Bakken,7680,210,464,62,30
25-083-22635-00-00,3/31/2013 12:00:00 AM,Bakken,7680,415,839,112,31
25-083-22635-00-00,2/28/2013 12:00:00 AM,Bakken,7680,351,700,115,28
25-083-22635-00-00,1/31/2013 12:00:00 AM,Bakken,7680,376,866,87,31
25-083-22635-00-00,12/31/2012 12:00:00 AM,Bakken,7680,403,898,90,31
25-083-22635-00-00,11/30/2012 12:00:00 AM,Bakken,7680,388,887,83,30
25-083-22635-00-00,10/31/2012 12:00:00 AM,Bakken,7680,382,902,77,31
25-083-22635-00-00,9/30/2012 12:00:00 AM,Bakken,7680,400,958,82,30
25-083-22635-00-00,8/31/2012 12:00:00 AM,Bakken,7680,392,1052,80,31
25-083-22635-00-00,7/31/2012 12:00:00 AM,Bakken,7680,418,1053,90,31
25-083-22635-00-00,6/30/2012 12:00:00 AM,Bakken,7680,367,906,75,30
25-083-22635-00-00,5/31/2012 12:00:00 AM,Bakken,7680,424,1033,83,31
25-083-22635-00-00,4/30/2012 12:00:00 AM,Bakken,7680,415,1011,85,30
25-083-22635-00-00,3/31/2012 12:00:00 AM,Bakken,7680,432,1064,95,31
25-083-22635-00-00,2/29/2012 12:00:00 AM,Bakken,7680,429,1016,64,29
25-083-22635-00-00,1/31/2012 12:00:00 AM,Bakken,7680,487,1131,87,31
25-083-22635-00-00,12/31/2011 12:00:00 AM,Bakken,7680,481,1123,127,31
