API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23427-00-00,7/31/2025 12:00:00 AM,Bakken,9026,2112,1504,6321,31
25-083-23427-00-00,6/30/2025 12:00:00 AM,Bakken,9026,1956,1053,7505,30
25-083-23427-00-00,5/31/2025 12:00:00 AM,Bakken,9026,2214,1348,7698,31
25-083-23427-00-00,4/30/2025 12:00:00 AM,Bakken,9026,1773,1020,4323,23
25-083-23427-00-00,3/31/2025 12:00:00 AM,Bakken,9026,2311,1476,7169,31
25-083-23427-00-00,2/28/2025 12:00:00 AM,Bakken,9026,1656,640,6702,27
25-083-23427-00-00,1/31/2025 12:00:00 AM,Bakken,9026,1860,858,7111,31
25-083-23427-00-00,12/31/2024 12:00:00 AM,Bakken,9026,2004,1064,7635,31
25-083-23427-00-00,11/30/2024 12:00:00 AM,Bakken,9026,2400,1079,8311,30
25-083-23427-00-00,10/31/2024 12:00:00 AM,Bakken,9026,1716,638,7396,27
25-083-23427-00-00,9/30/2024 12:00:00 AM,Bakken,9026,2741,1632,8722,30
25-083-23427-00-00,8/31/2024 12:00:00 AM,Bakken,9026,1718,1843,6880,22
25-083-23427-00-00,7/31/2024 12:00:00 AM,Bakken,9026,3561,6848,10517,29
25-083-23427-00-00,6/30/2024 12:00:00 AM,Bakken,9026,4874,9009,12805,30
25-083-23427-00-00,5/31/2024 12:00:00 AM,Bakken,9026,7098,11799,14935,31
25-083-23427-00-00,4/30/2024 12:00:00 AM,Bakken,9026,6403,6277,12024,18
25-083-23427-00-00,3/31/2024 12:00:00 AM,Bakken,9026,8297,9826,16920,30
25-083-23427-00-00,2/29/2024 12:00:00 AM,Bakken,9026,6069,8105,13082,29
25-083-23427-00-00,1/31/2024 12:00:00 AM,Bakken,9026,9108,13684,14798,27
25-083-23427-00-00,12/31/2023 12:00:00 AM,Bakken,9026,13720,18963,20615,31
25-083-23427-00-00,11/30/2023 12:00:00 AM,Bakken,9026,10774,9716,16412,24
25-083-23427-00-00,10/31/2023 12:00:00 AM,Bakken,9026,5488,3229,14983,27
25-083-23427-00-00,9/30/2023 12:00:00 AM,Bakken,9026,7207,4341,18464,30
25-083-23427-00-00,8/31/2023 12:00:00 AM,Bakken,9026,6114,3428,16764,29
25-083-23427-00-00,7/31/2023 12:00:00 AM,Bakken,9026,9301,6021,18619,31
25-083-23427-00-00,6/30/2023 12:00:00 AM,Bakken,9026,10715,7146,23491,30
25-083-23427-00-00,5/31/2023 12:00:00 AM,Bakken,9026,11490,7532,26708,29
25-083-23427-00-00,4/30/2023 12:00:00 AM,Bakken,9026,10363,5303,28743,30
25-083-23427-00-00,3/31/2023 12:00:00 AM,Bakken,9026,15053,8295,39373,31
25-083-23427-00-00,2/28/2023 12:00:00 AM,Bakken,9026,17443,11103,41017,28
25-083-23427-00-00,1/31/2023 12:00:00 AM,Bakken,9026,10568,7497,24613,14
25-083-23427-00-00,12/31/2022 12:00:00 AM,Bakken,9026,19501,17666,51682,29
25-083-23427-00-00,11/30/2022 12:00:00 AM,Bakken,9026,21687,24218,61363,13
