API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-24089-00-00,6/30/2025 12:00:00 AM,Dakota,4281,0,203,0,30
25-101-24089-00-00,5/31/2025 12:00:00 AM,Dakota,4281,0,174,0,31
25-101-24089-00-00,4/30/2025 12:00:00 AM,Dakota,4281,0,214,0,30
25-101-24089-00-00,3/31/2025 12:00:00 AM,Dakota,4281,0,218,0,31
25-101-24089-00-00,2/28/2025 12:00:00 AM,Dakota,4281,0,76,0,28
25-101-24089-00-00,1/31/2025 12:00:00 AM,Dakota,4281,0,100,0,31
25-101-24089-00-00,12/31/2024 12:00:00 AM,Dakota,4281,0,182,0,31
25-101-24089-00-00,11/30/2024 12:00:00 AM,Dakota,4281,0,178,0,30
25-101-24089-00-00,10/31/2024 12:00:00 AM,Dakota,4281,0,227,0,31
25-101-24089-00-00,9/30/2024 12:00:00 AM,Dakota,4281,0,180,0,30
25-101-24089-00-00,8/31/2024 12:00:00 AM,Dakota,4281,0,209,0,31
25-101-24089-00-00,7/31/2024 12:00:00 AM,Dakota,4281,0,202,0,31
25-101-24089-00-00,6/30/2024 12:00:00 AM,Dakota,4281,0,201,0,30
25-101-24089-00-00,5/31/2024 12:00:00 AM,Dakota,4281,0,61,0,31
25-101-24089-00-00,4/30/2024 12:00:00 AM,Dakota,4281,0,184,0,30
25-101-24089-00-00,3/31/2024 12:00:00 AM,Dakota,4281,0,241,0,31
25-101-24089-00-00,2/29/2024 12:00:00 AM,Dakota,4281,0,204,0,29
25-101-24089-00-00,1/31/2024 12:00:00 AM,Dakota,4281,0,82,0,31
25-101-24089-00-00,12/31/2023 12:00:00 AM,Dakota,4281,0,127,0,31
25-101-24089-00-00,11/30/2023 12:00:00 AM,Dakota,4281,0,150,0,30
25-101-24089-00-00,10/31/2023 12:00:00 AM,Dakota,4281,0,127,0,31
25-101-24089-00-00,9/30/2023 12:00:00 AM,Dakota,4281,0,128,0,30
25-101-24089-00-00,8/31/2023 12:00:00 AM,Dakota,4281,0,130,0,31
25-101-24089-00-00,7/31/2023 12:00:00 AM,Dakota,4281,0,51,0,31
25-101-24089-00-00,6/30/2023 12:00:00 AM,Dakota,4281,0,121,0,30
25-101-24089-00-00,5/31/2023 12:00:00 AM,Dakota,4281,0,0,0,31
25-101-24089-00-00,4/30/2023 12:00:00 AM,Dakota,4281,0,165,0,30
25-101-24089-00-00,3/31/2023 12:00:00 AM,Dakota,4281,0,163,0,31
25-101-24089-00-00,2/28/2023 12:00:00 AM,Dakota,4281,0,173,0,28
25-101-24089-00-00,1/31/2023 12:00:00 AM,Dakota,4281,0,177,0,31
25-101-24089-00-00,12/31/2022 12:00:00 AM,Dakota,4281,0,148,0,31
25-101-24089-00-00,11/30/2022 12:00:00 AM,Dakota,4281,0,242,0,30
25-101-24089-00-00,10/31/2022 12:00:00 AM,Dakota,4281,0,213,0,31
25-101-24089-00-00,9/30/2022 12:00:00 AM,Dakota,4281,0,197,0,30
25-101-24089-00-00,8/31/2022 12:00:00 AM,Dakota,4281,0,95,0,31
25-101-24089-00-00,7/31/2022 12:00:00 AM,Dakota,4281,0,163,0,31
25-101-24089-00-00,6/30/2022 12:00:00 AM,Dakota,4281,0,203,0,30
25-101-24089-00-00,5/31/2022 12:00:00 AM,Dakota,4281,0,196,0,31
25-101-24089-00-00,4/30/2022 12:00:00 AM,Dakota,4281,0,174,0,30
