API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-05065-00-00,6/30/1988 12:00:00 AM,Ratcliffe,357,6,0,843,1
25-091-05065-00-00,5/31/1988 12:00:00 AM,Ratcliffe,357,0,0,6132,28
25-091-05065-00-00,4/30/1988 12:00:00 AM,Ratcliffe,357,0,0,4491,22
25-091-05065-00-00,3/31/1988 12:00:00 AM,Ratcliffe,357,0,0,5203,26
25-091-05065-00-00,2/29/1988 12:00:00 AM,Ratcliffe,357,0,0,973,6
25-091-05065-00-00,1/31/1988 12:00:00 AM,Ratcliffe,357,0,0,580,4
25-091-05065-00-00,12/31/1987 12:00:00 AM,Ratcliffe,357,0,0,3569,16
25-091-05065-00-00,11/30/1987 12:00:00 AM,Ratcliffe,357,11,4,5523,26
25-091-05065-00-00,10/31/1987 12:00:00 AM,Ratcliffe,357,423,135,4325,30
25-091-05065-00-00,9/30/1987 12:00:00 AM,Ratcliffe,357,385,123,4270,30
25-091-05065-00-00,8/31/1987 12:00:00 AM,Ratcliffe,357,423,135,4347,31
25-091-05065-00-00,7/31/1987 12:00:00 AM,Ratcliffe,357,421,135,4340,31
25-091-05065-00-00,6/30/1987 12:00:00 AM,Ratcliffe,357,402,129,4204,30
25-091-05065-00-00,5/31/1987 12:00:00 AM,Ratcliffe,357,384,123,4226,30
25-091-05065-00-00,4/30/1987 12:00:00 AM,Ratcliffe,357,412,132,4331,30
25-091-05065-00-00,3/31/1987 12:00:00 AM,Ratcliffe,357,421,135,3956,31
25-091-05065-00-00,2/28/1987 12:00:00 AM,Ratcliffe,357,392,125,3985,28
25-091-05065-00-00,1/31/1987 12:00:00 AM,Ratcliffe,357,342,109,4282,30
25-091-05065-00-00,12/31/1986 12:00:00 AM,Ratcliffe,357,384,123,4454,31
25-091-05065-00-00,11/30/1986 12:00:00 AM,Ratcliffe,357,420,134,4340,30
25-091-05065-00-00,10/31/1986 12:00:00 AM,Ratcliffe,357,406,130,4502,31
25-091-05065-00-00,9/30/1986 12:00:00 AM,Ratcliffe,357,389,124,4408,30
25-091-05065-00-00,8/31/1986 12:00:00 AM,Ratcliffe,357,389,124,4408,31
25-091-05065-00-00,7/31/1986 12:00:00 AM,Ratcliffe,357,389,124,4241,31
25-091-05065-00-00,6/30/1986 12:00:00 AM,Ratcliffe,357,384,123,4296,30
25-091-05065-00-00,5/31/1986 12:00:00 AM,Ratcliffe,357,399,128,4433,18
25-091-05065-00-00,4/30/1986 12:00:00 AM,Ratcliffe,357,373,119,4523,30
25-091-05065-00-00,3/31/1986 12:00:00 AM,Ratcliffe,357,423,135,4586,31
25-091-05065-00-00,2/28/1986 12:00:00 AM,Ratcliffe,357,378,121,4227,28
25-091-05065-00-00,1/31/1986 12:00:00 AM,Ratcliffe,357,401,128,4680,31
