API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-21153-00-00,11/30/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,10/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,9/30/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,8/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,7/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,6/30/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,5/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,4/30/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,3/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,2/28/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,1/31/2017 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,12/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,11/30/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,10/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,9/30/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,8/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,7/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,6/30/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,5/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,4/30/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,3/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,2/29/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,1/31/2016 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,12/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,11/30/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,10/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,9/30/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,8/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,7/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,6/30/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,5/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,4/30/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,3/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,2/28/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,1/31/2015 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,12/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,11/30/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,10/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,9/30/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,8/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,7/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,6/30/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,5/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,4/30/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,3/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,2/28/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,1/31/2014 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,12/31/2013 12:00:00 AM,Cut Bank,2327,53,0,217,31
25-035-21153-00-00,11/30/2013 12:00:00 AM,Cut Bank,2327,57,0,240,30
25-035-21153-00-00,10/31/2013 12:00:00 AM,Cut Bank,2327,63,0,221,31
25-035-21153-00-00,9/30/2013 12:00:00 AM,Cut Bank,2327,80,0,250,30
25-035-21153-00-00,8/31/2013 12:00:00 AM,Cut Bank,2327,39,0,231,31
25-035-21153-00-00,7/31/2013 12:00:00 AM,Cut Bank,2327,59,0,341,31
25-035-21153-00-00,6/30/2013 12:00:00 AM,Cut Bank,2327,62,0,310,30
25-035-21153-00-00,5/31/2013 12:00:00 AM,Cut Bank,2327,37,0,269,31
25-035-21153-00-00,4/30/2013 12:00:00 AM,Cut Bank,2327,57,0,283,30
25-035-21153-00-00,3/31/2013 12:00:00 AM,Cut Bank,2327,64,0,444,31
25-035-21153-00-00,2/28/2013 12:00:00 AM,Cut Bank,2327,65,0,415,28
25-035-21153-00-00,1/31/2013 12:00:00 AM,Cut Bank,2327,70,0,382,26
25-035-21153-00-00,12/31/2012 12:00:00 AM,Cut Bank,2327,65,0,228,31
25-035-21153-00-00,11/30/2012 12:00:00 AM,Cut Bank,2327,68,0,909,30
25-035-21153-00-00,10/31/2012 12:00:00 AM,Cut Bank,2327,86,0,535,23
25-035-21153-00-00,9/30/2012 12:00:00 AM,Cut Bank,2327,60,0,203,29
25-035-21153-00-00,8/31/2012 12:00:00 AM,Cut Bank,2327,78,0,0,31
25-035-21153-00-00,7/31/2012 12:00:00 AM,Cut Bank,2327,65,0,0,31
25-035-21153-00-00,6/30/2012 12:00:00 AM,Cut Bank,2327,87,0,307,30
25-035-21153-00-00,5/31/2012 12:00:00 AM,Cut Bank,2327,79,0,352,31
25-035-21153-00-00,4/30/2012 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,3/31/2012 12:00:00 AM,Cut Bank,2327,120,0,423,31
25-035-21153-00-00,2/29/2012 12:00:00 AM,Cut Bank,2327,89,0,369,29
25-035-21153-00-00,1/31/2012 12:00:00 AM,Cut Bank,2327,108,0,749,31
25-035-21153-00-00,12/31/2011 12:00:00 AM,Cut Bank,2327,1,0,0,31
25-035-21153-00-00,11/30/2011 12:00:00 AM,Cut Bank,2327,1,0,0,30
25-035-21153-00-00,10/31/2011 12:00:00 AM,Cut Bank,2327,1,0,0,18
25-035-21153-00-00,9/30/2011 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,8/31/2011 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,7/31/2011 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,6/30/2011 12:00:00 AM,Cut Bank,2327,83,0,516,30
25-035-21153-00-00,5/31/2011 12:00:00 AM,Cut Bank,2327,59,0,447,24
25-035-21153-00-00,4/30/2011 12:00:00 AM,Cut Bank,2327,73,0,418,20
25-035-21153-00-00,3/31/2011 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,2/28/2011 12:00:00 AM,Cut Bank,2327,0,0,0,0
25-035-21153-00-00,1/31/2011 12:00:00 AM,Cut Bank,2327,1,0,0,1
25-035-21153-00-00,12/31/2010 12:00:00 AM,Cut Bank,2327,71,0,489,31
25-035-21153-00-00,11/30/2010 12:00:00 AM,Cut Bank,2327,79,0,345,30
25-035-21153-00-00,10/31/2010 12:00:00 AM,Cut Bank,2327,100,0,472,31
25-035-21153-00-00,9/30/2010 12:00:00 AM,Cut Bank,2327,104,0,495,30
25-035-21153-00-00,8/31/2010 12:00:00 AM,Cut Bank,2327,105,0,452,31
25-035-21153-00-00,7/31/2010 12:00:00 AM,Cut Bank,2327,91,0,425,24
25-035-21153-00-00,6/30/2010 12:00:00 AM,Cut Bank,2327,78,0,415,24
25-035-21153-00-00,5/31/2010 12:00:00 AM,Cut Bank,2327,84,0,545,27
25-035-21153-00-00,4/30/2010 12:00:00 AM,Cut Bank,2327,85,0,464,26
25-035-21153-00-00,3/31/2010 12:00:00 AM,Cut Bank,2327,109,0,623,31
25-035-21153-00-00,2/28/2010 12:00:00 AM,Cut Bank,2327,104,0,587,26
25-035-21153-00-00,1/31/2010 12:00:00 AM,Cut Bank,2327,85,0,525,23
25-035-21153-00-00,12/31/2009 12:00:00 AM,Cut Bank,2327,86,0,514,25
25-035-21153-00-00,11/30/2009 12:00:00 AM,Cut Bank,2327,120,0,707,30
25-035-21153-00-00,10/31/2009 12:00:00 AM,Cut Bank,2327,106,0,649,31
25-035-21153-00-00,9/30/2009 12:00:00 AM,Cut Bank,2327,117,0,632,30
25-035-21153-00-00,8/31/2009 12:00:00 AM,Cut Bank,2327,79,0,488,21
25-035-21153-00-00,7/31/2009 12:00:00 AM,Cut Bank,2327,96,0,491,31
25-035-21153-00-00,6/30/2009 12:00:00 AM,Cut Bank,2327,111,0,459,30
25-035-21153-00-00,5/31/2009 12:00:00 AM,Cut Bank,2327,20,0,123,4
25-035-21153-00-00,4/30/2009 12:00:00 AM,Cut Bank,2327,105,0,570,30
25-035-21153-00-00,3/31/2009 12:00:00 AM,Cut Bank,2327,91,0,499,24
25-035-21153-00-00,2/28/2009 12:00:00 AM,Cut Bank,2327,124,0,694,28
25-035-21153-00-00,1/31/2009 12:00:00 AM,Cut Bank,2327,115,0,510,31
25-035-21153-00-00,12/31/2008 12:00:00 AM,Cut Bank,2327,115,0,0,31
25-035-21153-00-00,11/30/2008 12:00:00 AM,Cut Bank,2327,100,0,0,30
25-035-21153-00-00,10/31/2008 12:00:00 AM,Cut Bank,2327,150,0,10,31
25-035-21153-00-00,9/30/2008 12:00:00 AM,Cut Bank,2327,140,0,0,30
25-035-21153-00-00,8/31/2008 12:00:00 AM,Cut Bank,2327,63,0,0,31
