API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21639-00-00,1/31/1989 12:00:00 AM,Red River,3517,29,0,0,1
25-083-21639-00-00,10/31/1988 12:00:00 AM,Red River,3517,1,0,0,1
25-083-21639-00-00,6/30/1988 12:00:00 AM,Red River,3517,141,329,1550,11
25-083-21639-00-00,5/31/1988 12:00:00 AM,Red River,3517,390,864,4374,31
25-083-21639-00-00,4/30/1988 12:00:00 AM,Red River,3517,394,781,3653,27
25-083-21639-00-00,3/31/1988 12:00:00 AM,Red River,3517,391,934,4041,29
25-083-21639-00-00,2/29/1988 12:00:00 AM,Red River,3517,380,869,3857,27
25-083-21639-00-00,1/31/1988 12:00:00 AM,Red River,3517,235,587,2313,15
25-083-21639-00-00,12/31/1987 12:00:00 AM,Red River,3517,206,505,2638,18
25-083-21639-00-00,11/30/1987 12:00:00 AM,Red River,3517,474,864,4520,30
25-083-21639-00-00,10/31/1987 12:00:00 AM,Red River,3517,82,1020,4681,31
25-083-21639-00-00,9/30/1987 12:00:00 AM,Red River,3517,967,1022,4337,30
25-083-21639-00-00,8/31/1987 12:00:00 AM,Red River,3517,431,955,4232,24
25-083-21639-00-00,7/31/1987 12:00:00 AM,Red River,3517,265,506,2756,15
25-083-21639-00-00,6/30/1987 12:00:00 AM,Red River,3517,422,776,3916,24
25-083-21639-00-00,5/31/1987 12:00:00 AM,Red River,3517,519,1084,4576,28
25-083-21639-00-00,4/30/1987 12:00:00 AM,Red River,3517,433,728,3832,23
25-083-21639-00-00,3/31/1987 12:00:00 AM,Red River,3517,472,824,4470,26
25-083-21639-00-00,2/28/1987 12:00:00 AM,Red River,3517,8,30,219,1
25-083-21639-00-00,1/31/1987 12:00:00 AM,Red River,3517,24,116,766,4
25-083-21639-00-00,12/31/1986 12:00:00 AM,Red River,3517,59,112,568,4
25-083-21639-00-00,11/30/1986 12:00:00 AM,Red River,3517,11,152,377,18
25-083-21639-00-00,10/31/1986 12:00:00 AM,Red River,3517,138,323,1812,11
25-083-21639-00-00,9/30/1986 12:00:00 AM,Red River,3517,59,128,555,4
25-083-21639-00-00,8/31/1986 12:00:00 AM,Red River,3517,74,190,1139,6
25-083-21639-00-00,7/31/1986 12:00:00 AM,Red River,3517,74,181,1003,0
25-083-21639-00-00,6/30/1986 12:00:00 AM,Red River,3517,27,111,833,4
25-083-21639-00-00,5/31/1986 12:00:00 AM,Red River,3517,38,73,334,2
25-083-21639-00-00,4/30/1986 12:00:00 AM,Red River,3517,87,196,1257,7
25-083-21639-00-00,3/31/1986 12:00:00 AM,Red River,3517,209,400,1735,12
25-083-21639-00-00,2/28/1986 12:00:00 AM,Red River,3517,368,645,3156,21
25-083-21639-00-00,1/31/1986 12:00:00 AM,Red River,3517,534,650,3576,26
