API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-21575-00-00,7/31/2025 12:00:00 AM,Mission Canyon,365,17,0,3800,6
25-025-21575-00-00,6/30/2025 12:00:00 AM,Mission Canyon,365,0,0,0,0
25-025-21575-00-00,5/31/2025 12:00:00 AM,Mission Canyon,365,8,0,1398,3
25-025-21575-00-00,4/30/2025 12:00:00 AM,Mission Canyon,365,3,0,1433,2
25-025-21575-00-00,3/31/2025 12:00:00 AM,Mission Canyon,365,56,0,12721,21
25-025-21575-00-00,2/28/2025 12:00:00 AM,Mission Canyon,365,74,0,15832,28
25-025-21575-00-00,1/31/2025 12:00:00 AM,Mission Canyon,365,61,0,14478,22
25-025-21575-00-00,12/31/2024 12:00:00 AM,Mission Canyon,365,8,0,3226,3
25-025-21575-00-00,11/30/2024 12:00:00 AM,Mission Canyon,365,19,0,5260,7
25-025-21575-00-00,10/31/2024 12:00:00 AM,Mission Canyon,365,3,0,779,1
25-025-21575-00-00,9/30/2024 12:00:00 AM,Mission Canyon,365,26,0,1404,2
25-025-21575-00-00,8/31/2024 12:00:00 AM,Mission Canyon,365,0,0,0,0
25-025-21575-00-00,7/31/2024 12:00:00 AM,Mission Canyon,365,25,0,2150,2
25-025-21575-00-00,6/30/2024 12:00:00 AM,Mission Canyon,365,307,0,17163,25
25-025-21575-00-00,5/31/2024 12:00:00 AM,Mission Canyon,365,355,0,28632,31
25-025-21575-00-00,4/30/2024 12:00:00 AM,Mission Canyon,365,294,0,36052,30
25-025-21575-00-00,3/31/2024 12:00:00 AM,Mission Canyon,365,288,0,37925,31
25-025-21575-00-00,2/29/2024 12:00:00 AM,Mission Canyon,365,295,0,35127,29
25-025-21575-00-00,1/31/2024 12:00:00 AM,Mission Canyon,365,263,0,31469,28
25-025-21575-00-00,12/31/2023 12:00:00 AM,Mission Canyon,365,278,0,25373,28
25-025-21575-00-00,11/30/2023 12:00:00 AM,Mission Canyon,365,202,0,13680,20
25-025-21575-00-00,10/31/2023 12:00:00 AM,Mission Canyon,365,92,0,6629,9
25-025-21575-00-00,9/30/2023 12:00:00 AM,Mission Canyon,365,160,0,13834,15
25-025-21575-00-00,8/31/2023 12:00:00 AM,Mission Canyon,365,363,0,35872,30
25-025-21575-00-00,7/31/2023 12:00:00 AM,Mission Canyon,365,216,0,26033,17
25-025-21575-00-00,6/30/2023 12:00:00 AM,Mission Canyon,365,229,0,33028,18
25-025-21575-00-00,5/31/2023 12:00:00 AM,Mission Canyon,365,0,0,0,0
25-025-21575-00-00,4/30/2023 12:00:00 AM,Mission Canyon,365,51,0,7630,4
25-025-21575-00-00,3/31/2023 12:00:00 AM,Mission Canyon,365,843,0,61579,31
25-025-21575-00-00,2/28/2023 12:00:00 AM,Mission Canyon,365,401,0,56351,26
25-025-21575-00-00,1/31/2023 12:00:00 AM,Mission Canyon,365,551,0,57110,31
25-025-21575-00-00,12/31/2022 12:00:00 AM,Mission Canyon,365,543,0,34959,24
25-025-21575-00-00,11/30/2022 12:00:00 AM,Mission Canyon,365,375,0,52388,30
25-025-21575-00-00,10/31/2022 12:00:00 AM,Mission Canyon,365,407,0,105328,31
25-025-21575-00-00,9/30/2022 12:00:00 AM,Mission Canyon,365,341,0,44855,30
25-025-21575-00-00,8/31/2022 12:00:00 AM,Mission Canyon,365,420,0,47978,31
25-025-21575-00-00,7/31/2022 12:00:00 AM,Mission Canyon,365,304,1,45834,26
25-025-21575-00-00,6/30/2022 12:00:00 AM,Mission Canyon,365,369,3,53333,30
25-025-21575-00-00,5/31/2022 12:00:00 AM,Mission Canyon,365,405,3,57885,31
