API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-23097-00-00,7/31/2025 12:00:00 AM,Mission Canyon,8590,672,0,42017,20
25-025-23097-00-00,6/30/2025 12:00:00 AM,Mission Canyon,8590,932,0,71443,26
25-025-23097-00-00,5/31/2025 12:00:00 AM,Mission Canyon,8590,1113,0,75369,31
25-025-23097-00-00,4/30/2025 12:00:00 AM,Mission Canyon,8590,1027,0,73543,30
25-025-23097-00-00,3/31/2025 12:00:00 AM,Mission Canyon,8590,1077,0,65910,31
25-025-23097-00-00,2/28/2025 12:00:00 AM,Mission Canyon,8590,978,0,55511,28
25-025-23097-00-00,1/31/2025 12:00:00 AM,Mission Canyon,8590,1195,0,71317,31
25-025-23097-00-00,12/31/2024 12:00:00 AM,Mission Canyon,8590,1248,0,87344,31
25-025-23097-00-00,11/30/2024 12:00:00 AM,Mission Canyon,8590,1190,0,79992,30
25-025-23097-00-00,10/31/2024 12:00:00 AM,Mission Canyon,8590,1202,0,87430,31
25-025-23097-00-00,9/30/2024 12:00:00 AM,Mission Canyon,8590,1139,0,76261,30
25-025-23097-00-00,8/31/2024 12:00:00 AM,Mission Canyon,8590,1285,0,83542,31
25-025-23097-00-00,7/31/2024 12:00:00 AM,Mission Canyon,8590,1249,22,78865,31
25-025-23097-00-00,6/30/2024 12:00:00 AM,Mission Canyon,8590,1274,25,72929,30
25-025-23097-00-00,5/31/2024 12:00:00 AM,Mission Canyon,8590,1336,12,86294,31
25-025-23097-00-00,4/30/2024 12:00:00 AM,Mission Canyon,8590,1312,18,82384,30
25-025-23097-00-00,3/31/2024 12:00:00 AM,Mission Canyon,8590,1396,20,86328,31
25-025-23097-00-00,2/29/2024 12:00:00 AM,Mission Canyon,8590,1152,3,74425,29
25-025-23097-00-00,1/31/2024 12:00:00 AM,Mission Canyon,8590,1158,0,72905,31
25-025-23097-00-00,12/31/2023 12:00:00 AM,Mission Canyon,8590,1175,2,66776,31
25-025-23097-00-00,11/30/2023 12:00:00 AM,Mission Canyon,8590,612,7,31538,18
25-025-23097-00-00,10/31/2023 12:00:00 AM,Mission Canyon,8590,142,2,7742,4
25-025-23097-00-00,9/30/2023 12:00:00 AM,Mission Canyon,8590,558,8,33478,15
25-025-23097-00-00,8/31/2023 12:00:00 AM,Mission Canyon,8590,1206,1,68361,31
25-025-23097-00-00,7/31/2023 12:00:00 AM,Mission Canyon,8590,1197,0,67937,31
25-025-23097-00-00,6/30/2023 12:00:00 AM,Mission Canyon,8590,1152,0,65773,30
25-025-23097-00-00,5/31/2023 12:00:00 AM,Mission Canyon,8590,1446,16,73689,31
25-025-23097-00-00,4/30/2023 12:00:00 AM,Mission Canyon,8590,1511,21,71172,30
25-025-23097-00-00,3/31/2023 12:00:00 AM,Mission Canyon,8590,1542,3,74493,31
25-025-23097-00-00,2/28/2023 12:00:00 AM,Mission Canyon,8590,1321,2,67088,28
25-025-23097-00-00,1/31/2023 12:00:00 AM,Mission Canyon,8590,1386,1,65393,29
25-025-23097-00-00,12/31/2022 12:00:00 AM,Mission Canyon,8590,1455,0,54405,31
25-025-23097-00-00,11/30/2022 12:00:00 AM,Mission Canyon,8590,1517,0,65894,30
25-025-23097-00-00,10/31/2022 12:00:00 AM,Mission Canyon,8590,1569,0,57734,31
25-025-23097-00-00,9/30/2022 12:00:00 AM,Mission Canyon,8590,1465,0,66829,30
25-025-23097-00-00,8/31/2022 12:00:00 AM,Mission Canyon,8590,1590,0,68245,31
25-025-23097-00-00,7/31/2022 12:00:00 AM,Mission Canyon,8590,1506,0,70002,31
