API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21673-00-00,10/31/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,9/30/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,8/31/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,7/31/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,2/28/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,1/31/2015 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,12/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,11/30/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,10/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,9/30/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,8/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,7/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,6/30/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,5/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,4/30/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,3/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,2/28/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,1/31/2014 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,12/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,11/30/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,10/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,9/30/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,8/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,7/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,6/30/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,5/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,4/30/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,3/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,2/28/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,1/31/2013 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,12/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,11/30/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,10/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,9/30/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,8/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,7/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,6/30/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,5/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,4/30/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,3/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,2/29/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,1/31/2012 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,12/31/2011 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,11/30/2011 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,10/31/2011 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,9/30/2011 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,8/31/2011 12:00:00 AM,Carney,6495,0,0,0,0
25-003-21673-00-00,7/31/2011 12:00:00 AM,Carney,6495,0,25,0,31
25-003-21673-00-00,6/30/2011 12:00:00 AM,Carney,6495,0,51,0,30
25-003-21673-00-00,5/31/2011 12:00:00 AM,Carney,6495,0,82,0,31
25-003-21673-00-00,4/30/2011 12:00:00 AM,Carney,6495,0,93,0,30
25-003-21673-00-00,3/31/2011 12:00:00 AM,Carney,6495,0,128,0,31
25-003-21673-00-00,2/28/2011 12:00:00 AM,Carney,6495,0,132,0,28
25-003-21673-00-00,1/31/2011 12:00:00 AM,Carney,6495,0,172,0,31
25-003-21673-00-00,12/31/2010 12:00:00 AM,Carney,6495,0,237,0,31
25-003-21673-00-00,11/30/2010 12:00:00 AM,Carney,6495,0,419,290,30
25-003-21673-00-00,10/31/2010 12:00:00 AM,Carney,6495,0,592,4497,31
25-003-21673-00-00,9/30/2010 12:00:00 AM,Carney,6495,0,635,5155,30
25-003-21673-00-00,8/31/2010 12:00:00 AM,Carney,6495,0,828,4995,31
25-003-21673-00-00,7/31/2010 12:00:00 AM,Carney,6495,0,943,5761,31
25-003-21673-00-00,6/30/2010 12:00:00 AM,Carney,6495,0,1014,5715,30
25-003-21673-00-00,5/31/2010 12:00:00 AM,Carney,6495,0,988,5878,31
25-003-21673-00-00,4/30/2010 12:00:00 AM,Carney,6495,0,1006,6551,30
25-003-21673-00-00,3/31/2010 12:00:00 AM,Carney,6495,0,952,2981,31
25-003-21673-00-00,2/28/2010 12:00:00 AM,Carney,6495,0,1022,4298,28
25-003-21673-00-00,1/31/2010 12:00:00 AM,Carney,6495,0,1205,4906,31
25-003-21673-00-00,12/31/2009 12:00:00 AM,Carney,6495,0,1140,5092,31
25-003-21673-00-00,11/30/2009 12:00:00 AM,Carney,6495,0,1105,5150,30
25-003-21673-00-00,10/31/2009 12:00:00 AM,Carney,6495,0,1224,5289,31
25-003-21673-00-00,9/30/2009 12:00:00 AM,Carney,6495,0,1195,5340,30
25-003-21673-00-00,8/31/2009 12:00:00 AM,Carney,6495,0,1262,5535,31
25-003-21673-00-00,7/31/2009 12:00:00 AM,Carney,6495,0,1253,5603,31
25-003-21673-00-00,6/30/2009 12:00:00 AM,Carney,6495,0,1365,5069,30
