API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-085-21895-00-00,7/31/2025 12:00:00 AM,Bakken,8888,445,658,602,30
25-085-21895-00-00,6/30/2025 12:00:00 AM,Bakken,8888,534,1415,779,30
25-085-21895-00-00,5/31/2025 12:00:00 AM,Bakken,8888,544,981,754,31
25-085-21895-00-00,4/30/2025 12:00:00 AM,Bakken,8888,268,358,594,30
25-085-21895-00-00,3/31/2025 12:00:00 AM,Bakken,8888,634,988,961,31
25-085-21895-00-00,2/28/2025 12:00:00 AM,Bakken,8888,377,591,580,27
25-085-21895-00-00,1/31/2025 12:00:00 AM,Bakken,8888,399,953,861,31
25-085-21895-00-00,12/31/2024 12:00:00 AM,Bakken,8888,551,645,749,31
25-085-21895-00-00,11/30/2024 12:00:00 AM,Bakken,8888,437,534,672,30
25-085-21895-00-00,10/31/2024 12:00:00 AM,Bakken,8888,377,710,724,31
25-085-21895-00-00,9/30/2024 12:00:00 AM,Bakken,8888,424,967,942,30
25-085-21895-00-00,8/31/2024 12:00:00 AM,Bakken,8888,634,825,1070,31
25-085-21895-00-00,7/31/2024 12:00:00 AM,Bakken,8888,303,293,678,18
25-085-21895-00-00,6/30/2024 12:00:00 AM,Bakken,8888,360,377,731,26
25-085-21895-00-00,5/31/2024 12:00:00 AM,Bakken,8888,417,495,427,31
25-085-21895-00-00,4/30/2024 12:00:00 AM,Bakken,8888,444,431,667,30
25-085-21895-00-00,3/31/2024 12:00:00 AM,Bakken,8888,607,605,623,31
25-085-21895-00-00,2/29/2024 12:00:00 AM,Bakken,8888,356,581,584,29
25-085-21895-00-00,1/31/2024 12:00:00 AM,Bakken,8888,360,437,589,31
25-085-21895-00-00,12/31/2023 12:00:00 AM,Bakken,8888,341,161,766,30
25-085-21895-00-00,11/30/2023 12:00:00 AM,Bakken,8888,302,303,646,29
25-085-21895-00-00,10/31/2023 12:00:00 AM,Bakken,8888,188,361,545,31
25-085-21895-00-00,9/30/2023 12:00:00 AM,Bakken,8888,574,936,680,30
25-085-21895-00-00,8/31/2023 12:00:00 AM,Bakken,8888,842,818,1994,31
25-085-21895-00-00,7/31/2023 12:00:00 AM,Bakken,8888,354,467,585,31
25-085-21895-00-00,6/30/2023 12:00:00 AM,Bakken,8888,466,840,1164,30
25-085-21895-00-00,5/31/2023 12:00:00 AM,Bakken,8888,405,729,786,30
25-085-21895-00-00,4/30/2023 12:00:00 AM,Bakken,8888,427,841,986,30
25-085-21895-00-00,3/31/2023 12:00:00 AM,Bakken,8888,558,761,993,31
25-085-21895-00-00,2/28/2023 12:00:00 AM,Bakken,8888,297,359,750,28
