API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-21988-00-00,7/31/2025 12:00:00 AM,Eagle,394,0,163,93,31
25-005-21988-00-00,6/30/2025 12:00:00 AM,Eagle,394,0,38,16,5
25-005-21988-00-00,5/31/2025 12:00:00 AM,Eagle,394,0,0,0,0
25-005-21988-00-00,4/30/2025 12:00:00 AM,Eagle,394,0,66,64,21
25-005-21988-00-00,3/31/2025 12:00:00 AM,Eagle,394,0,75,92,31
25-005-21988-00-00,2/28/2025 12:00:00 AM,Eagle,394,0,102,83,28
25-005-21988-00-00,1/31/2025 12:00:00 AM,Eagle,394,0,35,91,30
25-005-21988-00-00,12/31/2024 12:00:00 AM,Eagle,394,0,108,92,31
25-005-21988-00-00,11/30/2024 12:00:00 AM,Eagle,394,0,144,90,30
25-005-21988-00-00,10/31/2024 12:00:00 AM,Eagle,394,0,131,93,31
25-005-21988-00-00,9/30/2024 12:00:00 AM,Eagle,394,0,126,90,30
25-005-21988-00-00,8/31/2024 12:00:00 AM,Eagle,394,0,128,93,31
25-005-21988-00-00,7/31/2024 12:00:00 AM,Eagle,394,0,102,93,31
25-005-21988-00-00,6/30/2024 12:00:00 AM,Eagle,394,0,134,90,30
25-005-21988-00-00,5/31/2024 12:00:00 AM,Eagle,394,0,134,93,31
25-005-21988-00-00,4/30/2024 12:00:00 AM,Eagle,394,0,134,90,30
25-005-21988-00-00,3/31/2024 12:00:00 AM,Eagle,394,0,137,93,31
25-005-21988-00-00,2/29/2024 12:00:00 AM,Eagle,394,0,132,87,29
25-005-21988-00-00,1/31/2024 12:00:00 AM,Eagle,394,0,130,93,31
25-005-21988-00-00,12/31/2023 12:00:00 AM,Eagle,394,0,100,93,31
25-005-21988-00-00,11/30/2023 12:00:00 AM,Eagle,394,0,130,90,30
25-005-21988-00-00,10/31/2023 12:00:00 AM,Eagle,394,0,134,93,31
25-005-21988-00-00,9/30/2023 12:00:00 AM,Eagle,394,0,209,90,30
25-005-21988-00-00,8/31/2023 12:00:00 AM,Eagle,394,0,302,93,31
25-005-21988-00-00,7/31/2023 12:00:00 AM,Eagle,394,0,297,93,31
25-005-21988-00-00,6/30/2023 12:00:00 AM,Eagle,394,0,287,90,30
25-005-21988-00-00,5/31/2023 12:00:00 AM,Eagle,394,0,288,93,31
25-005-21988-00-00,4/30/2023 12:00:00 AM,Eagle,394,0,252,83,28
25-005-21988-00-00,3/31/2023 12:00:00 AM,Eagle,394,0,0,0,0
