API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23055-00-00,7/31/2025 12:00:00 AM,Bakken,8894,1012,1074,1910,31
25-083-23055-00-00,6/30/2025 12:00:00 AM,Bakken,8894,1125,908,1527,30
25-083-23055-00-00,5/31/2025 12:00:00 AM,Bakken,8894,524,413,849,17
25-083-23055-00-00,4/30/2025 12:00:00 AM,Bakken,8894,689,576,856,22
25-083-23055-00-00,3/31/2025 12:00:00 AM,Bakken,8894,1104,953,1575,31
25-083-23055-00-00,2/28/2025 12:00:00 AM,Bakken,8894,894,890,1538,28
25-083-23055-00-00,1/31/2025 12:00:00 AM,Bakken,8894,1219,832,1901,31
25-083-23055-00-00,12/31/2024 12:00:00 AM,Bakken,8894,1104,595,1795,31
25-083-23055-00-00,11/30/2024 12:00:00 AM,Bakken,8894,1271,448,1601,30
25-083-23055-00-00,10/31/2024 12:00:00 AM,Bakken,8894,1314,627,1765,31
25-083-23055-00-00,9/30/2024 12:00:00 AM,Bakken,8894,1148,869,2007,30
25-083-23055-00-00,8/31/2024 12:00:00 AM,Bakken,8894,857,970,1224,26
25-083-23055-00-00,7/31/2024 12:00:00 AM,Bakken,8894,1124,923,1165,31
25-083-23055-00-00,6/30/2024 12:00:00 AM,Bakken,8894,783,622,1098,30
25-083-23055-00-00,5/31/2024 12:00:00 AM,Bakken,8894,835,840,1241,31
25-083-23055-00-00,4/30/2024 12:00:00 AM,Bakken,8894,1071,743,1774,30
25-083-23055-00-00,3/31/2024 12:00:00 AM,Bakken,8894,1014,575,1179,31
25-083-23055-00-00,2/29/2024 12:00:00 AM,Bakken,8894,1148,435,892,29
25-083-23055-00-00,1/31/2024 12:00:00 AM,Bakken,8894,1265,461,1440,31
25-083-23055-00-00,12/31/2023 12:00:00 AM,Bakken,8894,1298,656,2219,31
25-083-23055-00-00,11/30/2023 12:00:00 AM,Bakken,8894,350,229,794,17
