API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23173-00-00,4/30/2025 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,3/31/2025 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,2/28/2025 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,1/31/2025 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,12/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,11/30/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,10/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,9/30/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,8/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,7/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,6/30/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,5/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,4/30/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,3/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,2/29/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,1/31/2024 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,12/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,11/30/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,10/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,9/30/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,8/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,7/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,6/30/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,5/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,4/30/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,3/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,2/28/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,1/31/2023 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,12/31/2022 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,11/30/2022 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,10/31/2022 12:00:00 AM,Bakken,8973,83,45,58,6
25-083-23173-00-00,9/30/2022 12:00:00 AM,Bakken,8973,169,127,121,27
25-083-23173-00-00,8/31/2022 12:00:00 AM,Bakken,8973,168,86,121,12
25-083-23173-00-00,7/31/2022 12:00:00 AM,Bakken,8973,66,176,157,22
25-083-23173-00-00,6/30/2022 12:00:00 AM,Bakken,8973,145,104,127,13
25-083-23173-00-00,5/31/2022 12:00:00 AM,Bakken,8973,178,96,132,12
25-083-23173-00-00,4/30/2022 12:00:00 AM,Bakken,8973,194,112,132,14
25-083-23173-00-00,3/31/2022 12:00:00 AM,Bakken,8973,216,128,192,16
25-083-23173-00-00,2/28/2022 12:00:00 AM,Bakken,8973,149,64,103,8
25-083-23173-00-00,1/31/2022 12:00:00 AM,Bakken,8973,163,96,111,12
25-083-23173-00-00,12/31/2021 12:00:00 AM,Bakken,8973,140,112,95,14
25-083-23173-00-00,11/30/2021 12:00:00 AM,Bakken,8973,142,104,93,13
25-083-23173-00-00,10/31/2021 12:00:00 AM,Bakken,8973,166,136,117,17
25-083-23173-00-00,9/30/2021 12:00:00 AM,Bakken,8973,183,128,124,16
25-083-23173-00-00,8/31/2021 12:00:00 AM,Bakken,8973,216,128,155,16
25-083-23173-00-00,7/31/2021 12:00:00 AM,Bakken,8973,168,112,123,14
25-083-23173-00-00,6/30/2021 12:00:00 AM,Bakken,8973,171,88,116,11
25-083-23173-00-00,5/31/2021 12:00:00 AM,Bakken,8973,201,104,140,13
25-083-23173-00-00,4/30/2021 12:00:00 AM,Bakken,8973,181,80,79,10
25-083-23173-00-00,3/31/2021 12:00:00 AM,Bakken,8973,262,128,174,16
25-083-23173-00-00,2/28/2021 12:00:00 AM,Bakken,8973,118,48,76,6
25-083-23173-00-00,1/31/2021 12:00:00 AM,Bakken,8973,203,120,147,15
25-083-23173-00-00,12/31/2020 12:00:00 AM,Bakken,8973,196,112,133,14
25-083-23173-00-00,11/30/2020 12:00:00 AM,Bakken,8973,223,120,147,13
25-083-23173-00-00,10/31/2020 12:00:00 AM,Bakken,8973,191,104,145,13
25-083-23173-00-00,9/30/2020 12:00:00 AM,Bakken,8973,198,112,139,14
25-083-23173-00-00,8/31/2020 12:00:00 AM,Bakken,8973,210,136,161,17
25-083-23173-00-00,7/31/2020 12:00:00 AM,Bakken,8973,242,128,156,16
25-083-23173-00-00,6/30/2020 12:00:00 AM,Bakken,8973,211,72,170,9
25-083-23173-00-00,5/31/2020 12:00:00 AM,Bakken,8973,207,80,148,10
25-083-23173-00-00,4/30/2020 12:00:00 AM,Bakken,8973,178,104,136,13
25-083-23173-00-00,3/31/2020 12:00:00 AM,Bakken,8973,273,192,205,24
25-083-23173-00-00,2/29/2020 12:00:00 AM,Bakken,8973,463,232,317,29
25-083-23173-00-00,1/31/2020 12:00:00 AM,Bakken,8973,276,64,258,8
25-083-23173-00-00,12/31/2019 12:00:00 AM,Bakken,8973,293,669,286,8
25-083-23173-00-00,11/30/2019 12:00:00 AM,Bakken,8973,0,0,0,0
25-083-23173-00-00,10/31/2019 12:00:00 AM,Bakken,8973,9,36,9,1
25-083-23173-00-00,9/30/2019 12:00:00 AM,Bakken,8973,2,44,0,2
25-083-23173-00-00,8/31/2019 12:00:00 AM,Bakken,8973,233,758,178,16
25-083-23173-00-00,7/31/2019 12:00:00 AM,Bakken,8973,300,766,241,13
25-083-23173-00-00,6/30/2019 12:00:00 AM,Bakken,8973,156,215,53,3
25-083-23173-00-00,5/31/2019 12:00:00 AM,Bakken,8973,21,83,10,3
25-083-23173-00-00,4/30/2019 12:00:00 AM,Bakken,8973,185,585,158,16
25-083-23173-00-00,3/31/2019 12:00:00 AM,Bakken,8973,220,696,159,19
25-083-23173-00-00,2/28/2019 12:00:00 AM,Bakken,8973,210,767,152,22
25-083-23173-00-00,1/31/2019 12:00:00 AM,Bakken,8973,267,881,177,24
25-083-23173-00-00,12/31/2018 12:00:00 AM,Bakken,8973,255,896,188,24
25-083-23173-00-00,11/30/2018 12:00:00 AM,Bakken,8973,293,970,218,23
25-083-23173-00-00,10/31/2018 12:00:00 AM,Bakken,8973,222,730,158,17
25-083-23173-00-00,9/30/2018 12:00:00 AM,Bakken,8973,254,1026,224,26
25-083-23173-00-00,8/31/2018 12:00:00 AM,Bakken,8973,282,1011,220,22
25-083-23173-00-00,7/31/2018 12:00:00 AM,Bakken,8973,585,1848,545,28
25-083-23173-00-00,6/30/2018 12:00:00 AM,Bakken,8973,5,29,50,2
25-083-23173-00-00,5/31/2018 12:00:00 AM,Bakken,8973,32,135,27,4
25-083-23173-00-00,4/30/2018 12:00:00 AM,Bakken,8973,281,1104,259,30
25-083-23173-00-00,3/31/2018 12:00:00 AM,Bakken,8973,294,1099,241,31
25-083-23173-00-00,2/28/2018 12:00:00 AM,Bakken,8973,341,969,187,27
25-083-23173-00-00,1/31/2018 12:00:00 AM,Bakken,8973,341,1187,269,31
25-083-23173-00-00,12/31/2017 12:00:00 AM,Bakken,8973,225,591,218,12
25-083-23173-00-00,11/30/2017 12:00:00 AM,Bakken,8973,293,894,218,30
25-083-23173-00-00,10/31/2017 12:00:00 AM,Bakken,8973,356,1166,284,31
25-083-23173-00-00,9/30/2017 12:00:00 AM,Bakken,8973,147,437,197,6
25-083-23173-00-00,8/31/2017 12:00:00 AM,Bakken,8973,307,999,226,31
25-083-23173-00-00,7/31/2017 12:00:00 AM,Bakken,8973,312,1108,251,31
25-083-23173-00-00,6/30/2017 12:00:00 AM,Bakken,8973,308,1076,255,30
25-083-23173-00-00,5/31/2017 12:00:00 AM,Bakken,8973,325,1158,259,31
25-083-23173-00-00,4/30/2017 12:00:00 AM,Bakken,8973,323,1144,262,30
25-083-23173-00-00,3/31/2017 12:00:00 AM,Bakken,8973,329,1171,246,31
25-083-23173-00-00,2/28/2017 12:00:00 AM,Bakken,8973,320,1063,256,28
25-083-23173-00-00,1/31/2017 12:00:00 AM,Bakken,8973,357,1160,286,31
25-083-23173-00-00,12/31/2016 12:00:00 AM,Bakken,8973,381,1371,296,31
25-083-23173-00-00,11/30/2016 12:00:00 AM,Bakken,8973,360,1413,283,30
25-083-23173-00-00,10/31/2016 12:00:00 AM,Bakken,8973,362,1462,293,29
25-083-23173-00-00,9/30/2016 12:00:00 AM,Bakken,8973,362,1242,287,29
25-083-23173-00-00,8/31/2016 12:00:00 AM,Bakken,8973,374,1269,301,31
25-083-23173-00-00,7/31/2016 12:00:00 AM,Bakken,8973,411,1349,335,31
25-083-23173-00-00,6/30/2016 12:00:00 AM,Bakken,8973,385,1333,326,30
