API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23912-00-00,5/31/2025 12:00:00 AM,"Bow Island, Sunburst",6415,0,476,0,31
25-101-23912-00-00,4/30/2025 12:00:00 AM,"Bow Island, Sunburst",6415,0,463,0,30
25-101-23912-00-00,3/31/2025 12:00:00 AM,"Bow Island, Sunburst",6415,0,420,0,31
25-101-23912-00-00,2/28/2025 12:00:00 AM,"Bow Island, Sunburst",6415,0,458,0,28
25-101-23912-00-00,1/31/2025 12:00:00 AM,"Bow Island, Sunburst",6415,0,474,0,31
25-101-23912-00-00,12/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,506,0,31
25-101-23912-00-00,11/30/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,466,0,30
25-101-23912-00-00,10/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,547,0,31
25-101-23912-00-00,9/30/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,398,0,30
25-101-23912-00-00,8/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,503,0,31
25-101-23912-00-00,7/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,159,0,31
25-101-23912-00-00,6/30/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,498,0,30
25-101-23912-00-00,5/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,484,0,31
25-101-23912-00-00,4/30/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,438,0,30
25-101-23912-00-00,3/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,467,0,31
25-101-23912-00-00,2/29/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,494,0,29
25-101-23912-00-00,1/31/2024 12:00:00 AM,"Bow Island, Sunburst",6415,0,350,0,31
25-101-23912-00-00,12/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,528,0,31
25-101-23912-00-00,11/30/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,517,0,30
25-101-23912-00-00,10/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,502,0,31
25-101-23912-00-00,9/30/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,532,0,31
25-101-23912-00-00,8/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,561,0,31
25-101-23912-00-00,7/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,575,0,31
25-101-23912-00-00,6/30/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,517,0,31
25-101-23912-00-00,5/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,522,0,31
25-101-23912-00-00,4/30/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,493,0,30
25-101-23912-00-00,3/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,498,0,31
25-101-23912-00-00,2/28/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,467,0,28
25-101-23912-00-00,1/31/2023 12:00:00 AM,"Bow Island, Sunburst",6415,0,546,0,31
25-101-23912-00-00,12/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,535,0,31
25-101-23912-00-00,11/30/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,0,0,0
25-101-23912-00-00,10/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,554,0,31
25-101-23912-00-00,9/30/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,502,0,30
25-101-23912-00-00,8/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,564,0,31
25-101-23912-00-00,7/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,486,0,31
25-101-23912-00-00,6/30/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,502,0,30
25-101-23912-00-00,5/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,488,0,31
25-101-23912-00-00,4/30/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,443,0,30
25-101-23912-00-00,3/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,574,0,31
25-101-23912-00-00,2/28/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,486,0,28
25-101-23912-00-00,1/31/2022 12:00:00 AM,"Bow Island, Sunburst",6415,0,545,0,31
25-101-23912-00-00,12/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,474,0,31
25-101-23912-00-00,11/30/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,583,0,30
25-101-23912-00-00,10/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,572,0,31
25-101-23912-00-00,9/30/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,610,0,30
25-101-23912-00-00,8/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,568,0,31
25-101-23912-00-00,7/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,521,0,31
25-101-23912-00-00,6/30/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,569,0,30
25-101-23912-00-00,5/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,581,0,31
25-101-23912-00-00,4/30/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,521,0,30
25-101-23912-00-00,3/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,544,0,31
25-101-23912-00-00,2/28/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,464,0,28
25-101-23912-00-00,1/31/2021 12:00:00 AM,"Bow Island, Sunburst",6415,0,571,0,31
25-101-23912-00-00,12/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,589,0,31
25-101-23912-00-00,11/30/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,565,0,30
25-101-23912-00-00,10/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,504,0,31
25-101-23912-00-00,9/30/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,616,0,30
25-101-23912-00-00,8/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,568,0,31
25-101-23912-00-00,7/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,587,0,31
25-101-23912-00-00,6/30/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,566,0,30
25-101-23912-00-00,5/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,565,0,31
25-101-23912-00-00,4/30/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,522,0,30
25-101-23912-00-00,3/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,575,0,31
25-101-23912-00-00,2/29/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,369,0,29
25-101-23912-00-00,1/31/2020 12:00:00 AM,"Bow Island, Sunburst",6415,0,325,0,31
25-101-23912-00-00,12/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,522,0,31
25-101-23912-00-00,11/30/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,558,0,30
25-101-23912-00-00,10/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,584,0,31
25-101-23912-00-00,9/30/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,578,0,30
25-101-23912-00-00,8/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,584,0,31
25-101-23912-00-00,7/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,578,0,31
25-101-23912-00-00,6/30/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,550,0,30
25-101-23912-00-00,5/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,552,0,31
25-101-23912-00-00,4/30/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,465,0,30
25-101-23912-00-00,3/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,530,0,28
25-101-23912-00-00,2/28/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,465,0,28
25-101-23912-00-00,1/31/2019 12:00:00 AM,"Bow Island, Sunburst",6415,0,539,0,31
25-101-23912-00-00,12/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,550,0,31
25-101-23912-00-00,11/30/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,460,0,30
25-101-23912-00-00,10/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,514,0,31
25-101-23912-00-00,9/30/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,604,0,30
25-101-23912-00-00,8/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,544,0,31
25-101-23912-00-00,7/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,563,0,31
25-101-23912-00-00,6/30/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,556,0,30
25-101-23912-00-00,5/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,562,0,31
25-101-23912-00-00,4/30/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,536,0,31
25-101-23912-00-00,3/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,583,0,31
25-101-23912-00-00,2/28/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,496,0,31
25-101-23912-00-00,1/31/2018 12:00:00 AM,"Bow Island, Sunburst",6415,0,525,0,31
25-101-23912-00-00,12/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,571,0,31
25-101-23912-00-00,11/30/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,576,0,30
25-101-23912-00-00,10/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,633,0,31
25-101-23912-00-00,9/30/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,571,0,31
25-101-23912-00-00,8/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,586,0,31
25-101-23912-00-00,7/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,610,0,31
25-101-23912-00-00,6/30/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,542,0,30
25-101-23912-00-00,5/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,603,0,31
25-101-23912-00-00,4/30/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,609,0,30
25-101-23912-00-00,3/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,513,0,31
25-101-23912-00-00,2/28/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,498,0,28
25-101-23912-00-00,1/31/2017 12:00:00 AM,"Bow Island, Sunburst",6415,0,576,0,31
25-101-23912-00-00,12/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,503,0,31
25-101-23912-00-00,11/30/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,535,0,31
25-101-23912-00-00,10/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,589,0,31
25-101-23912-00-00,9/30/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,591,0,30
25-101-23912-00-00,8/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,581,0,30
25-101-23912-00-00,7/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,556,0,30
25-101-23912-00-00,6/30/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,556,0,30
25-101-23912-00-00,5/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,587,0,31
25-101-23912-00-00,4/30/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,537,0,29
25-101-23912-00-00,3/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,582,0,29
25-101-23912-00-00,2/29/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,550,0,29
25-101-23912-00-00,1/31/2016 12:00:00 AM,"Bow Island, Sunburst",6415,0,589,0,31
25-101-23912-00-00,12/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,600,0,31
25-101-23912-00-00,11/30/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,588,0,30
25-101-23912-00-00,10/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,618,0,31
25-101-23912-00-00,9/30/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,566,0,30
25-101-23912-00-00,8/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,599,0,31
25-101-23912-00-00,7/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,588,0,31
25-101-23912-00-00,6/30/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,568,0,31
25-101-23912-00-00,5/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,619,0,31
25-101-23912-00-00,4/30/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,574,0,30
25-101-23912-00-00,3/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,642,0,28
25-101-23912-00-00,2/28/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,504,0,28
25-101-23912-00-00,1/31/2015 12:00:00 AM,"Bow Island, Sunburst",6415,0,635,0,31
25-101-23912-00-00,12/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,677,0,31
25-101-23912-00-00,11/30/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,660,0,30
25-101-23912-00-00,10/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,673,0,30
25-101-23912-00-00,9/30/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,655,0,30
25-101-23912-00-00,8/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,618,0,31
25-101-23912-00-00,7/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,610,0,30
25-101-23912-00-00,6/30/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,544,0,30
25-101-23912-00-00,5/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,628,0,31
25-101-23912-00-00,4/30/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,658,0,30
25-101-23912-00-00,3/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,644,0,31
25-101-23912-00-00,2/28/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,547,0,28
25-101-23912-00-00,1/31/2014 12:00:00 AM,"Bow Island, Sunburst",6415,0,664,0,31
25-101-23912-00-00,12/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,661,0,31
25-101-23912-00-00,11/30/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,683,0,30
25-101-23912-00-00,10/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,718,0,30
25-101-23912-00-00,9/30/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,703,0,30
25-101-23912-00-00,8/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,725,0,31
25-101-23912-00-00,7/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,699,0,31
25-101-23912-00-00,6/30/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,669,0,30
25-101-23912-00-00,5/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,676,0,28
25-101-23912-00-00,4/30/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,660,0,30
25-101-23912-00-00,3/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,643,0,31
25-101-23912-00-00,2/28/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,584,0,28
25-101-23912-00-00,1/31/2013 12:00:00 AM,"Bow Island, Sunburst",6415,0,645,0,31
25-101-23912-00-00,12/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,656,0,31
25-101-23912-00-00,11/30/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,615,0,30
25-101-23912-00-00,10/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,667,0,31
25-101-23912-00-00,9/30/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,637,0,31
25-101-23912-00-00,8/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,670,0,31
25-101-23912-00-00,7/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,597,0,31
25-101-23912-00-00,6/30/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,590,0,30
25-101-23912-00-00,5/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,628,0,31
25-101-23912-00-00,4/30/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,654,0,30
25-101-23912-00-00,3/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,714,0,31
25-101-23912-00-00,2/29/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,700,0,29
25-101-23912-00-00,1/31/2012 12:00:00 AM,"Bow Island, Sunburst",6415,0,762,0,31
25-101-23912-00-00,12/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,762,0,31
25-101-23912-00-00,11/30/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,0,0,31
25-101-23912-00-00,10/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,176,0,31
25-101-23912-00-00,9/30/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,501,0,30
25-101-23912-00-00,8/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,601,0,31
25-101-23912-00-00,7/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,564,0,31
25-101-23912-00-00,6/30/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,563,0,30
25-101-23912-00-00,5/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,605,0,31
25-101-23912-00-00,4/30/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,612,0,30
25-101-23912-00-00,3/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,703,0,31
25-101-23912-00-00,2/28/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,614,0,28
25-101-23912-00-00,1/31/2011 12:00:00 AM,"Bow Island, Sunburst",6415,0,639,0,31
25-101-23912-00-00,12/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,381,0,31
25-101-23912-00-00,11/30/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,683,0,30
25-101-23912-00-00,10/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,682,0,31
25-101-23912-00-00,9/30/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,649,0,31
25-101-23912-00-00,8/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,627,0,30
25-101-23912-00-00,7/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,600,0,30
25-101-23912-00-00,6/30/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,609,0,30
25-101-23912-00-00,5/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,641,0,31
25-101-23912-00-00,4/30/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,579,0,30
25-101-23912-00-00,3/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,585,0,31
25-101-23912-00-00,2/28/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,617,0,28
25-101-23912-00-00,1/31/2010 12:00:00 AM,"Bow Island, Sunburst",6415,0,683,0,31
25-101-23912-00-00,12/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,662,0,31
25-101-23912-00-00,11/30/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,603,0,30
25-101-23912-00-00,10/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,706,0,31
25-101-23912-00-00,9/30/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,657,0,30
25-101-23912-00-00,8/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,638,0,31
25-101-23912-00-00,7/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,588,0,31
25-101-23912-00-00,6/30/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,583,0,30
25-101-23912-00-00,5/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,621,0,31
25-101-23912-00-00,4/30/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,655,0,30
25-101-23912-00-00,3/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,724,0,31
25-101-23912-00-00,2/28/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,661,0,31
25-101-23912-00-00,1/31/2009 12:00:00 AM,"Bow Island, Sunburst",6415,0,759,0,31
25-101-23912-00-00,12/31/2008 12:00:00 AM,"Bow Island, Sunburst",6415,0,720,0,31
