API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21285-00-00,3/31/2013 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,2/28/2013 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,1/31/2013 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,12/31/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,11/30/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,10/31/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,9/30/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,8/31/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,7/31/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,6/30/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,5/31/2012 12:00:00 AM,Carney,6237,0,0,0,0
25-003-21285-00-00,4/30/2012 12:00:00 AM,Carney,6237,0,19,0,3
25-003-21285-00-00,3/31/2012 12:00:00 AM,Carney,6237,0,401,0,31
25-003-21285-00-00,2/29/2012 12:00:00 AM,Carney,6237,0,537,0,29
25-003-21285-00-00,1/31/2012 12:00:00 AM,Carney,6237,0,643,0,31
25-003-21285-00-00,12/31/2011 12:00:00 AM,Carney,6237,0,693,2382,31
25-003-21285-00-00,11/30/2011 12:00:00 AM,Carney,6237,0,1045,7883,30
25-003-21285-00-00,10/31/2011 12:00:00 AM,Carney,6237,0,1140,7758,31
25-003-21285-00-00,9/30/2011 12:00:00 AM,Carney,6237,0,1042,7917,30
25-003-21285-00-00,8/31/2011 12:00:00 AM,Carney,6237,0,1075,7200,31
25-003-21285-00-00,7/31/2011 12:00:00 AM,Carney,6237,0,1305,7370,31
25-003-21285-00-00,6/30/2011 12:00:00 AM,Carney,6237,0,1431,6761,30
25-003-21285-00-00,5/31/2011 12:00:00 AM,Carney,6237,0,1658,7065,31
25-003-21285-00-00,4/30/2011 12:00:00 AM,Carney,6237,0,1038,4414,30
25-003-21285-00-00,3/31/2011 12:00:00 AM,Carney,6237,0,618,3820,31
25-003-21285-00-00,2/28/2011 12:00:00 AM,Carney,6237,0,1015,7271,28
25-003-21285-00-00,1/31/2011 12:00:00 AM,Carney,6237,0,1403,8511,31
25-003-21285-00-00,12/31/2010 12:00:00 AM,Carney,6237,0,1677,10313,31
25-003-21285-00-00,11/30/2010 12:00:00 AM,Carney,6237,0,1631,8481,30
25-003-21285-00-00,10/31/2010 12:00:00 AM,Carney,6237,0,1755,5914,31
25-003-21285-00-00,9/30/2010 12:00:00 AM,Carney,6237,0,1381,5816,30
25-003-21285-00-00,8/31/2010 12:00:00 AM,Carney,6237,0,2175,5683,31
25-003-21285-00-00,7/31/2010 12:00:00 AM,Carney,6237,0,1745,4743,31
25-003-21285-00-00,6/30/2010 12:00:00 AM,Carney,6237,0,1738,7060,30
25-003-21285-00-00,5/31/2010 12:00:00 AM,Carney,6237,0,2008,7229,31
25-003-21285-00-00,4/30/2010 12:00:00 AM,Carney,6237,0,1675,7588,30
25-003-21285-00-00,3/31/2010 12:00:00 AM,Carney,6237,0,1612,7653,31
25-003-21285-00-00,2/28/2010 12:00:00 AM,Carney,6237,0,1673,7017,28
25-003-21285-00-00,1/31/2010 12:00:00 AM,Carney,6237,0,1981,8006,31
25-003-21285-00-00,12/31/2009 12:00:00 AM,Carney,6237,0,1966,8627,31
25-003-21285-00-00,11/30/2009 12:00:00 AM,Carney,6237,0,1821,7166,30
25-003-21285-00-00,10/31/2009 12:00:00 AM,Carney,6237,0,1133,1397,31
25-003-21285-00-00,9/30/2009 12:00:00 AM,Carney,6237,0,2617,5613,30
25-003-21285-00-00,8/31/2009 12:00:00 AM,Carney,6237,0,2097,7413,31
25-003-21285-00-00,7/31/2009 12:00:00 AM,Carney,6237,0,1962,7622,31
25-003-21285-00-00,6/30/2009 12:00:00 AM,Carney,6237,0,2129,7137,30
25-003-21285-00-00,5/31/2009 12:00:00 AM,Carney,6237,0,2073,7584,31
25-003-21285-00-00,4/30/2009 12:00:00 AM,Carney,6237,0,2027,7364,30
25-003-21285-00-00,3/31/2009 12:00:00 AM,Carney,6237,0,1768,7050,31
25-003-21285-00-00,2/28/2009 12:00:00 AM,Carney,6237,0,1732,2904,28
25-003-21285-00-00,1/31/2009 12:00:00 AM,Carney,6237,0,1722,7,31
25-003-21285-00-00,12/31/2008 12:00:00 AM,Carney,6237,0,1891,2684,31
25-003-21285-00-00,11/30/2008 12:00:00 AM,Carney,6237,0,2353,5365,30
25-003-21285-00-00,10/31/2008 12:00:00 AM,Carney,6237,0,2123,27,31
25-003-21285-00-00,9/30/2008 12:00:00 AM,Carney,6237,0,2581,970,30
25-003-21285-00-00,8/31/2008 12:00:00 AM,Carney,6237,0,2569,3260,31
25-003-21285-00-00,7/31/2008 12:00:00 AM,Carney,6237,0,3486,5917,31
25-003-21285-00-00,6/30/2008 12:00:00 AM,Carney,6237,0,3825,4428,30
25-003-21285-00-00,5/31/2008 12:00:00 AM,Carney,6237,0,3628,5601,31
25-003-21285-00-00,4/30/2008 12:00:00 AM,Carney,6237,0,2609,6270,30
25-003-21285-00-00,3/31/2008 12:00:00 AM,Carney,6237,0,3308,6504,31
25-003-21285-00-00,2/29/2008 12:00:00 AM,Carney,6237,0,3025,6534,29
25-003-21285-00-00,1/31/2008 12:00:00 AM,Carney,6237,0,3003,5862,31
25-003-21285-00-00,12/31/2007 12:00:00 AM,Carney,6237,0,3308,6214,31
25-003-21285-00-00,11/30/2007 12:00:00 AM,Carney,6237,0,3335,6442,30
25-003-21285-00-00,10/31/2007 12:00:00 AM,Carney,6237,0,3614,5983,31
25-003-21285-00-00,9/30/2007 12:00:00 AM,Carney,6237,0,3555,6318,30
25-003-21285-00-00,8/31/2007 12:00:00 AM,Carney,6237,0,3082,6709,31
25-003-21285-00-00,7/31/2007 12:00:00 AM,Carney,6237,0,2883,7027,31
25-003-21285-00-00,6/30/2007 12:00:00 AM,Carney,6237,0,2898,6357,30
25-003-21285-00-00,5/31/2007 12:00:00 AM,Carney,6237,0,3134,6805,31
25-003-21285-00-00,4/30/2007 12:00:00 AM,Carney,6237,0,3526,6343,30
25-003-21285-00-00,3/31/2007 12:00:00 AM,Carney,6237,0,3807,6884,31
25-003-21285-00-00,2/28/2007 12:00:00 AM,Carney,6237,0,3203,5604,28
25-003-21285-00-00,1/31/2007 12:00:00 AM,Carney,6237,0,3073,7182,31
25-003-21285-00-00,12/31/2006 12:00:00 AM,Carney,6237,0,2541,7883,31
25-003-21285-00-00,11/30/2006 12:00:00 AM,Carney,6237,0,2534,8759,30
25-003-21285-00-00,10/31/2006 12:00:00 AM,Carney,6237,0,2984,6220,31
25-003-21285-00-00,9/30/2006 12:00:00 AM,Carney,6237,0,3525,0,30
25-003-21285-00-00,8/31/2006 12:00:00 AM,Carney,6237,0,3017,3026,31
