API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-22326-00-00,7/31/2025 12:00:00 AM,Siluro-Ordovician,456,651,68,14671,31
25-025-22326-00-00,6/30/2025 12:00:00 AM,Siluro-Ordovician,456,698,22,15365,30
25-025-22326-00-00,5/31/2025 12:00:00 AM,Siluro-Ordovician,456,709,23,15879,31
25-025-22326-00-00,4/30/2025 12:00:00 AM,Siluro-Ordovician,456,732,21,15935,30
25-025-22326-00-00,3/31/2025 12:00:00 AM,Siluro-Ordovician,456,848,59,17147,31
25-025-22326-00-00,2/28/2025 12:00:00 AM,Siluro-Ordovician,456,700,60,12708,28
25-025-22326-00-00,1/31/2025 12:00:00 AM,Siluro-Ordovician,456,782,322,14109,31
25-025-22326-00-00,12/31/2024 12:00:00 AM,Siluro-Ordovician,456,842,313,15075,31
25-025-22326-00-00,11/30/2024 12:00:00 AM,Siluro-Ordovician,456,805,327,14997,30
25-025-22326-00-00,10/31/2024 12:00:00 AM,Siluro-Ordovician,456,852,318,14098,31
25-025-22326-00-00,9/30/2024 12:00:00 AM,Siluro-Ordovician,456,784,291,12840,30
25-025-22326-00-00,8/31/2024 12:00:00 AM,Siluro-Ordovician,456,894,0,11888,31
25-025-22326-00-00,7/31/2024 12:00:00 AM,Siluro-Ordovician,456,992,0,11769,31
25-025-22326-00-00,6/30/2024 12:00:00 AM,Siluro-Ordovician,456,794,0,10617,30
25-025-22326-00-00,5/31/2024 12:00:00 AM,Siluro-Ordovician,456,819,0,13063,31
25-025-22326-00-00,4/30/2024 12:00:00 AM,Siluro-Ordovician,456,284,0,4386,11
25-025-22326-00-00,3/31/2024 12:00:00 AM,Siluro-Ordovician,456,797,0,10500,28
25-025-22326-00-00,2/29/2024 12:00:00 AM,Siluro-Ordovician,456,837,0,11085,29
25-025-22326-00-00,1/31/2024 12:00:00 AM,Siluro-Ordovician,456,834,0,10964,31
25-025-22326-00-00,12/31/2023 12:00:00 AM,Siluro-Ordovician,456,977,0,13048,31
25-025-22326-00-00,11/30/2023 12:00:00 AM,Siluro-Ordovician,456,964,0,12046,30
25-025-22326-00-00,10/31/2023 12:00:00 AM,Siluro-Ordovician,456,924,0,13351,31
25-025-22326-00-00,9/30/2023 12:00:00 AM,Siluro-Ordovician,456,585,0,8344,20
25-025-22326-00-00,8/31/2023 12:00:00 AM,Siluro-Ordovician,456,513,0,7621,20
25-025-22326-00-00,7/31/2023 12:00:00 AM,Siluro-Ordovician,456,881,0,12504,31
25-025-22326-00-00,6/30/2023 12:00:00 AM,Siluro-Ordovician,456,856,0,12463,30
25-025-22326-00-00,5/31/2023 12:00:00 AM,Siluro-Ordovician,456,915,0,12902,30
25-025-22326-00-00,4/30/2023 12:00:00 AM,Siluro-Ordovician,456,911,0,13088,30
25-025-22326-00-00,3/31/2023 12:00:00 AM,Siluro-Ordovician,456,883,0,13501,31
25-025-22326-00-00,2/28/2023 12:00:00 AM,Siluro-Ordovician,456,777,0,11443,28
25-025-22326-00-00,1/31/2023 12:00:00 AM,Siluro-Ordovician,456,865,0,12474,31
25-025-22326-00-00,12/31/2022 12:00:00 AM,Siluro-Ordovician,456,858,0,12407,31
25-025-22326-00-00,11/30/2022 12:00:00 AM,Siluro-Ordovician,456,845,0,12093,30
25-025-22326-00-00,10/31/2022 12:00:00 AM,Siluro-Ordovician,456,952,0,12847,31
25-025-22326-00-00,9/30/2022 12:00:00 AM,Siluro-Ordovician,456,768,0,10831,26
25-025-22326-00-00,8/31/2022 12:00:00 AM,Siluro-Ordovician,456,696,0,9285,25
25-025-22326-00-00,7/31/2022 12:00:00 AM,Siluro-Ordovician,456,927,0,12428,31
25-025-22326-00-00,6/30/2022 12:00:00 AM,Siluro-Ordovician,456,964,0,13168,30
25-025-22326-00-00,5/31/2022 12:00:00 AM,Siluro-Ordovician,456,1002,0,13581,31
25-025-22326-00-00,4/30/2022 12:00:00 AM,Siluro-Ordovician,456,995,0,12505,30
25-025-22326-00-00,3/31/2022 12:00:00 AM,Siluro-Ordovician,456,1014,0,13468,31
25-025-22326-00-00,2/28/2022 12:00:00 AM,Siluro-Ordovician,456,843,0,10694,28
25-025-22326-00-00,1/31/2022 12:00:00 AM,Siluro-Ordovician,456,995,0,11679,31
25-025-22326-00-00,12/31/2021 12:00:00 AM,Siluro-Ordovician,456,1015,0,12744,31
25-025-22326-00-00,11/30/2021 12:00:00 AM,Siluro-Ordovician,456,1016,0,12657,30
25-025-22326-00-00,10/31/2021 12:00:00 AM,Siluro-Ordovician,456,978,0,11795,31
25-025-22326-00-00,9/30/2021 12:00:00 AM,Siluro-Ordovician,456,1010,0,10781,30
25-025-22326-00-00,8/31/2021 12:00:00 AM,Siluro-Ordovician,456,999,0,11669,31
25-025-22326-00-00,7/31/2021 12:00:00 AM,Siluro-Ordovician,456,991,0,10384,31
25-025-22326-00-00,6/30/2021 12:00:00 AM,Siluro-Ordovician,456,923,0,10832,30
25-025-22326-00-00,5/31/2021 12:00:00 AM,Siluro-Ordovician,456,966,0,10693,31
25-025-22326-00-00,4/30/2021 12:00:00 AM,Siluro-Ordovician,456,968,0,11369,30
25-025-22326-00-00,3/31/2021 12:00:00 AM,Siluro-Ordovician,456,1074,0,10887,31
25-025-22326-00-00,2/28/2021 12:00:00 AM,Siluro-Ordovician,456,461,0,5471,15
25-025-22326-00-00,1/31/2021 12:00:00 AM,Siluro-Ordovician,456,1043,0,11868,31
25-025-22326-00-00,12/31/2020 12:00:00 AM,Siluro-Ordovician,456,1067,85,12242,31
25-025-22326-00-00,11/30/2020 12:00:00 AM,Siluro-Ordovician,456,1010,202,11438,30
25-025-22326-00-00,10/31/2020 12:00:00 AM,Siluro-Ordovician,456,1030,214,11923,31
25-025-22326-00-00,9/30/2020 12:00:00 AM,Siluro-Ordovician,456,976,244,11037,30
25-025-22326-00-00,8/31/2020 12:00:00 AM,Siluro-Ordovician,456,1006,129,12194,31
25-025-22326-00-00,7/31/2020 12:00:00 AM,Siluro-Ordovician,456,983,73,12579,31
25-025-22326-00-00,6/30/2020 12:00:00 AM,Siluro-Ordovician,456,872,116,11919,30
25-025-22326-00-00,5/31/2020 12:00:00 AM,Siluro-Ordovician,456,1011,79,12494,31
25-025-22326-00-00,4/30/2020 12:00:00 AM,Siluro-Ordovician,456,979,104,12976,30
25-025-22326-00-00,3/31/2020 12:00:00 AM,Siluro-Ordovician,456,915,70,11525,31
25-025-22326-00-00,2/29/2020 12:00:00 AM,Siluro-Ordovician,456,883,80,10172,29
25-025-22326-00-00,1/31/2020 12:00:00 AM,Siluro-Ordovician,456,801,105,10073,31
25-025-22326-00-00,12/31/2019 12:00:00 AM,Siluro-Ordovician,456,775,57,9757,31
25-025-22326-00-00,11/30/2019 12:00:00 AM,Siluro-Ordovician,456,874,77,9577,30
25-025-22326-00-00,10/31/2019 12:00:00 AM,Siluro-Ordovician,456,1021,67,9766,31
25-025-22326-00-00,9/30/2019 12:00:00 AM,Siluro-Ordovician,456,620,180,7734,26
25-025-22326-00-00,8/31/2019 12:00:00 AM,Siluro-Ordovician,456,239,186,1911,17
25-025-22326-00-00,7/31/2019 12:00:00 AM,Siluro-Ordovician,456,585,468,4363,31
25-025-22326-00-00,6/30/2019 12:00:00 AM,Siluro-Ordovician,456,552,460,4976,30
25-025-22326-00-00,5/31/2019 12:00:00 AM,Siluro-Ordovician,456,603,398,4859,31
25-025-22326-00-00,4/30/2019 12:00:00 AM,Siluro-Ordovician,456,570,381,4688,30
25-025-22326-00-00,3/31/2019 12:00:00 AM,Siluro-Ordovician,456,783,578,6344,31
25-025-22326-00-00,2/28/2019 12:00:00 AM,Siluro-Ordovician,456,782,589,6824,28
25-025-22326-00-00,1/31/2019 12:00:00 AM,Siluro-Ordovician,456,866,619,5621,31
25-025-22326-00-00,12/31/2018 12:00:00 AM,Siluro-Ordovician,456,1116,640,6307,31
25-025-22326-00-00,11/30/2018 12:00:00 AM,Siluro-Ordovician,456,1221,113,9877,29
25-025-22326-00-00,10/31/2018 12:00:00 AM,Siluro-Ordovician,456,1211,276,11438,28
25-025-22326-00-00,9/30/2018 12:00:00 AM,Siluro-Ordovician,456,1258,53,13209,30
25-025-22326-00-00,8/31/2018 12:00:00 AM,Siluro-Ordovician,456,1174,107,13865,31
25-025-22326-00-00,7/31/2018 12:00:00 AM,Siluro-Ordovician,456,844,333,8766,22
25-025-22326-00-00,6/30/2018 12:00:00 AM,Siluro-Ordovician,456,1278,564,12511,30
25-025-22326-00-00,5/31/2018 12:00:00 AM,Siluro-Ordovician,456,1394,615,12955,31
25-025-22326-00-00,4/30/2018 12:00:00 AM,Siluro-Ordovician,456,1465,445,14254,30
25-025-22326-00-00,3/31/2018 12:00:00 AM,Siluro-Ordovician,456,1448,531,14225,30
25-025-22326-00-00,2/28/2018 12:00:00 AM,Siluro-Ordovician,456,1201,407,11191,26
25-025-22326-00-00,1/31/2018 12:00:00 AM,Siluro-Ordovician,456,1490,428,14743,31
25-025-22326-00-00,12/31/2017 12:00:00 AM,Siluro-Ordovician,456,1426,470,13220,29
25-025-22326-00-00,11/30/2017 12:00:00 AM,Siluro-Ordovician,456,1625,528,14409,30
25-025-22326-00-00,10/31/2017 12:00:00 AM,Siluro-Ordovician,456,1537,420,12856,30
25-025-22326-00-00,9/30/2017 12:00:00 AM,Siluro-Ordovician,456,1411,372,12367,29
25-025-22326-00-00,8/31/2017 12:00:00 AM,Siluro-Ordovician,456,1538,613,12010,31
25-025-22326-00-00,7/31/2017 12:00:00 AM,Siluro-Ordovician,456,1641,622,11018,31
