API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-10049-00-00,7/31/2025 12:00:00 AM,Cut Bank,102181,0,544,0,31
25-101-10049-00-00,6/30/2025 12:00:00 AM,Cut Bank,102181,0,454,0,30
25-101-10049-00-00,5/31/2025 12:00:00 AM,Cut Bank,102181,0,502,0,31
25-101-10049-00-00,4/30/2025 12:00:00 AM,Cut Bank,102181,0,502,0,30
25-101-10049-00-00,3/31/2025 12:00:00 AM,Cut Bank,102181,0,552,0,31
25-101-10049-00-00,2/28/2025 12:00:00 AM,Cut Bank,102181,0,418,0,28
25-101-10049-00-00,1/31/2025 12:00:00 AM,Cut Bank,102181,0,459,0,31
25-101-10049-00-00,12/31/2024 12:00:00 AM,Cut Bank,102181,0,452,0,31
25-101-10049-00-00,11/30/2024 12:00:00 AM,Cut Bank,102181,0,452,0,30
25-101-10049-00-00,10/31/2024 12:00:00 AM,Cut Bank,102181,0,475,0,31
25-101-10049-00-00,9/30/2024 12:00:00 AM,Cut Bank,102181,0,501,0,30
25-101-10049-00-00,8/31/2024 12:00:00 AM,Cut Bank,102181,0,526,0,31
25-101-10049-00-00,7/31/2024 12:00:00 AM,Cut Bank,102181,0,409,0,31
25-101-10049-00-00,6/30/2024 12:00:00 AM,Cut Bank,102181,0,390,0,30
25-101-10049-00-00,5/31/2024 12:00:00 AM,Cut Bank,102181,0,386,0,31
25-101-10049-00-00,4/30/2024 12:00:00 AM,Cut Bank,102181,0,401,0,30
25-101-10049-00-00,3/31/2024 12:00:00 AM,Cut Bank,102181,0,405,0,31
25-101-10049-00-00,2/29/2024 12:00:00 AM,Cut Bank,102181,0,415,0,29
25-101-10049-00-00,1/31/2024 12:00:00 AM,Cut Bank,102181,0,478,0,31
25-101-10049-00-00,12/31/2023 12:00:00 AM,Cut Bank,102181,0,546,0,31
25-101-10049-00-00,11/30/2023 12:00:00 AM,Cut Bank,102181,0,553,0,30
25-101-10049-00-00,10/31/2023 12:00:00 AM,Cut Bank,102181,0,432,0,31
25-101-10049-00-00,9/30/2023 12:00:00 AM,Cut Bank,102181,0,571,0,30
25-101-10049-00-00,8/31/2023 12:00:00 AM,Cut Bank,102181,0,590,0,31
25-101-10049-00-00,7/31/2023 12:00:00 AM,Cut Bank,102181,0,618,0,31
25-101-10049-00-00,6/30/2023 12:00:00 AM,Cut Bank,102181,0,514,0,30
25-101-10049-00-00,5/31/2023 12:00:00 AM,Cut Bank,102181,0,536,0,31
25-101-10049-00-00,4/30/2023 12:00:00 AM,Cut Bank,102181,0,419,0,30
25-101-10049-00-00,3/31/2023 12:00:00 AM,Cut Bank,102181,0,428,0,31
25-101-10049-00-00,2/28/2023 12:00:00 AM,Cut Bank,102181,0,398,0,28
25-101-10049-00-00,1/31/2023 12:00:00 AM,Cut Bank,102181,0,465,0,31
25-101-10049-00-00,12/31/2022 12:00:00 AM,Cut Bank,102181,0,493,0,31
25-101-10049-00-00,11/30/2022 12:00:00 AM,Cut Bank,102181,0,437,0,30
25-101-10049-00-00,10/31/2022 12:00:00 AM,Cut Bank,102181,0,473,0,31
25-101-10049-00-00,9/30/2022 12:00:00 AM,Cut Bank,102181,0,0,0,0
25-101-10049-00-00,8/31/2022 12:00:00 AM,Cut Bank,102181,0,364,0,31
25-101-10049-00-00,7/31/2022 12:00:00 AM,Cut Bank,102181,0,392,0,31
25-101-10049-00-00,6/30/2022 12:00:00 AM,Cut Bank,102181,0,314,0,30
25-101-10049-00-00,5/31/2022 12:00:00 AM,Cut Bank,102181,0,427,0,31
25-101-10049-00-00,4/30/2022 12:00:00 AM,Cut Bank,102181,0,446,0,30
