API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-105-21490-00-00,10/31/2009 12:00:00 AM,Charles C,8036,-61,0,0,1
25-105-21490-00-00,9/30/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,8/31/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,7/31/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,6/30/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,5/31/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,4/30/2009 12:00:00 AM,Charles C,8036,0,0,0,0
25-105-21490-00-00,3/31/2009 12:00:00 AM,Charles C,8036,3,0,0,1
25-105-21490-00-00,2/28/2009 12:00:00 AM,Charles C,8036,66,0,0,3
25-105-21490-00-00,1/31/2009 12:00:00 AM,Charles C,8036,56,0,420,12
25-105-21490-00-00,12/31/2008 12:00:00 AM,Charles C,8036,115,0,1085,31
25-105-21490-00-00,11/30/2008 12:00:00 AM,Charles C,8036,107,0,1050,30
25-105-21490-00-00,10/31/2008 12:00:00 AM,Charles C,8036,94,0,1085,31
25-105-21490-00-00,9/30/2008 12:00:00 AM,Charles C,8036,111,0,1050,30
25-105-21490-00-00,8/31/2008 12:00:00 AM,Charles C,8036,110,0,1085,31
25-105-21490-00-00,7/31/2008 12:00:00 AM,Charles C,8036,107,0,1085,31
25-105-21490-00-00,6/30/2008 12:00:00 AM,Charles C,8036,95,0,770,23
25-105-21490-00-00,5/31/2008 12:00:00 AM,Charles C,8036,110,0,1085,31
25-105-21490-00-00,4/30/2008 12:00:00 AM,Charles C,8036,96,0,1153,30
25-105-21490-00-00,3/31/2008 12:00:00 AM,Charles C,8036,112,0,1364,31
25-105-21490-00-00,2/29/2008 12:00:00 AM,Charles C,8036,112,0,1276,29
25-105-21490-00-00,1/31/2008 12:00:00 AM,Charles C,8036,109,0,1364,31
25-105-21490-00-00,12/31/2007 12:00:00 AM,Charles C,7514,128,0,1364,31
25-105-21490-00-00,11/30/2007 12:00:00 AM,Charles C,7514,70,0,1320,30
25-105-21490-00-00,10/31/2007 12:00:00 AM,Charles C,7514,113,0,1364,31
25-105-21490-00-00,9/30/2007 12:00:00 AM,Charles C,7514,112,0,1320,30
25-105-21490-00-00,8/31/2007 12:00:00 AM,Charles C,7514,120,0,1547,31
25-105-21490-00-00,7/31/2007 12:00:00 AM,Charles C,7514,114,0,1829,31
25-105-21490-00-00,6/30/2007 12:00:00 AM,Charles C,7514,122,0,1770,30
25-105-21490-00-00,5/31/2007 12:00:00 AM,Charles C,7514,128,0,1947,31
25-105-21490-00-00,4/30/2007 12:00:00 AM,Charles C,7514,135,0,1816,30
25-105-21490-00-00,3/31/2007 12:00:00 AM,Charles C,7514,97,0,2984,31
25-105-21490-00-00,2/28/2007 12:00:00 AM,Charles C,7514,283,0,3337,28
25-105-21490-00-00,1/31/2007 12:00:00 AM,Charles C,7514,143,0,1481,26
25-105-21490-00-00,12/31/2006 12:00:00 AM,Charles C,7514,75,0,780,18
25-105-21490-00-00,11/30/2006 12:00:00 AM,Charles C,7514,25,0,222,8
