API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-23376-00-00,7/31/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,6/30/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,5/31/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/28/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2025 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,9/30/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,8/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,7/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,6/30/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,5/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/29/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2024 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,9/30/2023 12:00:00 AM,Eagle,7603,0,4,0,1
25-041-23376-00-00,8/31/2023 12:00:00 AM,Eagle,7603,0,1,0,1
25-041-23376-00-00,7/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,6/30/2023 12:00:00 AM,Eagle,7603,0,3,27,1
25-041-23376-00-00,5/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/28/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2023 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,9/30/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,8/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,7/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,6/30/2022 12:00:00 AM,Eagle,7603,0,237,515,21
25-041-23376-00-00,5/31/2022 12:00:00 AM,Eagle,7603,0,130,494,20
25-041-23376-00-00,4/30/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/28/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2022 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,9/30/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,8/31/2021 12:00:00 AM,Eagle,7603,0,174,458,18
25-041-23376-00-00,7/31/2021 12:00:00 AM,Eagle,7603,0,253,775,31
25-041-23376-00-00,6/30/2021 12:00:00 AM,Eagle,7603,0,35,146,6
25-041-23376-00-00,5/31/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/28/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2021 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2020 12:00:00 AM,Eagle,7603,0,6,130,1
25-041-23376-00-00,9/30/2020 12:00:00 AM,Eagle,7603,0,299,780,30
25-041-23376-00-00,8/31/2020 12:00:00 AM,Eagle,7603,0,289,800,31
25-041-23376-00-00,7/31/2020 12:00:00 AM,Eagle,7603,0,51,120,8
25-041-23376-00-00,6/30/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,5/31/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,3/31/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,2/29/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,1/31/2020 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,12/31/2019 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,11/30/2019 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,10/31/2019 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,9/30/2019 12:00:00 AM,Eagle,7603,0,149,300,13
25-041-23376-00-00,8/31/2019 12:00:00 AM,Eagle,7603,0,354,930,31
25-041-23376-00-00,7/31/2019 12:00:00 AM,Eagle,7603,0,143,100,14
25-041-23376-00-00,6/30/2019 12:00:00 AM,Eagle,7603,0,120,0,15
25-041-23376-00-00,5/31/2019 12:00:00 AM,Eagle,7603,0,0,0,0
25-041-23376-00-00,4/30/2019 12:00:00 AM,Eagle,7603,0,0,0,0
