API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22236-00-00,7/31/2025 12:00:00 AM,Bakken,10259,0,0,0,0
25-083-22236-00-00,6/30/2025 12:00:00 AM,Bakken,10259,164,170,31,28
25-083-22236-00-00,5/31/2025 12:00:00 AM,Bakken,10259,153,152,55,31
25-083-22236-00-00,4/30/2025 12:00:00 AM,Bakken,10259,241,302,64,30
25-083-22236-00-00,3/31/2025 12:00:00 AM,Bakken,10259,269,346,54,31
25-083-22236-00-00,2/28/2025 12:00:00 AM,Bakken,10259,266,294,63,28
25-083-22236-00-00,1/31/2025 12:00:00 AM,Bakken,10259,332,350,98,31
25-083-22236-00-00,12/31/2024 12:00:00 AM,Bakken,10259,204,251,47,31
25-083-22236-00-00,11/30/2024 12:00:00 AM,Bakken,10259,192,245,38,30
25-083-22236-00-00,10/31/2024 12:00:00 AM,Bakken,10259,192,271,45,31
25-083-22236-00-00,9/30/2024 12:00:00 AM,Bakken,10259,184,243,25,30
25-083-22236-00-00,8/31/2024 12:00:00 AM,Bakken,10259,207,289,40,31
25-083-22236-00-00,7/31/2024 12:00:00 AM,Bakken,10259,195,507,86,31
25-083-22236-00-00,6/30/2024 12:00:00 AM,Bakken,10259,239,465,70,30
25-083-22236-00-00,5/31/2024 12:00:00 AM,Bakken,10259,213,494,79,31
25-083-22236-00-00,4/30/2024 12:00:00 AM,Bakken,10259,201,509,75,30
25-083-22236-00-00,3/31/2024 12:00:00 AM,Bakken,10259,232,518,79,31
25-083-22236-00-00,2/29/2024 12:00:00 AM,Bakken,10259,191,475,71,29
25-083-22236-00-00,1/31/2024 12:00:00 AM,Bakken,10259,221,453,78,31
25-083-22236-00-00,12/31/2023 12:00:00 AM,Bakken,10259,225,574,140,31
25-083-22236-00-00,11/30/2023 12:00:00 AM,Bakken,10259,229,631,260,30
25-083-22236-00-00,10/31/2023 12:00:00 AM,Bakken,10259,243,652,273,31
25-083-22236-00-00,9/30/2023 12:00:00 AM,Bakken,10259,260,594,299,30
25-083-22236-00-00,8/31/2023 12:00:00 AM,Bakken,10259,228,671,267,31
25-083-22236-00-00,7/31/2023 12:00:00 AM,Bakken,10259,231,679,265,31
25-083-22236-00-00,6/30/2023 12:00:00 AM,Bakken,10259,203,583,92,30
25-083-22236-00-00,5/31/2023 12:00:00 AM,Bakken,10259,153,407,43,31
25-083-22236-00-00,4/30/2023 12:00:00 AM,Bakken,10259,234,575,109,30
25-083-22236-00-00,3/31/2023 12:00:00 AM,Bakken,10259,251,579,124,31
25-083-22236-00-00,2/28/2023 12:00:00 AM,Bakken,10259,247,531,116,28
25-083-22236-00-00,1/31/2023 12:00:00 AM,Bakken,10259,208,398,151,20
25-083-22236-00-00,12/31/2022 12:00:00 AM,Bakken,10259,0,0,0,0
25-083-22236-00-00,11/30/2022 12:00:00 AM,Bakken,10259,189,452,88,22
25-083-22236-00-00,10/31/2022 12:00:00 AM,Bakken,10259,244,643,120,28
25-083-22236-00-00,9/30/2022 12:00:00 AM,Bakken,10259,237,602,108,30
25-083-22236-00-00,8/31/2022 12:00:00 AM,Bakken,10259,234,588,98,31
25-083-22236-00-00,7/31/2022 12:00:00 AM,Bakken,10259,224,586,96,31
25-083-22236-00-00,6/30/2022 12:00:00 AM,Bakken,10259,276,597,114,30
25-083-22236-00-00,5/31/2022 12:00:00 AM,Bakken,10259,144,412,50,31
25-083-22236-00-00,4/30/2022 12:00:00 AM,Bakken,10259,230,518,102,30
25-083-22236-00-00,3/31/2022 12:00:00 AM,Bakken,10259,236,572,94,31
25-083-22236-00-00,2/28/2022 12:00:00 AM,Bakken,10259,227,532,92,28
25-083-22236-00-00,1/31/2022 12:00:00 AM,Bakken,10259,266,593,112,31
25-083-22236-00-00,12/31/2021 12:00:00 AM,Bakken,10259,282,604,115,31
25-083-22236-00-00,11/30/2021 12:00:00 AM,Bakken,10259,246,559,109,30
25-083-22236-00-00,10/31/2021 12:00:00 AM,Bakken,10259,240,571,98,31
25-083-22236-00-00,9/30/2021 12:00:00 AM,Bakken,10259,189,536,77,27
25-083-22236-00-00,8/31/2021 12:00:00 AM,Bakken,10259,232,589,114,31
25-083-22236-00-00,7/31/2021 12:00:00 AM,Bakken,10259,231,597,117,31
25-083-22236-00-00,6/30/2021 12:00:00 AM,Bakken,10259,224,566,116,30
25-083-22236-00-00,5/31/2021 12:00:00 AM,Bakken,10259,259,597,121,31
25-083-22236-00-00,4/30/2021 12:00:00 AM,Bakken,10259,252,598,117,30
25-083-22236-00-00,3/31/2021 12:00:00 AM,Bakken,10259,263,618,131,31
25-083-22236-00-00,2/28/2021 12:00:00 AM,Bakken,10259,264,561,131,28
25-083-22236-00-00,1/31/2021 12:00:00 AM,Bakken,10259,298,640,188,31
