API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22288-00-00,7/31/2025 12:00:00 AM,Judith River,2356,0,13,0,24
25-005-22288-00-00,6/30/2025 12:00:00 AM,Judith River,2356,0,12,0,23
25-005-22288-00-00,5/31/2025 12:00:00 AM,Judith River,2356,0,11,0,26
25-005-22288-00-00,4/30/2025 12:00:00 AM,Judith River,2356,0,11,0,27
25-005-22288-00-00,3/31/2025 12:00:00 AM,Judith River,2356,0,13,0,30
25-005-22288-00-00,2/28/2025 12:00:00 AM,Judith River,2356,0,22,0,27
25-005-22288-00-00,1/31/2025 12:00:00 AM,Judith River,2356,0,18,0,30
25-005-22288-00-00,12/31/2024 12:00:00 AM,Judith River,2356,0,17,0,31
25-005-22288-00-00,11/30/2024 12:00:00 AM,Judith River,2356,0,17,0,30
25-005-22288-00-00,10/31/2024 12:00:00 AM,Judith River,2356,0,14,0,31
25-005-22288-00-00,9/30/2024 12:00:00 AM,Judith River,2356,0,13,0,29
25-005-22288-00-00,8/31/2024 12:00:00 AM,Judith River,2356,0,13,0,29
25-005-22288-00-00,7/31/2024 12:00:00 AM,Judith River,2356,0,14,0,25
25-005-22288-00-00,6/30/2024 12:00:00 AM,Judith River,2356,0,13,0,25
25-005-22288-00-00,5/31/2024 12:00:00 AM,Judith River,2356,0,13,0,30
25-005-22288-00-00,4/30/2024 12:00:00 AM,Judith River,2356,0,14,0,30
25-005-22288-00-00,3/31/2024 12:00:00 AM,Judith River,2356,0,19,0,31
25-005-22288-00-00,2/29/2024 12:00:00 AM,Judith River,2356,0,18,0,29
25-005-22288-00-00,1/31/2024 12:00:00 AM,Judith River,2356,0,23,0,30
25-005-22288-00-00,12/31/2023 12:00:00 AM,Judith River,2356,0,16,0,31
25-005-22288-00-00,11/30/2023 12:00:00 AM,Judith River,2356,0,16,0,30
25-005-22288-00-00,10/31/2023 12:00:00 AM,Judith River,2356,0,17,0,31
25-005-22288-00-00,9/30/2023 12:00:00 AM,Judith River,2356,0,16,0,30
25-005-22288-00-00,8/31/2023 12:00:00 AM,Judith River,2356,0,16,0,31
25-005-22288-00-00,7/31/2023 12:00:00 AM,Judith River,2356,0,15,0,28
25-005-22288-00-00,6/30/2023 12:00:00 AM,Judith River,2356,0,14,0,26
25-005-22288-00-00,5/31/2023 12:00:00 AM,Judith River,2356,0,15,0,30
25-005-22288-00-00,4/30/2023 12:00:00 AM,Judith River,2356,0,17,0,30
25-005-22288-00-00,3/31/2023 12:00:00 AM,Judith River,2356,0,21,0,31
25-005-22288-00-00,2/28/2023 12:00:00 AM,Judith River,2356,0,21,0,28
