API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22975-00-00,7/31/2025 12:00:00 AM,Eagle,600,0,138,186,31
25-005-22975-00-00,6/30/2025 12:00:00 AM,Eagle,600,0,131,174,29
25-005-22975-00-00,5/31/2025 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,4/30/2025 12:00:00 AM,Eagle,600,0,124,141,23
25-005-22975-00-00,3/31/2025 12:00:00 AM,Eagle,600,0,135,186,31
25-005-22975-00-00,2/28/2025 12:00:00 AM,Eagle,600,0,126,164,27
25-005-22975-00-00,1/31/2025 12:00:00 AM,Eagle,600,0,72,152,25
25-005-22975-00-00,12/31/2024 12:00:00 AM,Eagle,600,0,122,186,31
25-005-22975-00-00,11/30/2024 12:00:00 AM,Eagle,600,0,167,180,30
25-005-22975-00-00,10/31/2024 12:00:00 AM,Eagle,600,0,210,186,31
25-005-22975-00-00,9/30/2024 12:00:00 AM,Eagle,600,0,76,54,9
25-005-22975-00-00,8/31/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,7/31/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,6/30/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,5/31/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,4/30/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,3/31/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,2/29/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,1/31/2024 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,12/31/2023 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,11/30/2023 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,10/31/2023 12:00:00 AM,Eagle,600,0,0,0,0
25-005-22975-00-00,9/30/2023 12:00:00 AM,Eagle,600,0,113,125,21
25-005-22975-00-00,8/31/2023 12:00:00 AM,Eagle,600,0,214,186,31
25-005-22975-00-00,7/31/2023 12:00:00 AM,Eagle,600,0,213,186,31
25-005-22975-00-00,6/30/2023 12:00:00 AM,Eagle,600,0,194,180,30
25-005-22975-00-00,5/31/2023 12:00:00 AM,Eagle,600,0,184,186,31
25-005-22975-00-00,4/30/2023 12:00:00 AM,Eagle,600,0,186,168,28
