API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22367-00-00,7/31/2025 12:00:00 AM,Bakken,10295,209,286,38,31
25-083-22367-00-00,6/30/2025 12:00:00 AM,Bakken,10295,219,202,60,30
25-083-22367-00-00,5/31/2025 12:00:00 AM,Bakken,10295,134,145,33,23
25-083-22367-00-00,4/30/2025 12:00:00 AM,Bakken,10295,193,224,55,30
25-083-22367-00-00,3/31/2025 12:00:00 AM,Bakken,10295,182,64,38,31
25-083-22367-00-00,2/28/2025 12:00:00 AM,Bakken,10295,182,29,40,21
25-083-22367-00-00,1/31/2025 12:00:00 AM,Bakken,10295,207,158,47,29
25-083-22367-00-00,12/31/2024 12:00:00 AM,Bakken,10295,226,199,50,31
25-083-22367-00-00,11/30/2024 12:00:00 AM,Bakken,10295,151,142,32,30
25-083-22367-00-00,10/31/2024 12:00:00 AM,Bakken,10295,204,172,62,31
25-083-22367-00-00,9/30/2024 12:00:00 AM,Bakken,10295,190,196,50,30
25-083-22367-00-00,8/31/2024 12:00:00 AM,Bakken,10295,192,260,58,31
25-083-22367-00-00,7/31/2024 12:00:00 AM,Bakken,10295,203,236,40,31
25-083-22367-00-00,6/30/2024 12:00:00 AM,Bakken,10295,227,176,48,30
25-083-22367-00-00,5/31/2024 12:00:00 AM,Bakken,10295,174,182,53,31
25-083-22367-00-00,4/30/2024 12:00:00 AM,Bakken,10295,213,229,63,30
25-083-22367-00-00,3/31/2024 12:00:00 AM,Bakken,10295,211,184,42,31
25-083-22367-00-00,2/29/2024 12:00:00 AM,Bakken,10295,211,213,45,29
25-083-22367-00-00,1/31/2024 12:00:00 AM,Bakken,10295,244,150,55,30
25-083-22367-00-00,12/31/2023 12:00:00 AM,Bakken,10295,203,145,56,30
25-083-22367-00-00,11/30/2023 12:00:00 AM,Bakken,10295,224,158,58,30
25-083-22367-00-00,10/31/2023 12:00:00 AM,Bakken,10295,273,169,37,29
25-083-22367-00-00,9/30/2023 12:00:00 AM,Bakken,10295,154,265,47,28
25-083-22367-00-00,8/31/2023 12:00:00 AM,Bakken,10295,223,343,50,31
25-083-22367-00-00,7/31/2023 12:00:00 AM,Bakken,10295,222,344,53,31
25-083-22367-00-00,6/30/2023 12:00:00 AM,Bakken,10295,224,348,63,30
25-083-22367-00-00,5/31/2023 12:00:00 AM,Bakken,10295,179,244,42,23
25-083-22367-00-00,4/30/2023 12:00:00 AM,Bakken,10295,212,264,52,30
25-083-22367-00-00,3/31/2023 12:00:00 AM,Bakken,10295,214,251,48,31
25-083-22367-00-00,2/28/2023 12:00:00 AM,Bakken,10295,211,263,60,28
25-083-22367-00-00,1/31/2023 12:00:00 AM,Bakken,10295,211,289,58,31
25-083-22367-00-00,12/31/2022 12:00:00 AM,Bakken,10295,261,272,27,31
25-083-22367-00-00,11/30/2022 12:00:00 AM,Bakken,10295,217,322,90,30
25-083-22367-00-00,10/31/2022 12:00:00 AM,Bakken,10295,242,361,63,31
25-083-22367-00-00,9/30/2022 12:00:00 AM,Bakken,10295,236,366,60,30
25-083-22367-00-00,8/31/2022 12:00:00 AM,Bakken,10295,251,367,72,31
