"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003050570000","Soap Creek Associates, Inc.","Alden  5","Oil","Producing","Big Horn","Soap Creek","6S-32E","34",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-05057-00-00","6/30/2025 12:00:00 AM","Madison","51","60","0","6816","30",
"25-003-05057-00-00","5/31/2025 12:00:00 AM","Madison","51","78","0","6694","31",
"25-003-05057-00-00","4/30/2025 12:00:00 AM","Madison","51","76","0","6505","30",
"25-003-05057-00-00","3/31/2025 12:00:00 AM","Madison","51","42","0","3587","31",
"25-003-05057-00-00","2/28/2025 12:00:00 AM","Madison","51","10","0","893","28",
"25-003-05057-00-00","1/31/2025 12:00:00 AM","Madison","51","143","0","12238","31",
"25-003-05057-00-00","12/31/2024 12:00:00 AM","Madison","51","76","0","6505","31",
"25-003-05057-00-00","11/30/2024 12:00:00 AM","Madison","51","75","0","6402","30",
"25-003-05057-00-00","10/31/2024 12:00:00 AM","Madison","51","79","0","6780","31",
"25-003-05057-00-00","9/30/2024 12:00:00 AM","Madison","51","61","0","6752","30",
"25-003-05057-00-00","8/31/2024 12:00:00 AM","Madison","51","63","0","6893","31",
"25-003-05057-00-00","7/31/2024 12:00:00 AM","Madison","51","64","0","6998","31",
"25-003-05057-00-00","6/30/2024 12:00:00 AM","Madison","51","60","0","6594","30",
"25-003-05057-00-00","5/31/2024 12:00:00 AM","Madison","51","61","0","6682","31",
"25-003-05057-00-00","4/30/2024 12:00:00 AM","Madison","51","62","0","6120","30",
"25-003-05057-00-00","3/31/2024 12:00:00 AM","Madison","51","52","0","5147","31",
"25-003-05057-00-00","2/29/2024 12:00:00 AM","Madison","51","66","0","6434","29",
"25-003-05057-00-00","1/31/2024 12:00:00 AM","Madison","51","51","0","5037","31",
"25-003-05057-00-00","12/31/2023 12:00:00 AM","Madison","51","76","0","7438","31",
"25-003-05057-00-00","11/30/2023 12:00:00 AM","Madison","51","64","0","6308","30",
"25-003-05057-00-00","10/31/2023 12:00:00 AM","Madison","51","46","0","5065","31",
"25-003-05057-00-00","9/30/2023 12:00:00 AM","Madison","51","46","0","5102","30",
"25-003-05057-00-00","8/31/2023 12:00:00 AM","Madison","51","47","0","5175","31",
"25-003-05057-00-00","7/31/2023 12:00:00 AM","Madison","51","46","0","5090","31",
"25-003-05057-00-00","6/30/2023 12:00:00 AM","Madison","51","46","0","5077","30",
"25-003-05057-00-00","5/31/2023 12:00:00 AM","Madison","51","46","0","5090","31",
"25-003-05057-00-00","4/30/2023 12:00:00 AM","Madison","51","42","0","5665","30",
"25-003-05057-00-00","3/31/2023 12:00:00 AM","Madison","51","43","0","5845","31",
"25-003-05057-00-00","2/28/2023 12:00:00 AM","Madison","51","41","0","5546","28",
"25-003-05057-00-00","1/31/2023 12:00:00 AM","Madison","51","46","0","6250","31",
"25-003-05057-00-00","12/31/2022 12:00:00 AM","Madison","51","47","0","6415","31",
"25-003-05057-00-00","11/30/2022 12:00:00 AM","Madison","51","73","0","6574","30",
"25-003-05057-00-00","10/31/2022 12:00:00 AM","Madison","51","75","0","6784","31",
"25-003-05057-00-00","9/30/2022 12:00:00 AM","Madison","51","70","0","6331","31",
"25-003-05057-00-00","8/31/2022 12:00:00 AM","Madison","51","74","0","6655","31",
"25-003-05057-00-00","7/31/2022 12:00:00 AM","Madison","51","73","0","6525","31",
"25-003-05057-00-00","6/30/2022 12:00:00 AM","Madison","51","72","0","6476","30",
"25-003-05057-00-00","5/31/2022 12:00:00 AM","Madison","51","44","0","4067","31",
"25-003-05057-00-00","4/30/2022 12:00:00 AM","Madison","51","41","0","3735","30",
"25-003-05057-00-00","3/31/2022 12:00:00 AM","Madison","51","35","0","3201","31",
"25-003-05057-00-00","2/28/2022 12:00:00 AM","Madison","51","42","0","3876","28",
"25-003-05057-00-00","1/31/2022 12:00:00 AM","Madison","51","50","0","0","31",
"25-003-05057-00-00","12/31/2021 12:00:00 AM","Madison","51","49","0","4520","31",
"25-003-05057-00-00","11/30/2021 12:00:00 AM","Madison","51","47","0","4269","30",
"25-003-05057-00-00","10/31/2021 12:00:00 AM","Madison","51","50","0","6413","31",
"25-003-05057-00-00","9/30/2021 12:00:00 AM","Madison","51","49","0","6259","30",
"25-003-05057-00-00","8/31/2021 12:00:00 AM","Madison","51","49","0","6287","31",
"25-003-05057-00-00","7/31/2021 12:00:00 AM","Madison","51","38","0","4897","31",
"25-003-05057-00-00","6/30/2021 12:00:00 AM","Madison","51","54","0","6918","30",
"25-003-05057-00-00","5/31/2021 12:00:00 AM","Madison","51","95","0","5640","30",
"25-003-05057-00-00","4/30/2021 12:00:00 AM","Madison","51","93","0","5561","30",
"25-003-05057-00-00","3/31/2021 12:00:00 AM","Madison","51","85","0","5089","31",
"25-003-05057-00-00","2/28/2021 12:00:00 AM","Madison","51","77","0","4604","28",
"25-003-05057-00-00","1/31/2021 12:00:00 AM","Madison","51","89","0","5299","31",
"25-003-05057-00-00","12/31/2020 12:00:00 AM","Madison","51","90","0","4752","31",
"25-003-05057-00-00","11/30/2020 12:00:00 AM","Madison","51","82","0","4341","30",
"25-003-05057-00-00","10/31/2020 12:00:00 AM","Madison","51","77","0","4064","30",
"25-003-05057-00-00","9/30/2020 12:00:00 AM","Madison","51","88","0","4674","30",
"25-003-05057-00-00","8/31/2020 12:00:00 AM","Madison","51","86","0","4552","31",
"25-003-05057-00-00","7/31/2020 12:00:00 AM","Madison","51","76","0","4019","31",
"25-003-05057-00-00","6/30/2020 12:00:00 AM","Madison","51","76","0","3997","30",
"25-003-05057-00-00","5/31/2020 12:00:00 AM","Madison","51","9","0","654","31",
"25-003-05057-00-00","4/30/2020 12:00:00 AM","Madison","51","20","0","1403","30",
"25-003-05057-00-00","3/31/2020 12:00:00 AM","Madison","51","75","0","5243","31",
"25-003-05057-00-00","2/29/2020 12:00:00 AM","Madison","51","66","0","4578","29",
"25-003-05057-00-00","1/31/2020 12:00:00 AM","Madison","51","76","0","5339","31",
"25-003-05057-00-00","12/31/2019 12:00:00 AM","Madison","51","65","0","4554","31",
"25-003-05057-00-00","11/30/2019 12:00:00 AM","Madison","51","68","0","4696","30",
"25-003-05057-00-00","10/31/2019 12:00:00 AM","Madison","51","66","0","4637","31",
"25-003-05057-00-00","9/30/2019 12:00:00 AM","Madison","51","45","0","5148","30",
"25-003-05057-00-00","8/31/2019 12:00:00 AM","Madison","51","44","0","5136","31",
"25-003-05057-00-00","7/31/2019 12:00:00 AM","Madison","51","49","0","5686","31",
"25-003-05057-00-00","6/30/2019 12:00:00 AM","Madison","51","46","0","5335","30",
"25-003-05057-00-00","5/31/2019 12:00:00 AM","Madison","51","75","0","4652","31",
"25-003-05057-00-00","4/30/2019 12:00:00 AM","Madison","51","60","0","3741","30",
"25-003-05057-00-00","3/31/2019 12:00:00 AM","Madison","51","76","0","4758","31",
"25-003-05057-00-00","2/28/2019 12:00:00 AM","Madison","51","70","0","4366","28",
"25-003-05057-00-00","1/31/2019 12:00:00 AM","Madison","51","76","0","4726","31",
"25-003-05057-00-00","12/31/2018 12:00:00 AM","Madison","51","78","0","4864","31",
"25-003-05057-00-00","11/30/2018 12:00:00 AM","Madison","51","74","0","4567","31",
"25-003-05057-00-00","10/31/2018 12:00:00 AM","Madison","51","94","0","5839","31",
"25-003-05057-00-00","9/30/2018 12:00:00 AM","Madison","51","65","0","4037","30",
"25-003-05057-00-00","8/31/2018 12:00:00 AM","Madison","51","63","0","3953","31",
"25-003-05057-00-00","7/31/2018 12:00:00 AM","Madison","51","81","0","4991","31",
"25-003-05057-00-00","6/30/2018 12:00:00 AM","Madison, Amsden","51","85","0","5309","30",
"25-003-05057-00-00","5/31/2018 12:00:00 AM","Madison, Amsden","51","80","0","4959","31",
"25-003-05057-00-00","4/30/2018 12:00:00 AM","Madison, Amsden","51","90","0","20751","30",
"25-003-05057-00-00","3/31/2018 12:00:00 AM","Madison, Amsden","51","93","0","21544","31",
"25-003-05057-00-00","2/28/2018 12:00:00 AM","Madison, Amsden","51","84","0","19429","28",
"25-003-05057-00-00","1/31/2018 12:00:00 AM","Madison, Amsden","51","44","0","10089","30",
"25-003-05057-00-00","12/31/2017 12:00:00 AM","Madison, Amsden","51","91","0","21191","31",
"25-003-05057-00-00","11/30/2017 12:00:00 AM","Madison, Amsden","51","89","0","20707","30",
"25-003-05057-00-00","10/31/2017 12:00:00 AM","Madison, Amsden","51","96","0","22072","31",
"25-003-05057-00-00","9/30/2017 12:00:00 AM","Madison, Amsden","51","141","0","18585","30",
"25-003-05057-00-00","8/31/2017 12:00:00 AM","Madison, Amsden","51","152","0","19931","31",
"25-003-05057-00-00","7/31/2017 12:00:00 AM","Madison, Amsden","51","158","0","20814","31",
"25-003-05057-00-00","6/30/2017 12:00:00 AM","Madison, Amsden","51","156","0","20519","30",
"25-003-05057-00-00","5/31/2017 12:00:00 AM","Madison, Amsden","51","58","0","17224","31",
"25-003-05057-00-00","4/30/2017 12:00:00 AM","Madison, Amsden","51","57","0","16728","30",
"25-003-05057-00-00","3/31/2017 12:00:00 AM","Madison, Amsden","51","59","0","17472","31",
"25-003-05057-00-00","2/28/2017 12:00:00 AM","Madison, Amsden","51","47","0","13964","28",
"25-003-05057-00-00","1/31/2017 12:00:00 AM","Madison, Amsden","51","40","0","11873","31",
"25-003-05057-00-00","12/31/2016 12:00:00 AM","Madison, Amsden","51","43","0","12723","31",
"25-003-05057-00-00","11/30/2016 12:00:00 AM","Madison, Amsden","51","57","0","16834","30",
"25-003-05057-00-00","10/31/2016 12:00:00 AM","Madison, Amsden","51","59","0","17437","31",
"25-003-05057-00-00","9/30/2016 12:00:00 AM","Madison, Amsden","51","56","0","16657","30",
"25-003-05057-00-00","8/31/2016 12:00:00 AM","Madison, Amsden","51","123","0","3585","31",
"25-003-05057-00-00","7/31/2016 12:00:00 AM","Madison, Amsden","51","117","0","3397","30",
