"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005228070000","Brown, J. Burns Operating Company","Allison     14-34-18","Gas","Shut In","Blaine","Red Rock","34N-18E","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-22807-00-00","6/30/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","5/31/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","4/30/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","3/31/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","2/28/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","1/31/2025 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","12/31/2024 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","11/30/2024 12:00:00 AM","Eagle","6232","0","0","0","30",
"25-005-22807-00-00","10/31/2024 12:00:00 AM","Eagle","6232","0","91","0","30",
"25-005-22807-00-00","9/30/2024 12:00:00 AM","Eagle","6232","0","119","0","30",
"25-005-22807-00-00","8/31/2024 12:00:00 AM","Eagle","6232","0","156","0","31",
"25-005-22807-00-00","7/31/2024 12:00:00 AM","Eagle","6232","0","225","0","31",
"25-005-22807-00-00","6/30/2024 12:00:00 AM","Eagle","6232","0","250","0","30",
"25-005-22807-00-00","5/31/2024 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","4/30/2024 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","3/31/2024 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","2/29/2024 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","1/31/2024 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","12/31/2023 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","11/30/2023 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","10/31/2023 12:00:00 AM","Eagle","6232","0","0","0","0",
"25-005-22807-00-00","9/30/2023 12:00:00 AM","Eagle","6232","0","0","0","0",
