"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101066680000","A & G Oil & Gas","Alexander Govt.  8","Oil","P&A - Approved","Toole","Kevin-Sunburst","35N-3W","13",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-06668-00-00","12/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","11/30/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","10/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","9/30/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","8/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","7/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","6/30/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","5/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","4/30/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","3/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","2/28/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","1/31/1994 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","12/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","11/30/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","10/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","9/30/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","8/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","7/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","6/30/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","5/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","4/30/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","3/31/1993 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","12/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","11/30/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","10/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","9/30/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","8/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","7/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","6/30/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","5/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","4/30/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","3/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","2/29/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","1/31/1992 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","12/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","11/30/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","10/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","9/30/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","8/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","7/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","6/30/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","5/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","4/30/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","3/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","2/28/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","1/31/1991 12:00:00 AM","Sunburst","3120","0","0","0","0",
"25-101-06668-00-00","10/31/1988 12:00:00 AM","Sunburst","3120","11","0","0","12",
"25-101-06668-00-00","9/30/1988 12:00:00 AM","Sunburst","3120","10","0","0","14",
"25-101-06668-00-00","8/31/1988 12:00:00 AM","Sunburst","3120","12","0","0","18",
"25-101-06668-00-00","7/31/1988 12:00:00 AM","Sunburst","3120","21","0","0","31",
"25-101-06668-00-00","6/30/1988 12:00:00 AM","Sunburst","3120","20","0","0","19",

